Título,Fecha,Cuerpo,URL
denuncian que un policía atropelló con un cuatriciclo a un empleado de control,19/12/2024,"Mientras una multitud de personas coreaba las canciones de Los Piojos en el tercer recital que la banda brindó en La Plata, anoche, en los alrededores del Estadio Único ""Diergo Armando Maradona"" se vivió un momento de extrema tensión en el marco del operativo de seguridad. Según denuncian, un policía a bordo de un cuatriciclo atropelló a un empleado de control.

De acuerdo con los denunciantes, un agente de la policía a bordo de un cuatriciclo y en compañía de dos mujeres jóvenes, avanzó sobre el vallado de seguridad, a pesar de la negativa del personal privado que impedía su acceso.

En las imágenes del hecho denunciado, se observa que el numerario en cuestión aceleró a pesar de los impedimentos y derribó la valla. Tras desplazarse varios metros, fue frenado por un grupo de personas a cargo del control. Al mismo tiempo se escuchan de fondo gritos de reprobación por parte de las personas que estaban en el lugar.

Al parecer, el objetivo era llevar a las jóvenes hasta el acceso al estadio, lo cual pudo llevarlo a cabo.

Tras ello, el policía regresó a bordo del vehículo y se retiró en medio de la bronca e indignación de los trabajadores, que respondieron con insultos.

El saldo de la maniobra con el cuatriciclo fue de un agente de control con un fuerte golpe, quien debió recibir asistencia de sus compañeros y posteriormente fue revisado por personal médico, afortunadamente sin presentar daños severos para su salud. Según denunciantes, el agresor sería un jefe policial, quien ""en vez de dar el ejemplo hizo abuso de autoridad"".

""El empleado fue al médico, tuvo que ir al hospital y estuvo en observación. Gracias a Dios está bien. Esto no tiene que pasar en La Plata"", dijo.

""En la calle matan gente por la inseguridad y tenemos un policía que sale a boludear por la Ciudad. Alguien tiene que poner un freno"", manifestaron.

No obstante, este medio pudo averiguar que ""en el recital de Los Piojos"" el operativo de seguridad en el Estadio contó con ""fuerzas especiales"". ""No son policías de nuestra Ciudad, sino que han venido desde distintos lugares"".

El agente implicado en la denuncia es el Director del GAD (Grupo de Apoyo Departamental) de la ciudad de Junín.",https://www.eldia.com/nota/2024-12-19-8-53-0-tension-en-el-recital-de-los-piojos-en-la-plata-denuncian-que-un-policia-atropello-a-un-empleado-de-control-policiales
Quién es el policía que atropelló a un empleado de seguridad en el recital de Los Piojos en La Plata,19/12/2024,"El tercer recital de Los Piojos en La Plata transcurrió en medio de un momento de extrema tensión en las inmediaciones del Estadio Único ""Diego Armando Maradona"", cuando un policía de alto rango atropelló con un cuatriciclo a un empleado de control en el intento de acceder al predio con dos jóvenes a bordo del vehículo.

Tras la denuncia del hecho, se dieron a conocer las imágenes del momento en que el numerario, a bordo de un enorme cuatriciclo y acompañado de dos mujeres jóvenes, avanzó sobre los accesos del estadio a pesar de la negativa de los trabajadores de control del evento.

Puede observarse que avanza sin control y derriba una vaya, en medio de reproches e insultos de los presentes que rechazaron el peligroso accionar. Tras lograr que las jóvenes ingresen al lugar, el policía vuelve a pasar por la vaya en donde recibe una serie de reprobaciones por su actitud. Luego se supo que debido a la embestida del agente, un hombre de control debió recibir asistencia por parte de sus compañeros y que posteriormente fue derivado a un centro médico de la ciudad en donde permaneció en observación.

Posteriormente se conoció que el agente implicado en la denuncia es Christian Geada, Comisario Mayor y director del Grupo de Apoyo (GAD) de la ciudad de Junín. Este medio pudo saber que la seguridad policial en torno al estadio no contó con el servicio de los agentes de La Plata, sino con ""Fuerzas Especiales"" que arribaron desde otras ciudades.

Gaeda, titular del GAD juninense, sería uno de los policías con experiencia que fueron designados para llevar las riendas del operativo en La Plata para el recital que Los Piojos llevaron a cabo anoche. Asimismo, según medios de Necochea, Geada ya fue designado para estar al frente de la seguridad en el recital que La Renga realizará en esa ciudad balnearia el próximo 28 de diciembre.",https://www.eldia.com/nota/2024-12-19-10-27-0-quien-es-el-policia-que-atropello-a-un-empleado-de-seguridad-en-el-recital-de-los-piojos-en-la-plata-policiales
Se trata hoy en el Concejo Deliberante la suba de tasas del 30% en La Plata,19/12/2024,"El Concejo Deliberante de La Plata llevará adelante este jueves la sesión para tratar la Ordenanza Fiscal 2025, que de aprobarse implicará un incremento de las tasas de 30 por ciento en promedio y un 20 por ciento para los contribuyentes de menores ingresos.

El tema central del recinto será la autorización al Ejecutivo para ese aumento sobre la tasa de Servicios Urbanos Municipales (SUM), que se realiza en conjunto con la Asamblea de Mayores Contribuyentes.

La norma, que ya cuenta con dictamen de la comisión de Hacienda, prevé también una suba del valor de la hora de Estacionamiento Medido hasta 820 pesos. No obstante, el ajuste que se realiza en torno a ese tope suele ser mucho menor.

En la misma línea, otros gravámenes municipales menos masivos también sufrirán aumentos en distintas medidas, como ser las tasas de Publicidad y Propaganda y Uso del Espacio Público, entre otras.",https://www.eldia.com/nota/2024-12-19-9-37-0-se-trata-hoy-en-el-concejo-deliberante-la-suba-de-tasas-del-30-en-la-plata-la-ciudad
Arrancó la “onda verde” en la Avenida 44,19/12/2024,"La primera “onda verde” semafórica de la Ciudad comenzó a funcionar esta mañana en la avenida 44, en el marco de la víspera del fin de semana, cuando se espera un importante incremento del tránsito hacia la Costa Atlántica.

Se trata del primer sistema que conecte los semáforos de una misma arteria para comandarse de forma remota desde el nuevo Centro de Operaciones Municipal (COM), y que permitirá transitar en auto hasta 30 cuadras sin detenerse.

Según pudo saber EL DIA de fuentes municipales, a partir de esta mañana los semáforos instalados en la avenida 44 desde la Circunvalación hasta la ruta 2 funcionarán de forma coordinada, permitiendo la agilización del tránsito vehicular tanto de entrada como de salida de la Ciudad.

En total son unos 18 mil metros, que se podrán recorrer sin la necesidad de frenar reiteradamente en los cruces, según el horario y la mano.

Funcionarios municipales explicaron a este diario que, en el caso de la mañana, el sistema funcionará para la mano de ingreso al casco histórico, que abarcará entre las 6 y las 10.

En el sentido hacia la ruta 2, el horario de funcionamiento de la “onda verde” será entre las 16 y las 21.

En tanto, también habrá un horario plano, en el que esa coordinación de los semáforos estará vigente en simultáneo en ambas manos, permitiendo recorrer entre 24 y 30 cuadras sin detenerse.",https://www.eldia.com/nota/2024-12-19-10-33-0-arranco-la-onda-verde-en-la-avenida-44-la-ciudad
los socios del Lobo votaron con bronca y fuertes críticas,19/12/2024,"En medio de un clima tenso, los socios de Gimnasia votaron en Asamblea Extraordinaria por el Proyecto 65 del Concurso Nacional de Ideas para la ampliación y modernización del estadio Juan Carmelo Zerillo, a cargo de Marcela Orcaje y Gonzalo Pérez. Hubo críticas a la Comisión Directiva y algunos reproches: “Que se vayan todos”, sonó dentro de la Sede de calle 4.

Sin dudas, el contexto no fue el mejor para la votación, luego de la culminación de un año complicado para el Lobo en lo futbolístico. Con la presencia de casi 800 socios, se expresó el malestar por el presente institucional y futbolístico.

En primera instancia, la asamblea comenzó con demora, ya que si bien las puertas se abrieron a las 18 horas, se dio por inicio cerca de las 19:35. Al momento de la lectura del acta por parte de la CD encabezada por Mariano Cowen, hubo silbidos de los que estaban dentro del Polideportivo.

A la par, hubo socios que seguían haciendo la fila para ingresar. Al notar el inicio de la Asamblea, comenzaron a quejarse y a insultar. “Déjennos entrar, hijos de pu..”, fueron algunas de las palabras que expresaron aquellos demorados en el ingreso.

En primera instancia, fueron los encargados del proyecto 65 los que comenzaron a explicar las características del mismo. Sin embargo, al ver que no toda la gente había ingresado, decidieron esperar unos breves minutos para que estén todos los presentes y ahí comenzar con la explicación. Cerca de las 19:53, pudieron ingresar todos los socios al Polideportivo, para que se de inicio a la explicación de los proyectos.

Luego de que tanto el 65, el 68 y el 101 detallen las características, tomaron la palabra varios socios. Allí, la Asamblea tomó temperatura. ya que comenzaron los reproches a la CD. En primera instancia, la queja general fue el contexto en el que se decidió realizar la votación, luego del mal año futbolístico que tuvo Gimnasia. Hubo silbidos para los dirigentes y sonó el “Que se vayan todos”. Al tomar la palabra, uno de los socios señaló: “Como gimnasista es un sueño renovar el estadio y venimos contentos por eso. Pero no era el momento de tratarlo. Queremos aprovechar para que nos den respuestas a la asamblea que pedimos ya hace casi un año. Gimnasia sale perjudicado y a los socios nos hierve la sangre. Somos pasionales. Como esperan que estemos todos sentaditos aplaudiendo contentos y nos vayamos a nuestras casas. Nos comimos casi dos horas de cola al momento de entrar. Gimnasia tiene cambiar en todo sentido. Pido que nos den respuestas”.

Además dos socios casi se van a las trompadas, luego de un intercambio de palabras en plena Asamblea. Tuvieron que ser separados y luego de un breve lapso, todo siguió con normalidad. “Por favor, no nos podemos pelear entre nosotros”, destacaron los que intentaron separar.

Tras expresar sus críticas, se comenzó la votación a mano alzada para elegir al ganador. En primera instancia, el proyecto 68 quedó desestimado, ya que fue el que menos votos recibió. Y en segunda instancia, donde el 65 y el 101 llegaron como finalistas, el primero fue el ganador luego de casi dos horas de Asamblea Extraordinaria.

Cerca de 800 socios votaron el proyecto de remodelación / EL DIA

Es encabezado por Marcela Orcaje y Gonzalo Pérez, responsables de “OP Arquitectos”, el estudio que le dio forma.

El proyecto de remodelación del Juan Carmelo Zerillo incluye un estadio con capacidad para 55.244 espectadores. “Es un estadio pensado desde las bases que, en etapas, va a llegar a ese aforo”, sostuvo en su momento, Gonzalo Pérez. “Lo importante de nuestro proyecto tiene que ver con dos decisiones importantes: una de ellas está relacionado al aforo. En las bases se pedía que tenía que estar entre 40.000 y 50.000, entonces había que asumir que el estadio cambiaba de escala. Y eso define la otra decisión, porque Gimnasia pone a concurso una cantidad de actividades que hoy funcionan en el Polideportivo. Son mucho metros cuadrados”, agregó.

Por otro lado, el proyecto tiene como eje principal no robarle espacio al Bosque: “Queríamos devolverle ese verde. Entonces, al aparecer el nuevo volumen del estadio y esa nueva pieza que se suma para las demás actividades deportivas, pensamos en ponerlo bajo ese pliegue”, destacó Marcela Orcaje.

Además el proyecto tiene como eje colocar un techo: “Se eleva del suelo desde la esquina de Av. 60 y Centenario, por eso le decimos pliegue. Conceptualmente, es como que el suelo se plegara y por debajo aparece todo lo que rodea al estadio. Es como una capa verde, un edificio paisaje y lo lindo es que se podrá caminar por arriba de ese techo”, agregaron.",https://www.eldia.com/nota/2024-12-19-2-48-6-asamblea-caliente-los-socios-del-lobo-votaron-con-bronca-y-fuertes-criticas-deportes
"De cara al 2025, el PJ de La Matanza y los movimientos sociales pidieron “dejar de lado las mezquindades”",19/12/2024,"El encuentro “netamente político” tuvo lugar en la localidad de Rafael Castillo en el marco de la ronda de plenarios multisectoriales que vienen desarrollando las fuerzas vivas del Distrito.

El encuentro “netamente político” tuvo lugar en la localidad de Rafael Castillo en el marco de la ronda de plenarios multisectoriales que vienen desarrollando las fuerzas vivas del Distrito.

En el marco de la ronda de plenarios multisectoriales que vienen desarrollando las fuerzas vivas del Distrito, el Consejo del Partido Justicialista de La Matanza se reunió, en la localidad de Rafael Castillo, con los movimientos sociales Somos Barrios de Pie, la Corriente Clasista y Combativa (CCC), la agrupación Mil Flores y Chispa Popular. Según comentó el exdiputado nacional de Unión por la Patria y dirigente social Juan Carlos Alderete se trató de un encuentro “netamente político”.

“Nuestro compromiso es coordinar y articular en forma conjunta por la construcción de la unidad de cara al 2025”, expresó el también responsable de la CCC. “La unión tiene que ser prioridad, tiene que estar por arriba de los intereses partidarios”, auguró el referente local. En ese sentido, planteó que “para recuperar lo que se perdió, primero hay que pararle la mano a la política de Javier Milei y luego defender los derechos adquiridos”.

Además, precisó que “se está hablando mucho en los comedores, en los merenderos y con los vecinos, porque ahí está la realidad”. “La pelea con este Gobierno es lógica, no es solamente cultural como quieren simplificarla algunos, también es ideológica y política”, lanzó Alderete. De este modo, insistió en que “hay que estar unidos para hacer retroceder a Javier Milei”.

“Son muchos los sectores que están golpeados por esta política”, arremetió. En esa línea, indicó que “más allá de las cuestiones de emergencia tales como la salud, la educación y el hambre que está pasando la gente, no hay que olvidarse de la cuestión de la soberanía y los recursos estratégicos”. “Hace tiempo lo vengo diciendo: tenemos que ser democráticos a la hora de discutir porque lo principal es defender nuestra Patria que está en peligro”, ponderó.

En ese marco, solicitó dejar de lado “las mezquindades, los sectarismos y las individualidades”. “No hay que perder nuestra esencia”, expuso. Por último, reflexionó: “Pese al internismo y las diferencias que pueda haber, tenemos que buscar la unidad y defender a este país todos juntos”.

En sintonía, el referente de Somos Barrios de Pie José Oscari profundizó que “hay que fortalecer las discusiones en los barrios”. “En este primer año del Gobierno de Milei, hubo muchas consecuencias: aumento de precios de bienes esenciales, suba de los impuestos, caída del salario, congelamiento del salario social complementario y discrepancias”, enumeró.

Así, detalló que el objetivo rumbo al 2025 es “afianzar la construcción y el desarrollo conjunto”. “Hay que reconocer los errores y salir adelante para que la derecha no siga avanzando”, puntualizó. “La gente está padeciendo una crisis enorme, en los barrios hay preocupación y angustia, pero tenemos que fortalecernos, recomponernos, recordar que vivimos mejor”, alegó.",https://www.el1digital.com.ar/politica/de-cara-al-2025-el-pj-de-la-matanza-y-los-movimientos-sociales-pidieron-dejar-de-lado-las-mezquindades/
Detuvieron al presunto autor material del crimen de la enfermera del Churruca,19/12/2024,"El operativo para apresar al sospechoso se realizó en las últimas horas en Virrey del Pino. Al momento de la detención, estaba con su pareja sobre quien pesaba un pedido de captura.

El operativo para apresar al sospechoso se realizó en las últimas horas en Virrey del Pino. Al momento de la detención, estaba con su pareja sobre quien pesaba un pedido de captura.

Efectivos de la Policía Federal Argentina (PFA) detuvieron al presunto autor material del crimen de Eliana Gómez, la enfermera del Churruca asesinada por delincuentes que le robaron el auto en frente de su vivienda en la localidad de Gregorio de Laferrere, partido de La Matanza.

Según informaron fuentes policiales, se trata de Lucas Silva, de 28 años, quien fue apresado en las inmediaciones de la esquina de las calles Lord Bayron y Guamini, en Virrey del Pino. Al momento de su detención, el sospechoso estaba junto a su pareja sobre quien pesa una condena.

Para los investigadores, la mujer de Silva debería haber tenido una tobillera electrónica, pero se la habría sacado para escaparse con él. “Tenía un pedido de captura del Juzgado de Ejecución Nº2 del Departamento Judicial La Matanza”, precisaron voceros judiciales.

El pasado 12 de diciembre, efectivos policiales habían aprehendido a dos sospechosos por el caso, uno de ellos está sindicado como el cómplice de Silva.

Otra de las personas detenidas fue una sargento que había dado una falsa coartada para defender a su pareja: fue apresada por encubrimiento agravado.

Cuando la encontraron en el curso de la investigación, la sargento aseguró que el día del crimen de la enfermera los dos habían ido a Lobos, provincia de Buenos Aires.

“Eras una excelente persona, siempre dispuesta a ayudar al otro, enfermera de vocación e involucrada con cada paciente de corazón. Buena compañera. Todavía no puedo creer que te hayan arrebatado la vida”, fueron las sentidas palabras que le escribieron amigas en las redes sociales a Eliana Gómez.

Es que “Elu”, como le decían sus conocidas, era una persona muy querida. Empleada del Hospital Churruca de la Policía Federal Argentina (PFA), antes de desempeñarse laboralmente en ese centro médico porteño, había trabajado en distintos organismos del Gobierno de la Ciudad de Buenos Aires, tales como el Subte; las autopistas urbanas; Agencia de Bienes S. E., Lotería de la Ciudad y el Banco Ciudad, entre otros. Antes, había prestado servicio para el Instituto Alexander Fleming, especializado en Oncología; la Clínica Modelo Los Cedros, de San Justo, y la Clínica Los Cedros, de Tapiales.

El sábado al mediodía, delincuentes le pusieron fin a su vida tras atacarla a tiros para robarle el vehículo. Eliana fue asesinada frente a su casa, en la esquina de Olivieri y Luis Vernet. Una cámara de seguridad registró la secuencia completa del robo.

Las imágenes, que forman parte del expediente, muestran a los dos criminales caminar hacia el Fiat Argo de color rojo de Eliana. Luego, se observa que los homicidas sacan el cuerpo de la mujer del vehículo y lo dejan en el asfalto. Luego, se ve al Fiat avanzar: son los asesinos que escapan de la escena.

“Mataron a mi compañera de banco, mi amiga, una compañera. Me quedan tus sonrisas, gestos amables y tu cariño incansable, desinteresado. Siempre preocupándote por mi mamá y por mí. Gracias, Gracias, Gracias por haber compartido este pedazo de vida, tan corta, tan poca, conmigo y mi familia”, lamentó Elena, amiga de la víctima, en otro posteo de Facebook.",https://www.el1digital.com.ar/policiales/detuvieron-al-presunto-autor-material-del-crimen-de-la-enfermera-del-churruca/
"Cayeron “Scarface” y “La Mecha”, líderes de una banda narco",19/12/2024,"Agentes de la División Operaciones Área Metropolitana Oeste de la PFA desbarataron una organización dedicada al acopio, distribución y comercio de estupefacientes en la región Oeste. La causa se desprende de un allanamiento realizado en abril en una vivienda de Castelar, donde se secuestraron dosis de cocaína.

Como resultado de ese operativo y con el inicio de otras investigaciones, se estableció que un hombre, apodado “Scarface” junto a una mujer, cuyo seudónimo es “La Mecha”, lideraban una organización criminal dedicada al comercio de cocaína.

Tras la intervención de la UFI 9 de Morón, a cargo del Dr. Ezequiel Lovillo, la Policía identificó trece inmuebles ubicados en los partidos de La Matanza, Morón, Merlo e Ituzaingó.

Con el total de las pruebas aportadas, el Juzgado de Garantías 6 de Morón, a cargo de la Dra. Laura Mariel Pinto, ordenó los allanamientos, permitiendo la detención de tres hombres, uno de los cuales fue sorprendido mientras fraccionaba las drogas.

Asimismo, secuestraron un ladrillo de cocaína de 1,7 kilos, varias dosis de cogollos y marihuana listas para su distribución; tres cargadores de armas de fuego, y cartuchos a bala. Además, un pistolón, una mira láser, elementos de estiramiento y fraccionamiento para el armado de dosis, una balanza de precisión, una moto, varios teléfonos celulares, dinero en efectivo y documentación de interés para la causa.

Los detenidos, argentinos mayores de edad, quedaron junto a los elementos incautados a disposición del magistrado interventor por infracción a la Ley de Drogas.",https://www.el1digital.com.ar/municipios/cayeron-scarface-y-la-mecha-lideres-de-una-banda-narco/
El dato más esperado por el Gobierno de Milei,19/12/2024,"El dato más esperado por el Gobierno de Javier Milei ya llegó. Hasta ahora, lo financiero venía muy bien: todo lo que debía subir (bonos y acciones) subía y lo que debía bajar (riesgo país y dólares) bajaba. A esta última lista se sumaba una variable no menor: la inflación.

Pero la economía real, la calle, o lo que los estadounidenses llaman “Main Street” (en oposición a Wall Street), venía algo más relegado.

Esta disociación entre la euforia financiera y la malaria real se está terminando y apareció un dato contundente en ese sentido: el empleo registrado volvió a crecer.

“En comparación con noviembre del año pasado el retroceso sigue siendo importante: perdieron su puesto 182.674 trabajadores. Pero la variación mensual empieza a dar positiva. En agosto habían dejado de caer y en septiembre se sumaron 8.838 trabajadores nuevos”, dice Luis A. Campos, de la CTA-Autónoma.

Los datos de septiembre mostraron por primera ver en un año un aumento en el sector privado registrado, con el sector público y casas particulares relativamente estables.

Según Campos, el sector privado sigue siendo el más castigado en el acumulado. Contra noviembre hay 129.780 trabajadores menos. “Pero también el que más creció en los últimos dos meses: se sumaron 12.934 trabajadores. En términos absolutos todavía estamos debajo de septiembre del año 2015”, dijo.

Eso ya abre una primera luz de alarma en los datos. La parte cíclica empieza a mejorar, pero si abrimos el cuadro de la imagen y hacemos un zoom out, la imagen es dramática: Argentina hoy tienen menos empleos privados “en blanco” que hace 10 años.

Volviendo a lo cíclico: a nivel sectorial el empuje lo dieron el comercio y la construcción, dice Campos. Sobre la construcción en particular, dice que “si empieza a rebotar tiene mucho recorrido hacia el alza”.

“En septiembre los datos mostraron por primera vez en un año un aumento en el sector privado registrado”

“Pero lo más llamativo es que la industria no se quedó atrás: por ahora incipiente, pero en los últimos dos meses se sumaron 2.313 trabajadores nuevos”, agrega.

En cuanto al salario en septiembre, en el sector privado registrado tuvo un leve recorte y empieza a estabilizarse en los niveles previos a la devaluación de diciembre.

“Sigue 1,5 por ciento debajo de noviembre y 5,1 por ciento abajo del pico de 2023. Contra 2015 seguimos casi 20 por ciento abajo”, dice Campos.

Los datos de octubre, grafica Campos, parecen confirmar el repunte del empleo.

“La EIL tuvo un aumento del 0,32 por ciento (el más alto para un mes de octubre desde 2017) y las suspensiones volvieron a bajar fuerte (ya están lejos de los picos de mediados de año)”, dijo.

¿Cómo sigue? Difícil saber. “Al menos en el corto plazo, los datos de empleo empiezan a tener otro color”, dice Campos.

La contracara es el alza en el trabajo por cuenta propia.

“Los montributistas siguen creciendo a paso firme, tanto los plenos como los sociales. En septiembre representaban el 21 por ciento de los ocupados registrados. En 2012 no llegaban al 14 por ciento”, dice Campos.",https://www.eldia.com/nota/2024-12-19-2-16-43-el-dato-mas-esperado-por-el-gobierno-de-milei-opinion
"Diputados trata en extraordinaria el Presupuesto 2025, la Ley Impositiva y la reforma jubilatoria del Banco Provincia",19/12/2024,"El oficialismo el viernes logró el dictamen de mayoría del Presupuesto 2025 y la Ley Impositiva en la comisión de Presupuesto e Impuestos, y ahora buscará el debate en el recinto de la Cámara Baja para darle un espaldarazo a Axel Kicillof.

El proyecto de Presupuesto del Gobernador establece un total de recursos $32,8 billones (con una proyección de gastos por $34 billones), lo que representa un incremento del 35,9% respecto de este año, con un amplio enfoque en nuevas inversiones y mejoras en infraestructura con la continuidad de la obra pública, según indicó el Ministro de Economía bonaerense Pablo López.

Vale destacar que Unión por la Patria, de aprobarse el Presupuesto, intentará que el Senado lo trate rápidamente para avanzar con la iniciativa.

Por otro lado, el oficialismo también buscará este miércoles modificar el régimen jubilatorio para trabajadores del Banco Provincia.

Los sectores más radicalizados contra las propuestas son, en principio los libertarios. Agustín Romo adelantó que el proyecto de Presupuesto es “delirante”. También desde el bloque PRO-UCR se oponen a variadas consideraciones dentro de la Ley de Leyes.",https://www.lanoticia1.com/noticia/diputados-trata-en-extraordinaria-el-presupuesto-2025-la-ley-impositiva-y-la-reforma-jubilatoria-del-banco-provincia
