Título,Fecha,Cuerpo,URL
Nuevo encuentro paritario con la provincia,9 OCT 2024,"ATE provincia de Buenos Aires participó de un nuevo encuentro paritario para avanzar en la recomposición salarial y en la mejora de las condiciones de trabajo de los estatales bonaerenses. La reunión, en la cual no hubo un ofrecimiento oficial, se llevó adelante en el ministerio de trabajo provincial y en representación del sindicato estuvieron Juan Murgia, secretario gremial; Carlos Díaz, secretario administrativo; y Francisco Banegas, secretario de ATE Ensenada en representación del Astillero Río Santiago. Durante la reunión se trabajaron distintos aspectos para llegar a una mejora salarial que permita acompañar el incremento inflacionario, aunque por el momento la provincia no realizó ninguna oferta. Sobre este punto ATE planteó que la discusión sobre el cierre del año debe realizarse por encima de la pauta inflacionaria para recuperar el poder adquisitivo. En caso de ser trimestral esta debe estar proyectada por sobre el incremento de precios, contemplando una cláusula de revisión para el mes de diciembre y teniendo en cuenta ese cálculo el salario del último mes percibido.

A su vez, el sindicato es consciente del perjuicio de la nación por la quita de recursos a la provincia y, en pos de optimizarlos, ATE planteó la estatización en todas las jurisdicciones de los servicios de limpieza, maestranza y mantenimiento. Si bien el diálogo se centró sobre los trabajadores comprendidos en la ley 10.430, el gremio manifestó su preocupación por la dramática situación de los municipales en varios distritos en términos salariales y laborales. Consideró necesario avanzar en la conformación del consejo de empelo municipal y la creación, a nivel nacional, de un fondo federal de salario. En ese sentido se mencionaron los conflictos vigentes como, por ejemplo, el de Azul y el de San Antonio de Areco.; agregando, de cara a las discusiones presupuestarias por el año próximo, la eliminación del artículo que permite que los Estados municipales discutan discrecionalmente las asignaciones familiares (estas históricamente estuvieron atadas a los montos y conceptos establecidos por la ANSES). Además el gremio planteó, en relación al sector educación, la derogación de la resolución 293, el avance por el pase a planta permanente de los no aptos y la estatización de la medicina ocupacional. Esto en pos de jerarquizar la atención a través de la recreación de lo que fue la dirección de reconocimientos médicos para quienes ingresen al Estado, para las licencias o juntas médicas (a cargo del Estado empleador y de las organizaciones sindicales). Sobre el sector de niñez se celebró el avance en jerarquía y estructura del organismo; mientras que respecto a salud se está trabajando en achicar la brecha salarial elevando los montos de los módulos de capacitación. Otra de las cuestiones sobre las que se está trabajando son la mesa técnica de estructuras para avanzar en las de segundo nivel; la convocatoria a mesa de carrera; convocatoria a mesas técnicas sectoriales para abordar diferentes demandas a nivel sectorial; pase a planta los becados de salud, los precarizados del IOMA y de todas las formas de contratación precarias; la derogación de la resolución 293 de educación y su reemplazo; la restitución del 3% de antigüedad; evaluar la reducción de la jornada laboral sin pérdida del poder adquisitivo, sobre todo en la administración central; y la conformación del convenio colectivo de trabajo. Frente a todo lo expuesto, las autoridades gubernamentales acordaron volver a convocar a una nueva reunión para los próximos días, luego de evaluar las propuestas de ATE y del resto de las organizaciones gremiales que estuvieron presentes esta mañana en la reunión de negociación colectiva.",https://atepba.org.ar/nota/20327/nuevo-encuentro-paritario-con-la-provincia/
"Arévalo: ""Quitarle fondos a la provincia es pelearse con el gobernador, con los estatales y con los bonaerenses""",29 OCT 2024,"ATE bonaerense participó de la movilización en la Ciudad Autónoma de Buenos Aires que culminó frente al ministerio de Desregulación y Transformación del Estado que conduce Federico Sturzenegger. El secretario general del gremio provincia, Claudio Arévalo, agradeció el respaldo y la presencia de las organizaciones sociales, de trabajadores del sector privado y de los trabajadores de la economía popular. “Esta mañana estuvimos en Fabricaciones Militares para decirles que no vamos a permitir la entrega de nuestra soberanía”, agregó.  “Desde ATE provincia de Buenos Aires venimos a decirle a Sturzenegger que junto a Milei y Caputo lo primero que hicieron fue despedir a trabajadores y trabajadoras dejándolos en la calle. Nuestra lucha es por su reincorporación y no vamos a permitir el desguace de Estado, la privatización de la salud, de la educación”, enfatizó. A su vez, Arévalo remarcó que “les reclamamos que nos devuelvan los fondos de la provincia de Buenos Aires que iban a salud, educación, políticas sociales. Tenemos comedores con el plato de comida vacío por las políticas de Milei. No se están peleando con el gobernador sino con todo el pueblo bonaerense”. Y concluyó: “Vamos a militar hacia el 6 de diciembre por la marcha federal que organiza nuestra CTA Autónoma para manifestarnos en contra del hambre que producen las políticas que viene impulsando el gobierno nacional”.          ",https://atepba.org.ar/nota/20333/arevalo--quitarle-fondos-a-la-provincia-es-pelearse-con-el-gobernador--con-los-estatales-y-con-los-bonaerenses/
Encuentro de trabajadores y trabajadoras municipales,23 NOV 2024,,https://atepba.org.ar/nota/20343/encuentro-de-trabajadores-y-trabajadoras-municipales/
Los planteos que ATE llevó a la paritaria provincial,17 DIC 2024,"La Asociación Trabajadores del Estado (ATE) de la provincia de Buenos Aires participó de la paritaria 10.430 convocada por el gobierno bonaerense, donde llevó sus planteos y reivindicaciones. La delegación estatal, estuvo representada por Eliana Aguirre, secretaria General Adjunta y el secretario de Convenios Colectivos de Trabajo, Martín Fontela  quienes propusieron una serie de iniciativas de cara a fortalecer el poder adquisitivo de los trabajadores y trabajadoras del estado provincial. “Necesitamos defender el salario ante el avasallamiento de derechos llevado a cabo por un gobierno nacional que desprecia a los y las estatales que día a día garantizamos las políticas públicas de las grandes mayorías de este país”, aseguró Aguirre al salir de la negociación. En principio, se valoró que se mantenga abierta la instancia de negociación entre los sindicatos y el gobierno de Axel Kicillof, a diferencia de lo que ocurre en el ámbito nacional donde se despidieron unos 40 mil estatales y se encuentran revisando la continuidad de similar cantidad de personas. En lo concerniente al debate provincial, se planteó la necesidad de hacer los esfuerzos necesarios para cerrar el 2024 sin pérdida de poder adquisitivo y trazar un horizonte que permita recuperar “la calidad del salario”. En ese marco, se insistió con poder seguir avanzando en la regularización y el pase a planta permanente de los trabajadores y trabajadoras que faltan. En lo referente a lo sectorial, se abordó lo concerniente al área de Salud, donde se insistió en la regularización de los becarios sin dejar de reconocer que fue la única provincia que garantizó la continuidad laboral a quienes ingresar a desarrollar tareas durante la pandemia. Por su parte, al momento de abordar el sector Educación, se instó a que se de continuidad de los artículos 13 y que se notifique la continuidad laboral para el día de hoy. Se insistió en la derogación de la resolución 293 y en la concreción de una nueva normativa que garantice los derechos de las y los auxiliares de la educación, quienes “tienen un rol fundamental en la garantía del derecho a la educación pública”. No se pasó por alto la necesidad de que se reconozca sin mátices el 27 de junio como el día de las y los estatales, siendo un feriado no laborable para la totalidad de los trabajadores y trabajadoras. En relación a la administración central se insistió en la convocatoria de mesas técnicas concernientes a evaluar la carrera administrativa, así como la estructura de segundo nivel. “Más allá de las propuestas e iniciativas que llevamos desde ATE, nos parecía importante en este contexto recesivo nacional poder hacer un reconocimiento de los avances que logramos durante este año”, aseguró Fontela, quien destacó cuatro lineamientos llevado a cabo a lo largo del 2024. El primero a destacar fue la creación de estructura de segundo nivel para las y los trabajadores del Organismo Provincial de Niñez, lo que generó un “dignificación de nuestros compañeros y compañeras por primera vez”. En segundo término, puso de relevancia la “licencia anual complementaria para las y los trabajadores de la salud enrolados en la ley 10.430, con una mirada reparatoria”. El tercer eje que valoró tiene que ver con “el trabajo desarrollado en el marco de la reglamentación del artículo 38”. Y por último, dio cuenta de la importancia de “los procesos de pase a planta permanente de las y los compañeros que se encontraban con temporarias”. ",https://atepba.org.ar/nota/20353/los-planteos-que-ate-llevo-a-la-paritaria-provincial-nbsp-
Amplio apoyo del CDP y las seccionales de ATE al paro municipal en Quilmes,5 NOV 2024,"La Asociación Trabajadores del Estado (ATE) de Quilmes llevó a cabo un paro y movilización en defensa de los derechos de los y las municipales ante la negativa de las autoridades locales a convocar a la mesa paritaria correspondiente. El gremio viene reclamando terminar con “sueldos de indigencia”, al tiempo que exigen un aumento salarial, la convocatoria paritaria, la construcción de un convenio colectivo de trabajo, la ejecución de recategorizaciones por antigüedad y el pase a planta de los trabajadores y trabajadoras precarizadas. Durante la concentración en las puertas del edificio municipal, se repitieron los discursos contra la decisión de la intendenta de Quilmes, Mayra Mendoza, de negar la mesa paritaria al gremio con mayor representatividad del distrito como es ATE. “Necesitamos que la señora intendenta nos escuche. Hace años que venimos reclamando y exigiendo estar sentados en la mesa paritaria. Tenemos que hacer sentir la voz de quienes todos los días nos dicen que no pueden más. Es impresionante la miseria que hoy se cobra como salario municipal, tenemos 217 mil pesos de básico. Es vergonzoso estar bajo la línea de indigencia. La verdad es que los trabajadores se cansaron”, aseguró Clarisa Pérez, secretaria general de ATE Quilmes ante el centenar de manifestantes que se apostaron sobre la calle. En ese sentido, aseguró hubo “un alto acatamiento en distintos lugares de trabajo que están bancando nuestros compañeros pese a los aprietes que han venido sufriendo”  y advirtió a los presentes que “esto viene para largo” y que “vamos a estar al pie del cañón y vamos a necesitar que estén todos presentes”.  Por otra parte, gran parte del Consejo Directivo Provincial de ATE se hizo presente en el lugar para respaldar la lucha municipal. “ATE es una familia muy grande, somos el gremio mayoritario de la provincia de Buenos Aires de los estatales. Somos una familia unida y cuando tocan a un compañero tocan a todos. Eso lo tiene que entender muy bien la intendenta Mayra Mendoza. Hubo una persona que nos amó profundamente que fue la compañera Evita. Ella decía contra los trabajadores nada. Mayra contra los trabajadores nada”, afirmó Juan Murgia, secretario Gremial de ATE Buenos Aires. En ese sentido, destacó que no quieren que ATE participe de la discusión salarial porque “lo que ganamos con la lucha no lo vamos a entregar en ninguna negociación” y “no nos convocan a paritarias porque, entre otras cosas, jamás le aceptaríamos un bono que es pan para hoy y hambre para mañana porque no sirve para la antigüedad y los jubilados de ese bono no ven un peso”. “Si hay aumento tienen que recibirlo los compañeros que dejaron la vida trabajando para la municipalidad de Quilmes. ATE no acepta bono y plantea que todos los montos vayan al básico.  El otro punto es que nosotros discutimos la carrera de los municipales, las recategorizaciones y pases a planta en un convenio colectivo de trabajo y eso tampoco quieren tratar”, concluyó el dirigente oriundo de Berisso. Junto a integrantes del CDP, también participaron de la protesta decenas de secretarios y secretarias generales de las diferentes seccionales que ATE tiene en el territorio provincial: Gustavo Mastroiani, secretario General de ATE  San Fernando “Decimos a esta gestión municipal que en Vicente López un municipal gana $ 800 mil y un municipal en San Isidro gana $600 mil. Usted dirá que bien los compañeros peronistas que gobiernan estos municipios. Uno es de Cambiemos y otro es libertario y tienen a sus trabajadores municipales con sueldos dignos. Haga unos pasitos intendenta y pregunte acá al lado cuando cobran los trabajadores municipales en Avellaneda que cobran 600 mil pesos. La cuestión se basa en sí le ponemos el sueldo en el bolsillo a los trabajadores y trabajadoras”. Cristian “Ricky” Aristegui, secretario General de ATE Cañuelas Como van a hacer la chicana de negar al sindicato más representativo participar de la paritaria. Conocemos bien a nuestros compañeros de Quilmes, conocemos su lucha, su entrega. Sabemos que ese aumento que se comunicó por redes sociales tiene que ver con la lucha y estrategia de ATE. Walter Cravero, secretario General de ATE Moreno Saludo a cada trabajador y trabajadora municipal de Quilmes ante este atropello de no reconocer a nuestra organización sindical, no reconocer el ámbito donde discutir las condiciones laborales, el convenio colectivo y la paritaria. Repudiar la acción de desconocer el ámbito de discusión política que tiene cada trabajador y trabajadora con sus representantes. Hay que pensar estratégicamente como no quedar aislado, como convocar al conjunto de trabajadores y trabajadoras, al conjunto de organizaciones, para que reflexionen o veamos la manera en la que se pueda lograr el ámbito en el que se pueda discutir un salario que pueda dignificarnos y mantener la cuestiones mínimas de reproducción como alimentarnos, llevar a los pibes a la escuelas. Policarpo Sosa, secretario General de ATE General Rodríguez Nosotros lo que tenemos que pensar y construir es un espacio con los trabajadores. Acá tenemos fuego amigo. Mayra Mendoza tiene que convocar a paritaria y a todos los trabajadores. María Ochoa, secretaria General de ATE Escobar Sabemos de primera mano lo que los trabajadores y trabajadoras municipales sufrimos en cada distrito. Somos el último eslabón de la cadena en lo que hace el salario. Venimos a traerles el abrazo de cada uno de los trabajadores y trabajadoras municipales del municipio de Escobar y de toda la comisión directiva de ATE Escobar. Gonzalo Paluci, secretario General de la Junta Interna de Municipales de ATE La Plata Saludar a este espacio de lucha que tenemos que sostener y bancar. Me enorgullece ver estos escenarios de lucha. Son estos espacios donde crecemos y nos mostramos diferentes a otros gremios. No veo en Quilmes diferencia como en otros municipios. Tanto Mayra Mendoza como Alak en La Plata, cuando tienen que buscar votos vienen con propuestas y todo bien, cuando llegan se olvidan de los trabajadores. No es algo nuevo en las gestiones peronistas. Si se dicen peronistas, claramente no lo son. No convocando a paritarias, salarios por debajo de la línea de indigencia y apretando a los compañeros. Hay que salir a convencer a los trabajadores que no están, esto tiene que ser multiplicar. Silvina Paz Petcoff, secretaria de DD.HH y municipal de Berisso En mi caso soy trabajadora municipal y celebro esta asamblea. Agradecer a todos los compañeros que están acompañando y reafirmar que la única lucha que se pierde es la que se abandona. Aldana Carrera, secretaria General de ATE Avellaneda Venimos desde Avellaneda a abrazarlos y acompañarlos en esta lucha. Decirle a la señora Mayra Mendoza que de nacional y popular no tiene nada. Nosotros vamos a acompañar todo lo que sea necesario y vamos a estar acá. Lo único que no hay que hacer es bajar los brazos. Alexis Acosta, secretario Gremial de ATE Berazategui Venimos de la época de VIllordo, después vino el barba, y ahora Mayra. Todos dijeron que son nuestros compañeros y usaron la gestión de todos los trabajadores municipales para sostener esta ciudad en las cloacas, en la luminaria, en la salud, en todos los sectores que son sostenidos por los trabajadores municipales. Todos los intendentes que nombreé cuando se olvidaron de los trabajadores municipales les tomamos la municipalidad, le hicimos un paro. ATE no empezó ayer ni empezó hoy. Que no se olviden de la historia. La decisión de los funcionarios tiene que ser en función de la clase trabajadora. Gabriel Aguirre, secretario de Acción Social de ATE provincia de Buenos Aires La intendenta que se hace la nacional y popular y que se olvide de los trabajadores no va. Somos 56 seccionales que las vamos a hacer venir acá. Vamos a cortar la autopista y hacer un conflicto nacional si es necesario. Ningún trabajador es esclavo de nadie. Sigamos organizándonos. Gabriela Scheffer, secretaria de Prensa de ATE provincia de Buenos Aires Están demostrando que los trabajadores unidos podemos hacer esto y muchísimo más. Soy trabajadora del Astillero Río Santiago, conocemos de lucha y conocemos de meternos en los lugares donde no nos dejen entrar. Vanina Zurita, secretaria del Interior de ATE provincia de Buenos Aires Las medidas que son favorables para los trabajadores en general se hacen efectivas. No alcanza con los tatuajes, con las estatuas. Los compañeros y compañeras que realmente piensan en su pueblo llevan adelante políticas que nos benefician. Vengo de Azul un gobierno que se recuperó y que es peronista. ¿Cuál fue la primera medida que tomó el intendente, que es compañero de Mayra Mendoza? Bajar el salario de los municipales. Tenemos que estar atentos y tener la mayor unidad, no solo en el conurbano sino en el interior de la provincia. Margarita Romero, Secretaria de Finanzas de ATE provincia de Buenos Aires Hoy estamos peleando dignidad. Somos una organización que lucha por los trabajadores y por la dignidad del pueblo. Tenemos historia en Quilmes. Martiniano Molina nos echaba trabajadores y nos metimos en la municipalidad y estuvimos más de 36 horas. Estuvimos en la casa de la cultura en pleno enero. Hoy con una intendenta “nacional y popular” le estamos pidiendo dignidad, porque nosotros trabajamos para que ella esté hoy ahí. No metemos la política, nos interesan los trabajadores municipales. Cesar Vilches, vocal del CDP y trabajador municipal de Quilmes En esta histórica jornada de lucha que no sólo es de ATE Quilmes sino que también es de todo ATE provincia de Buenos Aires. Si piensan que rompiéndonos una puerta nos van a amedrentar o nos van a asustar se equivocan porque si ellos rompen puertas nosotros podemos romper portones. Si los vigilantes se asoman por la ventana le decimos: “mírennos bien la cara porque somos los dirigentes de ATE, somos los trabajadores y trabajadoras de ATE que vamos a poner la cara y estar donde haga falta”. ",https://atepba.org.ar/nota/20337/amplio-apoyo-del-cdp-y-las-seccionales-de-ate-al-paro-municipal-en-quilmes/
Análisis del presupuesto y de la ley impositiva bonaerenses,9 DIC 2024,,https://atepba.org.ar/nota/20349/analisis-del-presupuesto-y-de-la-ley-impositiva-bonaerenses/
El departamento de discapacidad de ATE se hizo presente en Pergamino,26 NOV 2024,"Representantes del departamento de discapacidad de ATE provincia de Buenos Aires se hizo presente en las protestas realizadas por los y las trabajadoras municipales de Pergamino, lugar donde además se llevó a cabo el encuentro sectorial impulsado desde el Consejo Directivo Provincial del sindicato. “A  la hora de  intervenir se planteó la importancia de abrir el área en todas las seccionales para que se tenga en cuenta a la hora de reclamar derechos  como condiciones laborales que se adecuen los apoyos necesarios para que los trabajadores con discapacidad puedan realizar sus tareas según está establecido en la Convención. También planteamos la necesidad de que se cumpla con el cupo laboral 4% en los ingresos a organismos públicos e instar que los municipios adhieran a ley 15296/21 de  capacitación con perspectiva en discapacidad”, sostuvieron desde el departamento conducido por Nancy Alarcón. Por otra parte, desde el departamento estuvieron presentes el sábado 23 de noviembre en el encuentro de salud en Rosario, donde plantearon el impacto negativo de la quita de remedios y la reducción de los centros de atención, al tiempo que se insistió en que los organismos pongan en funcionamiento un equipo de acompañamiento para los trabajadores y las trabajadoras con discapacidad . ",https://atepba.org.ar/nota/20344/el-departamento-de-discapacidad-de-ate-se-hizo-presente-en-pergamino/
Apostando a la educación: el Centro de formación “Omar Núñez” entregó certificado a estudiantes,17 DIC 2024,"Desde el Centro de Formación laboral N°410 “Omar Núñez”, perteneciente a la Asociación Trabajadores del Estado (ATE), se entregaron las certificaciones a más de 700 estudiantes que transitaron por los más de 60 cursos que la entidad brindó durante el 2024. En un salón colmado, se llevó a cabo el acto encabezado por la directora del centro, Silvina Chávez, quien se dirigió a los presentes destacando la labor de todo el año: “Es una alegría enorme. Todo lo que hacen cada uno y cada una de ustedes. Los profes con los estudiantes en los salones, en los talleres. Este año ha sido muy complejo en todos los sentidos. Las familias han buscado la vuelta para estar hoy acá acompañando ese proceso educativo que sin las familias no se alcanza”. “Hemos venido coordinando muy bien y agradecemos al Ministerio de Trabajo bonaerense. Este año hemos sumado cursos en el territorio. Queremos seguir sumando porque hay que llegar a todos los rincones de La Plata y toda la provincia de Buenos Aires. Es la decisión de un sindicato que piensa en los trabajadores, que toma la herramienta educativa, la comparte y la trabaja con el grupo de estudiantes. No venimos a bajar ningún conocimiento iluminado. Lo que pasa en las aulas nos enriquece a cada uno de nosotros, a cada profe, a cada estudiante”, aseguró la docente que cuestionó la quita del financiamiento educativo por parte del gobierno nacional.  Del acto también participaron integrantes del Consejo Directivo Provincial (CDP) de ATE, de la CTA Autónoma de la provincia de Buenos Aires, funcionarias del Ministerio de Trabajo bonaerense, entre otros. Una de las oradoras fue Eliana Aguirre, secretaria General Adjunta del gremio, quien destacó “fuertemente” el trabajo llevado a cabo desde el centro de estudios. “Quiero poner en valor a los compañeros y compañeras docentes que han logrado también que esta organización sindical sea la más grande de la provincia de Buenos Aires. Destacar que la gran mayoría son mujeres y a las mujeres todo nos cuesta el doble, porque tenemos que trabajar, porque llegamos a casa y tenemos un montón de tareas de cuidado”, aseguró la trabajadora de la salud. En ese sentido, dio cuenta de las problemáticas que viene generando el ajuste llevado a cabo por el Estado nacional para las iniciativas educativas promovidas desde las organizaciones de la sociedad civil: “Se ha hablado con claridad de un gobierno nacional que nos recorta y que le saca presupuesto a la provincia de Buenos Aires. No se lo está sacando al gobernador sino a todo el pueblo bonaerense. Uno de los costados del presupuesto es la posibilidad de estudiar, de formarse y de construir dignidad en la vida de los trabajadores y trabajadoras para tener un empleo, tener un plato de comida y poder organizarnos en nuestro núcleo familiar. Desde el gobierno nacional, nos dejaron sin presupuesto para las tecnicaturas pero como en la organización sindical hay voluntad política queremos decir que vamos a abrir igual la carrera de la tecnicatura en enfermería para compañeros y compañeras"".  Por último, quien también tomó la palabra fue la coordinadora del Instituto de Programas de Formación Laboral (IPFL) Mariana Maniglia. “Quiero destacar el trabajo que hace el centro de Formación “Omar Núñez”, reconociendo las necesidades en los barrios y haciendo las articulaciones con las juntas internas de ATE. Simplemente felicitarlos y felicitarlas y que disfruten de la recepción de su certificado”, concluyó la funcionaria.  ",https://atepba.org.ar/nota/20352/apostando-a-la-educacion--el-centro-de-formacion-omar-nunez-entrego-certificado-a-estudiantes/
ATE respaldó el reclamo hacia la Nación y valoró las mejoras en el IOMA,27 NOV 2024,"El gobierno bonaerense precisó que la administración nacional mantiene una deuda de 8 billones de pesos con la Provincia que impacta negativamente sobre las políticas públicas. Además se anunció una inversión de 4.500 millones de pesos en la obra social que posibilitó elevar la cobertura en medicamentos para agudos del 20% al 50% y para crónicos del 40% al 70%. ATE provincia de Buenos Aires participó el lunes de una conferencia de prensa en el salón dorado de la Casa de Gobierno bonaerense donde el ministro de Gobierno, Carlos Bianco, expuso datos referidos a la deuda que mantiene el gobierno nacional con la provincia de Buenos Aires que alcanza 8 billones de pesos (alrededor de un cuarto del presupuesto provincial). Luego el ministro de Salud, Nicolás Kreplak, anunció la inversión de 4.500 millones de pesos en IOMA para la cobertura de medicamentos. En representación de ATE provincia de Buenos Aires estuvieron su secretario general, Claudio Arévalo; y la directora de seguridad social, María José Castesana.

En relación con la deuda que mantiene el gobierno nacional, Claudio Arévalo señaló que “es muy preocupante la situación frente a la decisión de la Nación de no cumplir con los compromisos asumidos respecto a los aportes que debe recibir la provincia. Ese debería ser el principal reclamo, ya que afecta la vida de los y las bonaerenses. Desde nuestra organización mantenemos todo nuestro esfuerzo para sostener el reclamo en la calle con el conjunto de las y los trabajadores"".

Pese a la situación de asfixia financiera que mantiene el gobierno de Javier Milei sobre los bonaerenses, el gobierno dispuso un incremento para los fondos del IOMA. Al respecto Kreplak expuso que “ampliamos la cobertura de medicamentos ambulatorios de IOMA. En patologías agudas pasamos del 20% al 50%, y del 40% al 70% en crónicas”.

Por otro lado se presentó el tablero de datos abiertos, un espacio que ofrece acceso a la información y estadísticas detalladas sobre la gestión del presupuesto y la evaluación de los resultados de la obra social, donde se podrán consultar la cantidad de cirugías, coberturas, insumos comprados, mapa de delegaciones, gastos, entre otros.

En ese sentido, Kreplak subrayó que “cuando comenzamos la gestión IOMA tenía un atraso tecnológico en su mecanismo, se fue desarrollando un proceso de digitalización que permite tener información ordenada, una herramienta clave en salud. En tiempos de tanta mentira la democratización de la información es libertad”.

Además, María José Castesana valoró que “se trata de un planteo que veníamos haciendo los gremios en relación al aumento en la cobertura de medicamentos. La desregulación puesta en práctica por el gobierno nacional produjo un aumento en los precios de los remedios que, en el lapso de un año, fue del 330% con lo cual la cobertura quedó muy por detrás. Esta decisión beneficia directamente a los más de 2 millones de afiliados y afiliadas del IOMA”.

Y agregó: “Es muy preocupante que el gobierno de Milei haya puesto como venta libre algunos medicamentos de uso corriente que, de esta manera, podrán ser vendidos en comercios por fuera de las farmacias y limitar, a su vez, la intervención de la ANMAT para el control de la calidad y la efectividad de esos remedios. Estas medidas, en su totalidad, representan un atentado contra el derecho a la salud”.",https://atepba.org.ar/nota/20346/ate-respaldo-el-reclamo-hacia-la-nacion-y-valoro-las-mejoras-en-el-ioma/
Paritaria: Estatales acordaron una suba del 8%,16 OCT 2024,"ATE provincia de Buenos Aires y otros sindicatos del Estado bonaerense se reunieron con autoridades de gobierno en el ministerio de trabajo para avanzar en la negociación paritaria. En ese contexto se acordaron mejoras laborales y un incremento salarial del 8% (sumados octubre y noviembre). En representación del gremio estuvo el secretario general, Claudio Arévalo, la secretaria general adjunta, Eliana Aguirre, y el secretario de convenios colectivos de trabajo, Martín Fontela. El acuerdo al que se llegó comprende una suba del 4% para octubre y del 4% para noviembre tomando como base los haberes del mes de junio. El secretario general de ATE Buenos Aires, Claudio Arévalo señaló “Valoramos la voluntad política y estas instancias de negociones colectivas que venimos teniendo a lo largo de este año"". Además, en pos de mejorar la calidad del salario, se pasarán la bonificación del 4% y la garantía salarial al básico, lo que representa un aumento sobre el básico de octubre del 6%. Por otro lado, se acordó que las asignaciones familiares del tramo I se incrementen el 8% y las del tramo II, III y IV suban el 26%. Además, para las y los auxiliares de la educación la bonificación sectorial “rem. adm. marzo 2022” pasará a ser del 95% al 100%.",https://atepba.org.ar/nota/20331/paritaria--estatales-acordaron-una-suba-del-8-/
