Título,Fecha,Cuerpo,URL
"Provincia rechazó declarar asueto administrativo los días previos a las fiestas: ""No corresponde"" - Diagonales",LUNES 16 DE DICIEMBRE DE 2024 12:32,"El ministro de Gobierno bonaerense, Carlos Bianco, adelantó que la Provincia no declarará asueto administrativo para los días 23 y 30 de diciembre, previo a las fiestas, como había pedido un gremio estatal. Días atrás, FEGEPPBA había solicitado que los trabajadores estatales bonaerenses no tuvieran que trabajar esos dos días para ""facilitar las celebraciones familiares y los traslados de quienes lo requieran durante estas fechas festivas"". ""No corresponde"", respondió Bianco tajante este lunes en conferencia de prensa. Si bien aún no hubo una respuesta formal, el funcionario adelantó que la Provincia no hará a lugar a la solicitud del gremio. Además, aclaró que el asueto administrativo solo regirá para el día de noche buena y el último día del año. ""Están hechos los asuestos que corresponden para el 24 y el 31 de diciembre"", afirmó.",https://www.diagonales.com/provincia/provincia-rechazo-declarar-asueto-administrativo-los-dias-previos-a-las-fiestas---no-corresponde-_a676044ac017fdfa175921a22
Kicillof festejó el aniversario de la Policía Bonaerense con premios al personal y críticas a Milei - Diagonales,VIERNES 13 DE DICIEMBRE DE 2024 21:10,"En el 203° aniversario de la Policía Bonaerense, el gobernador Axel Kicillof encabezó un acto junto a las fuerzas de la Provincia en el que entregó distinciones a agentes destacados del personal de seguridad y, junto a ello, increpó al Gobierno Nacional de Javier Milei por los recortes de fondos al distrito, que le impiden a la gestión peronista “profundizar” los avances en la lucha contra una de las problemáticas más urgentes para la sociedad: “Vamos a seguir este camino de esfuerzo”. El mandatario se presentó esta tarde en la Escuela de Policía Juan Vucetich de la Provincia para conducir los festejos por el 203° aniversario de las fuerzas de seguridad locales. Durante el evento, el dirigente de Unión por la Patria (UP) entregó distinciones “al personal que tuvo un desempeño destacado en importantes operativos”, y remarcó que los logros conseguidos para la Policía durante la primera gestión y lo que va de la segunda al frente de la Gobernación bonaerense. “En los últimos cinco años recuperamos el salario de los efectivos, adquirimos 6.500 patrulleros e impulsamos un cambio profundo en materia de formación y capacitación. Además, incorporamos tecnología y articulamos estrategias de trabajo en los 135 municipios”, mencionó Kicillof en una publicación en redes sociales al término del evento, del que participaron cientos de efectivos de la Policía Bonaerense. Tras ello, el Gobernador hiló críticas al fuerte ajuste económico instrumentado por la administración de Milei. “Pese a ese esfuerzo, el Gobierno Nacional decidió quitarle a la Provincia de Buenos Aires los fondos para profundizar lo realizado en materia de seguridad. Sin embargo, vamos a seguir este camino, haciendo todo lo que sea necesario para que nuestra fuerza de seguridad sea más profesional, cercana y humana”, concluyó Kicillof.",https://www.diagonales.com/provincia/kicillof-festejo-el-aniversario-de-la-policia-bonaerense-con-premios-al-personal-y-criticas-a-milei_a675ccca57612cc1ad7e0ac66
Kicillof se mostró con Ferraresi en Avellaneda tras el faltazo al acto de CFK - Diagonales,JUEVES 12 DE DICIEMBRE DE 2024 18:45,"El día posterior a la cumbre del Partido Justicialista (PJ) que oficializó a la expresidenta Cristina Fernández de Kirchner (CFK) como titular nacional del espacio peronista, el gobernador bonaerense Axel Kicillof se mostró con su intendente correligionario Jorge Ferraresi en una sugestiva recorrida por Avellaneda junto a dirigentes del “kicillofismo”, en un gesto que delata la distancia que persiste entre el ala del mandatario provincial y el bando de La Cámpora. La excusa fue la inauguración de paneles solares para la Escuela Técnica N°4 y la entrega de viviendas en el barrio “La Saladita”, fruto de inversiones del Estado bonaerense. El acto convocó esta tarde a referentes de peso en el armado del Gobernador, comenzando por él y por su alfil a nivel municipal Ferraresi, y siguiendo por otros funcionarios del Gabinete como el ministro de Desarrollo de la Comunidad Andrés Larroque. El timing, prácticamente jamás librado al azar en la política, describe otro episodio de la interna en el peronismo bonaerense y nacional. Es que ayer mismo el mandatario provincial había sido el gran ausente en la asunción de CFK como jefa nacional del PJ, alegando cuestiones de “agenda”. El evento contó con la asistencia de dirigentes de La Cámpora, pero también de miembros de otras fuerzas políticas de Unión por la Patria (UP), y terminó evidenciando la pervivencia de las rispideces entre el kicillofismo y el kirchnerismo que, como queda claro, la cumbre del Justicialismo el lunes en Moreno, con el excandidato Sergio Massa también presente, no logró saldar. Mientras tanto, en La Cámpora comenzaron a pasarle factura al Gobernador por el faltazo. “Cada uno es responsable de sus conductas. Era momento de acompañar a Cristina, independientemente de las actividades que tenía cada uno. Obviamente, cada uno reacomodó su agenda. No sé. La verdad es que no sé qué decir, porque cualquier cosa puede ser usada en mi contra, pero creo que tendría que haberla acompañado”, disparó este jueves la senadora bonaerense María Teresa García, dirigente “K” en la Legislatura, en diálogo con Radio 750. La unidad se hace esperar.",https://www.diagonales.com/provincia/kicillof-se-mostro-con-ferraresi-en-avellaneda-tras-el-faltazo-al-acto-de-cfk_a675b59861e572dfae82b1184
"La ""bronca"" de Kicillof contra el Gobierno nacional por la paralización de 16 mil viviendas - Diagonales",MIÉRCOLES 11 DE DICIEMBRE DE 2024 12:51,"El gobernador Axel Kicillof volvió a cruzar al Gobierno nacional por la paralización de la construcción de viviendas que, en muchos casos significó obras a media hacer o terrenos abandonados. ""Cuando desde algunos sectores nos dicen que ahora todo el mundo está convencido de que el mercado y la empresa privada pueden resolver nuestros problemas, les aseguro que en los pueblos de la provincia de Buenos Aires nadie cree en eso”, lanzó en un acto de entrega de viviendas en el municipio de Pehuajó. “Esas ideas ridículas no son más que mentiras: aquí en Pehuajó es el Estado el único que llega para garantizar el acceso a la vivienda, a la salud y a la educación”, agregó. Y continuó: “Nos da mucha bronca ver que junto a las viviendas que construimos hay un terreno baldío por la decisión de un Gobierno nacional que paralizó todas las obras"". El mandatario provincial señaló que son 16 mil las casas que paralizó la gestión de Javier Milei en la provincia y remarcó que detrás de cada una de ellas, ""no hay números ni ladrillos, sino familias bonaerenses y personas de carne y hueso que merecen una vida mejor”. El complejo de 60 viviendas entregadas en Pehuajó está ubicado en el barrio Padre Mugica y forma parte de un proyecto de urbanización que posee además áreas recreativas, comercios, servicios básicos y un jardín de infantes. Asimismo, se prevé la construcción de 21 nuevas viviendas en el barrio, en tanto que hay un Centro de Atención Primaria de la Salud que ya está en ejecución. En el municipio se encuentran paralizadas por el Gobierno nacional 153 soluciones habitacionales del PROCREAR y 91 del programa Casa Propia. Además, Kicillof subrayó que “hay algunos proyectos como el del acueducto que podría solucionar el problema del agua en el municipio pero para eso necesitamos un Gobierno nacional que nos acompañe”. “Da mucha impotencia ver el deterioro que se produce por el abandono y la deserción de la Nación, por eso nosotros en la Provincia nos comprometimos a seguir trabajando incansablemente para dar respuesta a las necesidades de todos los vecinos y vecinas”, indicó. A modo de conclusión, el mandatario hizo un balance del primer año de Milei que resumió como una ""fiesta para los especuladores y abandono para los pueblos de la provincia”.",https://www.diagonales.com/provincia/la--bronca--de-kicillof-contra-el-gobierno-nacional-por-la-paralizacion-de-16-mil-viviendas-_a6759ad2ee3dbd24b4237a080
“El Daño de Milei”: Kicillof sintetizó el año del gobierno libertario y habló del futuro electoral - Diagonales,MARTES 10 DE DICIEMBRE DE 2024 02:45,"Axel Kicillof encabezó esta tarde en el distrito de San Martín un importante acto en el que se despachó en una profunda crítica al primer año de gobierno de Milei y trazó ciertas líneas sobre el futuro electoral en el peronismo bonaerense. “El Daño de Milei”, como eligió llamar la comunicación del gobernador al primer aniversario del lobertario en el poder, fue recorrido por Kicillof desde distintos puntos de entrada y con el ya habitual contraste entre los modelos de gestión entre la PBA y la Nación. “El plan de Milei para bajar la inflación no es el que planteó en la campaña: no se trata de dolarizar ni cerrar el Banco Central. Está haciendo un plan de ajuste convencional como el de Martínez de Hoz, Cavallo o Macri, en el que se plancha el dólar y se destruyen los salarios y las jubilaciones de los argentinos”, arrancó Kicillof yendo al hueso en su crítica al programa económico del libertario y la cuestión inflacionaria, algo que el presidente buscará resaltar en sus distintas intervenciones de mañana como uno de sus principales logros. El gobernador resaltó la pérdida del poder adquisitivo de los salarios como uno de los resultados principales de la economía de Milei, problema que afecta “incluso a los que están en mejores condiciones laborales”, y que en el caso de los jubilados “la pérdida es de un 20%”. “Habría que recorrer toda la historia argentina para buscar si hubo alguna vez un saqueo de esta magnitud”, lanzó Kicillof. El mandatario bonaerense expresó en ese sentido que “Milei aseguraba que iba a llevar adelante un ajuste novedoso, direccionado hacia el sector de “la casta”, pero hizo todo lo contrario: los más perjudicados fueron las y los jubilados. Ajustar a los adultos mayores no es de héroe, sino de cobarde”. Kicillof destacó también que “las políticas del Gobierno nacional hicieron caer 12% la industria y hoy tenemos la capacidad utilizada de nuestras máquinas en el 53%”, al tiempo que la apertura de las importaciones y la reducción del consumo interno ya llevaron al cierre de unas 12.000 pymes. “Yo cambio 100 selfies con Elon Musk por una sola visita a una pyme nacional de las que Milei desconoce completamente”, chicaneó el bonaerense. Del acto participaron representantes de distintos sectores que se ven afectados por las políticas del Gobierno nacional, como jubilados, mujeres y diversidades, trabajadores, científicos e investigadores, universidades, clubes de barrio, pymes, y actores ligados a la obra pública. Kicillof destacó los 4 millones de nuevos pobres “desde que llegó Milei”, y profundizó: “Cuando nos hablan de los presuntos triunfos del Presidente, les respondemos con lo que vemos en cada uno de los sectores que están representados aquí: la plata en la Argentina de Milei no alcanza. Esa es la síntesis: hay fiesta para unos pocos y un desastre para las grandes mayorías”. El gobernador volvió a reclamar al Gobierno nacional los 7,8 billones de pesos adeudados en lo que va del año, y dijo “vamos a seguir reclamando ante la Corte Suprema, pero vamos a hacerlo también en la calle con el acompañamiento de todas las víctimas del ajuste de Milei”. En su habitual lógica de contrastes entre ambos modelos de gestión, Kicillof recordó que “en la provincia de Buenos Aires han paralizado mil obras de infraestructura de manera absolutamente ilegal” y que “ante ello, nosotros tomamos una decisión: el Gobierno de la PBA no para ninguna obra”. El mandatario bonaerense expresó, en relación al desfinanciamiento del sistema científico y universitario, que “en una época sufríamos la “fuga de cerebros”, pero ahora directamente se están yendo pibes que no encuentran futuro en Argentina”. Criticó las desregulaciones, como la de las prepagas y de los medicamentos “que aumentaron un 332%”, así como también los tarifazos que por ejemplo en los clubes de barrio llegan al 400%. Por otro lado, el gobernador se metió con uno de los temas centrales de su crítica al Gobierno nacional: el RIGI y la entrega de los recursos naturales. “La riqueza de nuestro subsuelo puede ponerse al servicio de la producción, pero con una idea clara de para qué y para quién: debemos poner el valor los recursos naturales del país con el único fin de lograr desarrollo nacional y llevar bienestar al pueblo argentino”, sentenció. Kicillof no dejó pasar la oportunidad para pararse, una vez más, como el principal opositor y la principal alternativa política desde lo institucional al gobierno de Milei. “Apuntan a un país fracturado. Necesitan además que nuestro pueblo crea que es inevitable ese camino en el que los jubilados no accedan a los remedios, las universidades sean aranceladas y no haya lugar para las pymes: venimos a decirles que no es el único modelo de país posible y que no van a poder avanzar contra nuestra historia y nuestra cultura”, disparó. El gobernador llegó al acto del que también participaron miembros del gabinete provincial, intendentes e intendentas bonaerenses, diputados y diputadas nacionales, legisladores provinciales, referentes sindicales, representantes de movimientos sociales y estudiantiles, luego de participar de la reunión del PJ provincial que dejó la primera foto de unidad de la era Milei. CFK, Massa y Kicillof compartieron su primera actividad pública en este 2024, y el si bien el gobernador no dejó comentarios al respecto en su intervención en San Martín, sí propuso algunos trazos del futuro electoral en la PBA. “El Gobierno de la provincia de Buenos Aires no les va a soltar la mano a quienes más nos necesitan: estamos aquí para escuchar y darles voz a los jubilados, las mujeres, los estudiantes, los empresarios pyme y los trabajadores porque nuestro papel es representar y acompañar a todos los sectores que están sufriendo las políticas de Milei”, expresó Kicillof, y concluyó: “El año que viene vamos a convocar a todos y a todas para construir un inmenso frente con todos los sectores: la provincia de Buenos Aires va a estar resistiendo, pero también construyendo una alternativa de futuro”.",https://www.diagonales.com/provincia/-el-dano-de-milei---kicillof-sintetizo-el-ano-del-gobierno-libertario-y-hablo-del-futuro-electoral_a6757a9aca8667595a1f12a7e
Kicillof pidió el traspaso de Aerolíneas Argentinas a la Provincia para evitar su privatización - Diagonales,LUNES 9 DE DICIEMBRE DE 2024 10:33,"El gobernador Axel Kicillof sorprendió este lunes al participar de la conferencia de prensa que encabeza tradicionalmente Carlos Bianco a comienzo de cada semana y pedir que Aerolíneas Argentinas pase a manos de la provincia de Buenos Aires. La propuesta del mandatario provincial busca evitar el desguace y la privatización de la empresa estatal que impulsa del gobierno de Javier Milei. Kicillof confirmó que el Estado provincial “comenzó el camino de diálogo” con los trabajadores de Aerolíneas Argentinas, otros gobernadores y ""también con el sector aerocomercial y turístico"" para evaluar alternativas que impidan la venta de la línea de bandera y explicó que una de las opciones es el traspaso a la provincia de Buenos Aires. ""Si el gobierno nacional quiere venderla la Provincia no lo va a permitir"", lanzó el mandatario desde el Salón Dorado de Casa de Gobierno. Para el Gobernador, la embestida de Javier Milei y sus aliados del PRO contra Aerolíneas Argentinas constituye ""otro intento de saqueo"" que afectaría también a la economía de la Provincia. Kicillof aseguró que la privatización de la empresa implicaría menos puestos de trabajo, menos aviones, menos vuelos y menos destinos. Todo ello, provocaría una pérdida para la economía bonaerense de  2665 millones de dólares; cifra que incluye el producto aeroportuario, el impacto en el turismo y el beneficio económico para los pasajeros.",https://www.diagonales.com/provincia/kicillof-pidio-el-traspaso-de-aerolineas-argentinas-a-la-provincia-para-evitar-su-privatizacion_a6756ed87e3feaad46da63423
Máximo Kirchner primereó a Kicillof y recorrió San Martín junto al Movimiento Evita - Diagonales,VIERNES 6 DE DICIEMBRE DE 2024 21:13,"En vísperas de un verdadero súper fin de semana del peronismo bonaerense, el diputado Máximo Kirchner recorrió el partido de San Martín junto a referentes del Movimiento Evita y plantó bandera en lo que será un disputado distrito que también recibirá, el martes próximo, al gobernador bonaerense Axel Kicillof. Desde luego, antes ambos compartirán -se supone- una cumbre del Partido Justicialista (PJ) provincial en Moreno de la que participarán además la expresidenta Cristina Fernández de Kirchner (CFK) y el excandidato Sergio Massa. Fueron la figura de La Cámpora Máximo Kirchner, el líder del Movimiento Evita Emilio Pérsico y el titular de la agrupación Futuro San Martín Leonardo Grosso quienes arribaron primero a San Martín: la cita fue este viernes por la tarde, cuando los dirigentes kirchneristas mantuvieron un encuentro en el Polo Productivo Disco de Oro con el espacio “Economía Popular es Trabajo”, que nuclea a más de 80 cooperativas y fábricas recuperadas de la Primera Sección electoral. En ese marco, la comitiva encabezada por Máximo Kirchner dialogó con trabajadores locales de las cooperativas Disco de Oro, SUDAKA, 31 de Enero y Changuita Despierta. Tras ello se realizó un acto que tuvo al hijo de CFK como principal orador con la compañía de Grosso, quien le disputa la interna al intendente sanmartinense Fernando Moreira. El evento, en los papeles, versó más sobre la resistencia al ajuste del Gobierno Nacional de Javier Milei que acerca de la interna en el peronismo, pero, como siempre, a trasluz dejó ver ligeros puntos de discusión. El más importante fue el de la elección del día y el lugar del acto: la recorrida se realizó en el mismo partido que recibirá a Kicillof el martes venidero para un importante acto en ocasión del primer aniversario de gestión libertaria. En ese sentido, Máximo Kirchner “primereó” al Gobernador y, de yapa, llevó consigo al Movimiento Evita en un guiño que muestra los lazos de la agrupación con La Cámpora. Sin embargo, todo podría aquietarse pronto: este lunes, Moreno espera a los dos dirigentes para que, junto a CFK y Massa, rearmen una agrietada oposición.",https://www.diagonales.com/provincia/maximo-kirchner-primereo-a-kicillof-y-recorrio-san-martin-junto-al-movimiento-evita_a675392c39508b861e6302f23
Kicillof y Tapia pusieron la firma y el Estadio Único será “la nueva casa del fútbol argentino” - Diagonales,VIERNES 6 DE DICIEMBRE DE 2024 18:22,"Fruto de un acuerdo entre la Provincia de Buenos Aires y la Asociación de Fútbol Argentino (AFA), el Estadio Único “Diego Armando Maradona” de La Plata se convertirá en “la nueva casa del fútbol argentino”, según resulta de un convenio firmado este viernes por el gobernador Axel Kicillof y el Presidente del ente deportivo Claudio “Chiqui” Tapia que contó también con la colaboración del intendente local Julio Alak y del titular de la CONMEBOL Alejandro Domínguez. “El Estadio Único ‘Diego Armando Maradona’ será la nueva casa de todo el fútbol argentino. Firmamos un convenio marco de colaboración con AFA para que el estadio recupere la pasión del deporte con eventos de los diversos seleccionados nacionales de fútbol y otros del ámbito local y del plano internacional”, celebró Kicillof esta tarde tras rubricar junto a Tapia el acuerdo, que busca posicionar la emblemática cancha de La Plata en el radar competitivo para hospedar encuentros de la Selección Argentina y de otras naciones y clubes. La Provincia y el municipio tuvieron su primer acercamiento con la AFA y CONMEBOL la semana pasada, cuando Domínguez visitó el Estadio Único de la mano de Kicillof, Alak y Tapia. En aquella ocasión, el intendente mencionó que la confederación de fútbol suramericano se hallaba “evaluando seriamente la posibilidad de firmar un convenio con Buenos Aires para que el estadio sea utilizado por la Selección mayor, por todas las selecciones de AFA y también por CONMEBOL”. Por ello, el Gobernador valoró este viernes la asistencia de los funcionarios y autoridades en la rúbrica del acuerdo: “Todo mi agradecimiento a Claudio Tapia por confiar en este proyecto, a Julio Alak por su inmensa labor en la ciudad, y a Cristian Cardozo [miembro del ministerio de Gobierno bonaerense] por su gestión para poner en valor un sitio tan importante para la Provincia”. La expectativa está sobre la mesa: ¿jugarán Lionel Messi y la Scaloneta en La Plata en 2025?",https://www.diagonales.com/provincia/kicillof-y-tapia-pusieron-la-firma-y-el-estadio-unico-sera--la-nueva-casa-del-futbol-argentino-_a67536acf9b9e43b8243a3e34
La Cámpora se mueve en Avellaneda mientras Ferraresi gira por la Provincia - Diagonales,VIERNES 6 DE DICIEMBRE DE 2024 18:03,"Con el peronismo atravesando días de cierta calma en una interna que está lejos de resolverse, movimientos por lo bajo de los distintos sectores dejan ver a las claras nadie regala nada y cada campamento avanza en un proceso de acumulación propia que, más temprano o más tarde, se derramará en la discusión por las listas 2025. En ese marco, quizás el principal epicentro territorial de la tensión interna del peronismo se ubica en el sur del conurbano, entre los distritos de Avellaneda, Quilmes y Lanús. Allí, los intendentes Jorge Ferraresi, Mayra Mendoza y Julián Álvarez mantienen profundas tensiones que a lo largo de los últimos meses tuvieron múltiples y distintos puntos de ebullición, desde la discusión por los recursos del Puerto de Dock Sud hasta las incursiones de Ferraresi en los distritos vecinos a Avellaneda. Sin tanto revuelo como otras veces, en las últimas horas hubo otro episodio en esa línea. Ferraresi inició este jueves una gira por el interior bonaerense, que lo llevará en el transcurso del fin de semana a ciudades como Tres Arroyos, Tandil y Mar del Plata. El jefe comunal de Avellaneda lleva la bandera de “Todos con Axel” a los distritos, avanzando en el proceso de armado de mesas distritales que apoyen al gobernador. Este viernes, acompañado por su par de Villa Gesell, Gustavo Barrera, Ferreresi encabezará un plenario de militancia denominado “Tandil con Axel”. Elegido o no, el destino del plenario es justamente un distrito donde la titularidad del PJ la detenta La Cámpora a través del diputado nacional Rogelio Iparraguirre, quien organizó una reunión de trabajo del peronismo local casi en paralelo al plenario de Ferraresi y Barrera. Pero esa no fue la única respuesta de la organización de Máximo Kirchner a los movimientos del intendente de Avellaneda. Este jueves, ya con Ferraresi iniciando su gira, el senador provincial Emmanuel Santalla tuvo actividad política en el distrito y se encargó de difundirlo. Santalla es el principal opositor interno a Ferraresi en el municipio y su lugar en el Senado bonaerense fue uno de los puntos álgidos de la discusión entre el ex vicepresidente del Instituto Patria y La Cámpora. El senador provincial de UP se reunió con referentas de comedores y merenderos del distrito, en un movimiento similar a cuando Ferraresi visitó a vecinos de Lanús y Quilmes semanas atrás. “En este contexto de brutal ajuste impulsado por el gobierno de Javier Milei, el trabajo que hacen estas mujeres todos los días en nuestros barrios es fundamental para sostener a miles de familias que no pueden garantizar las 4 comidas del día para sus hijos e hijas. La solidaridad y la participación de nuestros vecinos para ayudar a quien más lo necesita es la base desde donde vamos a construir un proyecto de inclusión para todos y todas”, señaló Santalla. El encuentro fue impulsado desde el Ateneo Cristina Conducción, el anclaje que tienen La Cámpora y el cristinismo en el municipio gobernado por uno de los principales armadores de Kicillof. La actividad, lógica para un dirigente en su propio distrito, cobra otro color si se la pone en contexto con la tensión entre La Cámpora y Ferraresi y el momento exacto de un nuevo acto del intendente en un distrito donde el camporismo tiene protagonismo.",https://www.diagonales.com/provincia/la-campora-se-mueve-en-avellaneda-mientras-ferraresi-gira-por-la-provincia_a675365869b9e43b82439c547
Súper fin de semana del peronismo bonaerense - Diagonales,VIERNES 6 DE DICIEMBRE DE 2024 17:33,"El peronismo parece empezar a dar vuelta al menos temporalmente las peores páginas de su interna, que llevaron a que sus divisiones coparan totalmente la agenda pública en los peores momentos del gobierno de Milei. Hoy, frente a un oficialismo fortalecido, la necesidad es enfocar los cañones hacia el libertario y dejar en stand by las roscas que inevitablemente volverán a emerger cuando se acerque el tiempo de las listas. Sin unificarse pero sin tampoco tirarse una a la otra, cada tribu a su manera se mueve para fortalecer lo propio y llevar agua al molino general de la oposición al Gobierno nacional que todo el peronismo necesita consolidar. Muestra de esta nueva fase en la que se mueve el peronismo bonaerense serán los próximos cuatro días. Florecen los encuentros militantes, en distintos territorios, con banderas propias, pero sin que aparezcan en el centro del tablero las diferencias internas como los ordenadores de esos encuentros. Un momento de acumulación general y para cada campamento en particular, que en pocas semanas servirá para el juego de las negociaciones pre electorales. Este viernes será un día de hiperactividad para el peronismo de la PBA. Casi en paralelo se desarrollarán tres encuentros en distintas localidades, encabezados por primeras líneas de cada tropa y con objetivos particulares. Máximo, Larroque y Ferraresi dirán lo suyo abriendo un fin de semana que culminará el lunes con un acto del gobernador y el reencuentro entre los tres pilares que hoy tiene el peronismo. El diputado nacional y líder de La Cámpora encabezará un acto en San Martín desde las 18. La cita es en el Polo Productivo Disco de Oro y la organiza Futuro San Martín, un armado local amplio que lidera Leonardo Grosso y con el cual el año pasado fue a internas en el distrito enfrentando a Fernando Moreira. Grosso mantiene una estrecha relación con Kirchner a partir de una cercanía generacional y muchos años compartidos en Diputados, y es uno de los principales puentes del Movimiento Evita con La Cámpora. La actividad comenzará con un encuentro regional de cooperativas, fábricas recuperadas y espacios de cuidado de la Primera Sección electoral, nucleados en un espacio llamado “Economía Popular es Trabajo”. Luego, los representantes de las cooperativas mantendrán un diálogo con Máximo sobre cómo están llegando al primer año de Milei. El encuentro cerrará con el acto en el que Kirchner y Grosso serán los oradores. Están invitados tanto funcionarios bonaerenses como del municipio de San Martín, y también estarán referentes del Movimiento Evita como Emilio Pérsico. “Es un acto político de Futuro San Martín y el Evita con Máximo. Yo trabajo con él hace mucho tiempo y conoce nuestro trabajo acá, viene a conversar sobre eso, no hay nada en línea con una interna. Por suerte vamos a la unidad, en el acto del lunes van a estar Axel, Cristina y Massa”, explicó Leo Grosso a Diagonales. En el mismo horario, Jorge Ferraresi llevará a cabo una más de sus incursiones en otros territorios bonaerense por fuera del municipio de Avellaneda donde gobierna, siempre embanderado en el apoyo a Kicillof. “Tandil con Axel” es la consigna del encuentro que Ferraresi encabezará junto al intendente de Villa Gesell, Gustavo Barrera. El “Plenario para la Militancia” tiene cita a las 18 en el centro cultural Arte y Parte y buscará debatir sobre “debatir sobre este presente y la construcción del futuro del peronismo”. De toda la agenda del fin de semana, el plenario en Tandil es el que quizás más enciende alarmas en clave de la interna peronista. Y es que el enfrentamiento entre Ferraresi y La Cámpora ya escaló a niveles casi insostenibles y cada movimiento del jefe comunal parece ir en esa línea y genera una respuesta por parte de la organización de Máximo Kirchner. En este caso, el punto es que el titular del PJ de Tandil es el diputado nacional camporista Rogelio Iparraguirre, y la visita de Ferraresi al distrito es vista en La Cámpora como un nuevo gesto de desafío y provocación por parte del intendente. Tal es así que Iparraguirre convocó a una reunión de trabajo al PJ local a las 19, casi en simultáneo al plenario de Ferraresi y Barrera, en un evidente intento de vaciarles esa instancia. En paralelo, Emmanuel Santalla, senador provincial de La Cámpora y principal opositor interno a Ferraresi en Avellaneda, estuvo este jueves reunido con referentas de comedores y merenderos de ese distrito, en una jugada similar a la que el intendente realizó cuando visitó a vecinos de Quilmes y Lanús. También este viernes tendrá lugar otro acto, esta vez en la CABA y organizado por La Patria es el Otro, la organización que conduce Andrés el “cuervo” Larroque. El ministro de Desarrollo de la Comunidad bonaerense es otro de los grandes armadores del kicillofismo, y llevará ese impulso a la Ciudad con un plenario en la sede de la UOM a las 17. “La Militancia construye la esperanza”, es la consigna del encuentro que acompaña a la ya clásica de “La Patria no se Vende”, quizás la consigna más referenciada con el armado del gobernador. Junto a Larroque estarán otros importantes dirigentes y funcionarios bonaerenses, como Cristina Álvarez Rodríguez y Walter Correa. Participarán también dirigentes de espacios cercanos al gobernador como Patria y Futuro, el armado de Carlos Bianco, y Kilómetro Cero, incipiente armado de Augusto Costa. “Entendemos que hay dos caminos para nuestro país: Axel con un Estado eficiente, planificación y sensibilidad, o Milei con un Estado ausente que reprime y excluye buscando la disolución nacional”, expresaron en la convocatoria al evento. El sábado continuará la hiperactividad peronista con un acto a las 10 de la mañana en Moreno, organizado por otro ministro bonaerense, el titular de Trabajo, Walter Correa. “Construyendo Moreno con Axel” es el título del “encuentro de la militancia” que se llevará adelante en el Ateneo Néstor Kirchner. La actividad responde, como la de Ferraresi, al armado de mesas distritales que el kicillofismo se trazó como un paso concreto en la construcción de bloque propio con presencia en toda la PBA, que el año que viene reclamará lugares en las listas. Moreno será, justamente, el teatro donde se desarrollará el reencuentro de los tres espacios que hoy conforman el peronismo bonaerense. El PJ de la PBA, encabezado por Máximo Kirchner, lanzó este jueves la convocatoria a una reunión del Consejo Provincial partidario, con un temario que incluirá un informe del bloque legislativo y un análisis de la situación política. “Por indicación del compañero presidente Máximo Kirchner”, expresa el comunicado, fueron invitados a participar de la reunión Kicillof, Sergio Massa y CFK en su flamante carácter de titular del PJ nacional. El encuentro se desarrollará el lunes 9 desde las 12. en la reserva municipal “Los Robles”, con la intendenta Mariel Fernández como anfitriona. Kicillof deberá acelerar su participación en el Consejo Provincial ya que, para ese mismo lunes, tiene preparado un acto propio con motivo del primer aniversario del gobierno de Milei. #ElDañoEsMilei será la consigna del evento, en el que el gobernador estará rodeado de representantes de distintos sectores sociales agredidos por las políticas del Gobierno nacional, en un acto de estilo cristinista que hará recordar a la campaña de Unidad Ciudadana de 2017 y las recientes incursiones de CFK en distintos distritos del conurbano. Kicillof continuará con su polarización con Milei, contrastando el modelo de gestión bonaerense con la deserción del Gobierno nacional de sus responsabilidades centrales, una línea que viene desplegando desde inicios del gobierno del libertario. Para ello, lo acompañarán trabajadores de distintos sectores, empresarios pymes, dirigentes estudiantiles, referentes del sistema científico y representantes de clubes de barrio, entre otros sectores. La cita es a las 16.30 en el Centro Miguelete, por lo que el gobernador saltará de la reunión del PJ al encuentro en San Martín. El intendente Fernando Moreira junto a Gabriel Katopodis, ministro de Infraestructura bonaerense y hombre fuerte del distrito, oficiarán de anfitriones. Allí también se marcará cierta distancia con el acto de este viernes en San Martín, donde los encargados de recibir a Máximo Kirchner serán quienes compitieron en una dura interna con Moreira, que no estuvo exenta de situaciones picantes. Sin embargo, hoy los distintos campamentos peronistas se muestran más enfocados en fortalecerse a sí mismos que en atacar al de enfrente, una dinámica que puede reportarle buenos resultados al peronismo en general si esas construcciones logran confluir en un armado común y sin desangrarse.",https://www.diagonales.com/provincia/super-fin-de-semana-del-peronismo-bonaerense_a6753598a9b9e43b824387f6d
