Título,Fecha,Cuerpo,URL
La Plata: ruidosa protesta de colectivos frente a Gobernación en reclamo de subsidios adeudados,"diciembre 18, 2024","La protesta frente a Gobernación involucró a más de cien micros. (0221)
Más de cien colectivos mantuvieron cortado el tránsito en la calle 6 de La Plata entre la plaza San Martín y la Gobernación, en un reclamo de empresarios del transporte por el pago de subsidios atrasados. Mientras tanto, se realizó otra protesta simultánea en la avenida General Paz, en el límite entre Capital Federal y la provincia.
La medida apunta a obtener los fondos que necesitan para garantizar el pago de los salarios y los aguinaldos. De acuerdo con datos recabados por 0221, las empresas reclaman una deuda de unos $ 28.000 millones que corresponden a una parte de los meses de mayo, junio, julio y agosto y al monto total de los meses de septiembre, octubre, noviembre y diciembre.
Según representantes del sector, son al menos 130 las empresas afectadas, que poseen un parque de alrededor de 8.600 micros.
El bloqueo repitió la protesta del 6 de diciembre, cuando por la misma razón unas 200 unidades cerraron la circulación frente a la Casa de Gobierno.
“Una crisis nunca vista”
Las cámaras de transporte afirmaron oportunamente que por la falta de fondos por no realizarse los giros hay inconvenientes para afrontar los costos de los servicios, en especial el pago de salarios. Para las cámaras se trata de una “una crisis nunca antes vista” que obedece a que “los ingresos de las empresas están totalmente regulados por el Estado a través del costo del pasaje y de los subsidios”.
Además de la protesta frente a la Gobernación, otro grupo de colectivos del AMBA se manifiestó con una caravana sobre la avenida General Paz, en el límite entre Capital Federal y la provincia.
Según denuncian los empresarios, en la cartera que conduce Jorge D’Onofrio les vienen prometiendo desde hace 4 días que van a realizar los pagos correspondientes a los subsidios del transporte, pero los fondos no llegan. (DIB) MM",https://dib.com.ar/2024/12/la-plata-ruidosa-protesta-de-colectivos-frente-a-gobernacion-en-reclamo-de-subsidios-adeudados/
El Gobierno oficializó el cierre de Trenes Argentinos Capital Humano,"diciembre 17, 2024","El Gobierno nacional oficializó algo que había anunciado en octubre pasado: cerró la empresa estatal Trenes Argentinos Capital Humano (DECAHF). La empresa “no operaba trenes, sino personal, y no tenía funciones que justifiquen su existencia”, según se afirmó en su momento, y el cierre implica “un ahorro para el Estado de 42.000 millones de pesos anuales”.
El cierre de DECAHF fue oficializado por la Resolución 58/2024, publicada este martes en el Boletín Oficial. Entre los considerandos de la medida, se asegura que “el 12 de junio de 2024 se declaró la emergencia pública en materia ferroviaria para los servicios de transporte de pasajeros y cargas de jurisdicción nacional por el plazo de veinticuatro (24) meses” y que por lo tanto, “se ponderó que resulta fundamental orientar el destino de los fondos públicos hacia el objetivo primordial de maximizar las inversiones y los recursos empleados para la prestación de un servicio ferroviario en condiciones de eficiencia y seguridad”.
trenes-capital-humanoDescarga
Asi, en las disposiciones de la resolución se expresa “el cese inmediato de las actividades” de Desarrollo del Capital Humano Ferroviario Sociedad Anónima con Participación Estatal Mayoritaria -nombre completo de la empresa-. Y, por último, se solicita al directorio de DECAHF “que convoque a la Asamblea General Extraordinaria para que sea tratado el inicio del proceso de liquidación de la sociedad”.
“Malgastaba recursos”
Por su parte, en un comunicado del Ministerio de Economía se informó que “el cese de actividades de Trenes Argentinos Capital Humano (DECAHF) fue firmado por la Secretaría de Transporte del Ministerio de Economía y se enmarca en el anuncio del Gobierno Nacional de avanzar en el cierre del organismo ferroviario que no operaba trenes. Con esta medida, concluye el proceso de cierre definitivo que inició en octubre”.
“A partir de ahora, Trenes Capital Humano no realizará contrataciones ni facturaciones y, en los aspectos puntualmente económicos, no tendrá egresos ni tampoco ingresos. Además, al darse de baja la empresa, no contará con personal ni realizará ninguna actividad”, continúa el texto.
En el comunicado se asegura que DECAHF “malgastaba recursos, no operaba trenes y no tenía funciones que justifiquen su existencia”.
Además, se resalta que “Trenes Capital Humano demandó 180 millones de dólares al Tesoro nacional durante la gestión anterior para motivos insólitos como fueron obras de arte en estaciones de trenes que no operaban o programas como ‘Entretrenerte’ donde contrataban artistas y hacían fiestas gratis durante la pandemia”.
“El cierre del organismo constituye un ahorro para el Estado de 42 mil millones de pesos anuales, a partir de la reducción de 1.388 empleados y la eliminación de 23 cargos jerárquicos que cobraban promedio entre 2 y 4 millones de pesos mensuales”, cierra el texto difundido por la Secretaría de Transporte, dependiente del Palacio de Hacienda. (DIB) MM",https://dib.com.ar/2024/12/el-gobierno-oficializo-el-cierre-de-trenes-argentinos-capital-humano/
“Feliz Mundialidad”: la Selección recordó los dos años de la final de Qatar con un divertido video,"diciembre 18, 2024","Este miércoles se cumple el segundo aniversario de la histórica victoria de Argentina ante su par de Francia en el Mundial de Qatar 2022 y para conmemorarlo, la Selección publicó en sus redes sociales un emotivo video en el que el saludo navideño cambia a “Feliz Mundialidad”.
El video presenta a Papá Noel en una consulta con una psicóloga, quien le pregunta por sus inquietudes. “Hace años que recorro países haciendo felices a grandes y a chicos, pero desde hace dos años ya no sé qué traerles a los argentinos”, inició Papa Noel.
“Desde el 2022, ellos ya son felices”, agregó. “Llevo remeras, pero solo usan las de la Selección; calzoncillos nuevos, pero por cábala solo usan los de la final; llevo mates, pero los quieren con las tres estrellas”.
“Antes armaban el arbolito, ahora arman juntadas para ver las repeticiones de la final”, insistió Papa Noel.
Y se lamentó: “Dejé pasar un tiempo, pero trajeron una copa más”, haciendo referencia a la reciente Copa América. “Después de eso, ¿a quién le importa la Navidad?”, se preguntó.
“Quiero saber qué se siente tener un día más feliz que la Navidad, quiero que se pare el país en Nochebuena, quiero llegar a la Argentina y que me esté esperando la gente en la calle… ¡Quiero una caravana atrás del trineo así!”, expresó. Luego la psicóloga le dio la Copa del Mundo para que la levantara y supiera lo que se siente.
Tras desearles una “Feliz Mundialidad”, Papá Noel le dejó un mensaje a Messi: “¿Será posible pedir otra a Papá Lionel?”. (DIB)",https://dib.com.ar/2024/12/feliz-mundialidad-la-seleccion-recordo-los-dos-anos-de-la-final-de-qatar-con-un-divertido-video/
La Legislatura sesiona este jueves y la mira está puesta en el Presupuesto de Kicillof,"diciembre 18, 2024","La Cámara de Diputados bonaerense.
La Cámara de Diputados, y probablemente el Senado, sesionará este jueves con la intención de darle luz verde al proyecto de Presupuesto 2025, la Ley Impositiva y la reforma jubilatoria del Banco Provincia (Bapro), tres proyectos clave para el gobernador Axel Kicillof.
Tras conseguir el viernes último el dictamen de mayoría del Presupuesto 2025 y la Ley Impositiva en la comisión de Presupuesto e Impuestos, ahora Unión por la Patria buscará el debate en el recinto de la Cámara baja. Para eso, en las últimas horas buscó limar las diferencias con una serie de intendentes peronistas que llegaron hasta La Plata preocupados por la falta de definiciones respecto a los fondos que iban a recibir los municipios.
El proyecto de Presupuesto de Kicillof establece un total de recursos $32,8 billones (con una proyección de gastos por $34 billones), lo que representa un incremento del 35,9% respecto de este año, con un amplio enfoque en nuevas inversiones y mejoras en infraestructura con la continuidad de la obra pública, según precisó el ministro de Economía bonaerense Pablo López.
No obstante, los bloques opositores del PRO y de UCR + Cambio Federal manifestaron su rechazo, al cuestionar varios puntos del proyecto y denunciar que el oficialismo “no mostró voluntad de diálogo para generar consensos”. Asimismo, prometen dar batalla por el pedido de endeudamiento y solicitaron la inclusión de un Fondo de Fortalecimiento Fiscal Municipal que sea de libre disponibilidad y de remisión automática.
Una posibilidad que el oficialismo ve con buenos ojos es que horas después de la posible aprobación en Diputados de la ley de leyes, el Senado, que también sesionará este jueves, los pueda tratar. En este cuerpo, todo indica que el diálogo está avanzado.
En tanto, a principios de esta semana diputados peronistas consiguieron el dictamen de mayoría para tratar la ley el proyecto que modifica el régimen jubilatorio para trabajadores del Banco Provincia.
La iniciativa fue presentada por Kicillof y deroga los cambios que se le hicieron al sistema previsional del Bapro durante la gestión de María Eugenia Vida. El proyecto fue aprobado por el Senado el 14 de noviembre y busca reducir el déficit y garantizar su sostenibilidad, aunque regresa el haber al 82% en vez del 75%. (DIB)",https://dib.com.ar/2024/12/la-legislatura-sesiona-este-jueves-y-la-mira-esta-puesta-en-el-presupuesto-de-kicillof/
Ruta 188: choque múltiple ocasionado por humo de quema de pastizales,"diciembre 17, 2024","La visibilidad reducida fue determinante en el accidente. - El Norte -
Debido al denso humo provocado por un incendio, se produjo un siniestro vial en la Ruta 188 a la altura de Villa Esperanza, San Nicolás. La visibilidad reducida fue determinante en el accidente, en el que un camión embistió a otro desde atrás, quedando un conductor atrapado en la cabina, de acuerdo con el diario El Norte.
El siniestro involucró a dos camiones y dos automóviles y dejó como saldo heridos y múltiples daños materiales. Según el Departamento Zona Operativa Vial III de San Nicolás, el hecho ocurrió cuando un camión Fiat Iveco blanco cargado con carbonilla, conducido por un hombre de 54 años y domiciliado en Olavarría, colisionó desde atrás a otro camión Fiat Iveco 1720 que transportaba fertilizante y era conducido por un hombre de 33 años, que resultó ileso. El conductor del primer camión quedó atrapado en la cabina y fue trasladado al hospital local.
Como consecuencia de este primer impacto, se produjo una colisión frontal entre dos vehículos de menor porte: un Fiat Strada conducido por un hombre de 38 años, que sufrió lesiones leves e iba acompañado por una joven de 29 años que resultó con lesiones leves. Y el otro auto, un Fiat Uno que era conducido por un hombre de 48 años, también con lesiones leves. (DIB) GML",https://dib.com.ar/2024/12/ruta-188-choque-multiple-ocasionado-por-humo-de-quema-de-pastizales/
Un avión privado se despistó en el aeropuerto de San Fernando: murieron el piloto y el copiloto,"diciembre 18, 2024","El avión se estrelló contra una casa en San Fernando. (Imagen de TV)
Un avión privado se despistó este miércoles al mediodía cuando intentaba aterrizar en el aeropuerto de San Fernando y se prendió fuego luego de impactar en una zona de viviendas. La aeronave volvía a Buenos Aires después de realizar un viaje a Punta del Este y pertenecía a la familia de Jorge Brito, dueño del Banco Macro y presidente de River Plate.
El avión solo estaba tripulado por el piloto y el copiloto, quienes fallecieron producto del siniestro. El piloto fue identificado como Martín Fernández Loza, de 44 años, en tanto que el copiloto era Agustín Orforte, de 35 años. La aeronave era un Challenger 300, matrícula LV-GOK. De acuerdo con la agencia Noticias Argentinas, el avión que pertenecía a la familia Brito había sido alquilado como vuelo chárter a un tercero.
“El avión entró pasado a la pista y por alguna circunstancia no pudo frenar, terminó despistándose e impactando con viviendas que están al lado del aeropuerto”, detallaron testigos al sitio Infobae.
De acuerdo con registros aeronáuticos, el Challenger había realizado este miércoles dos viajes. Partió rumbo a Punta del Este a las 11.12 y aterrizó en Uruguay a las 11.44. Una hora después partió rumbo a San Fernando, donde tocó tierra a las 13.18 y se produjo el accidente.
El avión se pasó de pista, no pudo frenar, arrasó con un alambrado y destrozó dos casas y un auto. En las inmediaciones del aeródromo había fuego debido al accidente. Además, el choque provocó daños y otros focos ígneos en casas aledañas, lo que generó pánico entre los vecinos.
Un comerciante de la zona, que se encontraba a metros del lugar del siniestro, contó que el avión derrapó y sobrevino sobre las casas, aunque no llegó a incrustarse en ellas. “Entiendo que golpeó las casas pero no se incrustó. Tal vez el piloto de buena fe apuntó a la calle”, dijo el testigo, de nombre Tomás, en declaraciones a TN. (DIB) MM GML",https://dib.com.ar/2024/12/un-avion-privado-se-despisto-en-el-aeropuerto-de-san-fernando-murieron-el-piloto-y-el-copiloto/
Acuerdo entre IOMA y Femeba: se elimina la intermediación económica,"diciembre 18, 2024","El acuerdo fue rubricado por el presidente de IOMA, Homero Giles, y tras el corrimiento de la presidencia de la entidad de Guillermo Cobián, por el vicepresidente de Femeba, Sandro Scafatti. - Ioma -
IOMA y Femeba suscribieron una nueva acta acuerdo que da por terminado el actual convenio entre las partes y que establece condiciones que solicitaba la obra social para garantizar las prestaciones y servicios médicos por las que paga en todo el territorio de la provincia de Buenos Aires, informó IOMA. De su parte, Femeba informó que “en una muestra de buena voluntad”, la Federación y sus entidades primarias, “para solucionar el conflicto” con Ioma, “decidieron aceptar la exigencia de la obra social provincial de dar por finalizado el convenio capitado que los vincula, para firmar un convenio por prestación en todo su ámbito geográfico”.
El acuerdo fue rubricado por el presidente de IOMA, Homero Giles, y tras el corrimiento de la presidencia de la entidad de Guillermo Cobián, por el vicepresidente de Femeba, Sandro Scafatti. “Este convenio busca mejorar la accesibilidad para el universo afiliatorio de los servicios médicos. El objetivo principal es asegurar el derecho a la salud de las y los afiliados y optimizar los recursos económicos de la obra social”, destacó la obra social.
Según se explicó desde el Instituto Obra Médico Asistencial, el convenio con Femeba data del 8 de julio de 1959 y en todas las décadas transcurridas siempre a la Federación se le reconoce la representación gremial de sus asociados, como se lo hace en este nuevo acuerdo, pero también, cabe decir, que siempre fue intermediaria económica entre la obra social y los profesionales que prestan servicios. Ahora, es la primera vez en 65 años que se elimina esa intermediación económica.
“No es poca la inversión económica que realiza el IOMA todos los meses. Pero como se ha dicho muchas veces, la obra social tiene la responsabilidad y obligación de que esos recursos sean bien administrados ya que son el resultado del aporte de las personas afiliadas que sostienen el sistema solidario que posibilita que todos reciban la misma atención sin importar el valor de su contribución económica”.
El cambio en el convenio se da como resultado y la exigencia, dice Ioma, “de garantizar una mejor gestión de los recursos que mes a mes pone a disposición el Instituto con el fin de dar el mejor servicio médico a los más de 2 millones de personas afiliadas. Por otra parte, también propone una mayor transparencia en la administración de estos recursos que deben llegar a las y los profesionales de la salud en tiempo y forma. Las medidas nuevas suscriptas en el convenio, beneficiará a las y los afiliados al IOMA, asegurando un acceso más directo y controlado a la atención médica”.
Por su parte, Femeba destacó que la suscripción de este acuerdo, que abarca todos los partidos donde tiene ámbito la Federación, implica la adhesión voluntaria de cada una de las Entidades Primarias, y la obligación de reempadronar a todos sus médicos, quienes deberán comprometerse a no percibir sumas no previstas en el convenio. Asimismo, Femeba deberá remitir al IOMA en forma detallada toda la información prestacional que corresponda.
Respecto de la deuda del Instituto, Femeba “aceptó conciliar la deuda que reclama en comisión mixta”. Además, mediante este acuerdo, “la Federación Médica se obliga a no implementar nuevos ceses o cortes de servicio por este tema, ni establecer pagos de los afiliados en forma unilateral”.
“El convenio por prestación se suscribió a similares valores y en las mismas condiciones que las acordadas por la obra social con otras entidades médicas en el resto de la provincia. La decisión de Femeba trae como consecuencia la normalización de las prestaciones en todo el ámbito provincial, e implica para beneficiarios y médicos, restablecer su relación”, reza el comunicado de los médicos.
De acuerdo con el comunicado de Ioma, se destaca del nuevo convenio:
– Eliminación de la intermediación: los pagos por prestaciones médicas se harán directamente a los círculos médicos que adhieran al convenio.
– Reempadronamiento de profesionales.
– Compromiso de no cobros indebidos: los profesionales médicos tendrán que firmar una declaración jurada mediante la que se comprometen a no cobrar montos o ningún tipo de sumas dinerarias a los afiliados que no estén debidamente autorizados.
– Uso de herramientas electrónicas: los profesionales deberán enviar digitalmente las prestaciones en tiempo real para su auditoría por parte del IOMA. También se comprometen a utilizar la receta electrónica y otros sistemas para optimizar el control.
– Facturación electrónica: se implementará un sistema que garantizará la correcta distribución de los fondos a los profesionales después de realizar las retenciones de ley que correspondan.
– Representación gremial de Femeba: la Federación mantendrá la representación gremial para aquellos círculos que lo deseen y adhieran. También se compromete a apoyar la implementación de herramientas digitales para el correcto control de lo que paga IOMA mensualmente. (DIB) GML",https://dib.com.ar/2024/12/acuerdo-entre-ioma-y-femeba-se-elimina-la-intermediacion-economica/
Desafectan a un comisario que intentó entrar a la fuerza al recital de Los Piojos,"diciembre 19, 2024","El efectivo en el recital de Los Pijos. (Imagen TV)
El tercer recital de Los Piojos en La Plata, donde la banda volvió a hacer vibrar el miércoles a la noche a unas 50 mil personas, tuvo un hecho insólito. Fue cuando un policía con rango de comisario mayor atropelló con un cuatriciclo a un empleado de control en el intento de acceder al predio con dos jóvenes a bordo del vehículo. 
Se trata de Christian Guillermo Geada, de 50 años, de Junín, a cargo del Grupo de Apoyo Departamental (GAD), una de las divisiones operativas de la fuerza provincial encargada de operativos especiales.
El hecho, que quedó grabado en un video, se dio cuando el uniformado irrumpió en el lugar a bordo de un cuatriciclo, acompañado de dos mujeres. Así, volteó una de las vallas de contención. Todo, en medio de un escándalo, a la vista de efectivos de la tropa UTOI del Ministerio de Seguridad provincial.
Luego se supo que debido a la embestida del agente, un hombre de control debió recibir asistencia por parte de sus compañeros y que posteriormente fue derivado a un centro médico de la ciudad en donde permaneció en observación. 
Fuentes oficiales confirmaron este jueves que Geada fue “desafectado”, es decir que ya no está más a cargo de ese grupo de intervención policial y que se inició un sumario en Asuntos Internos.
En tanto, el fiscal Álvaro Garganta decidió instar una causa penal en su contra y comenzó a estudiar las imágenes en las últimas horas. Las posibles calificaciones que podrían aplicarse en su contra son las de abuso de autoridad y violación de los deberes de funcionario público. (DIB)",https://dib.com.ar/2024/12/desafectan-a-un-comisario-que-intento-entrar-a-la-fuerza-al-recital-de-los-piojos/
Final feliz: el elefante marino encontrado en La Plata pudo regresar al mar,"diciembre 18, 2024","El ejemplar de elefante marino encontrado en La Plata regresó al mar.
El elefante marino encontrado esta semana en el arroyo El Gato, en La Plata, pudo volver a su hábitat natural, el océano, gracias a un operativo coordinado por el ministerio de Ambiente bonaerense, Prefectura Naval Argentina, Policía Bonaerense, Defensa Civil y la Fundación Temaikén.
El ejemplar, una hembra de unos 800 kilos que por fortuna no estaba herida, fue liberado en la Reserva Provincial Natural Rincón de Ajó, ubicada en el partido de General Lavalle.
“Los elefantes marinos son animales migratorios que pasan la mayor parte de su vida en el océano, aunque toleran agua dulce. La crecida del Río de La Plata facilitó su llegada al arroyo El Gato, en busca de alimento”, indicaron desde el ministerio de Ambiente bonaerense.
Las primeras acciones de rescate fueron llevadas adelante el lunes pasado, en la zona urbana de Ringuelet, en la calle 4 y 514, por personal de Defensa Civil bonaerense. El animal fue sedado y asistido por especialistas de la Fundación Temaikén.
“Este rescate fue posible gracias al trabajo en equipo y el compromiso conjunto por la conservación de la biodiversidad. ¡Gracias a quienes colaboraron en devolver a este increíble animal a su hogar!”, señalaron desde la cartera de ambiente, que dirige Daniela Vilar, para celebrar el final feliz que tuvo esta historia.
Qué hacer en caso de ver ejemplares de estos animales
En los últimos meses se ha detectado un fenómeno inusual en las costas bonaerenses, donde han aparecido gran cantidad de ejemplares de elefantes marinos e, incluso, se han divisado nacimientos. Estos animales migran a través de las corrientes marinas y la única colonia continental de la especie se encuentra en la provincia de Chubut, en Península Valdés.
El especialista Víctor Fratto, advirtió a través de las redes de Fundación Ecológica Pinamar, cuáles son los riesgos que sufren los elefantes marinos que cambian de ambiente durante su ciclo reproductivo.
Fratto, Licenciado en Gestión Ambiental, explicó que “el nacimiento de elefantes marinos en la provincia de Buenos Aires entraña una situación extremadamente complicada”, ya que “el período de amamantamiento dura entre 23 y 25 días y las hembras tienen un excesivo gasto energético”. Durante ese proceso, “pierden alrededor de 9 kilos por día”, ya que mientras alimentan al cachorro “están en ayuno”. El especialista indicó además que “el destete es abrupto” y, en ese momento, pasados los 25 días de lactancia, “la hembra se retira a recuperar energías en el agua”.
En tanto, lo delicado de esta situación, radica en que en playas más concurridas o centros urbanos, como ocurrió este lunes en La Plata, estos animales “pueden verse molestados por perros y personas”, por lo que “si la hembra se asusta mientras amamanta, interrumpe el período, pisa el agua y se va a comer”. En esas circunstancias, el cachorro queda solo y “condenado a muerte”.
Si todo sale bien, “el cachorro queda entre uno y tres meses descansando y mudando la piel”. Luego llega el momento de meterse al agua, otra situación crítica para esta especie: si en ese momento es molestado, también muere.
Fratto señaló que es muy importante que la ciudadanía respete la distancia, no se acerque a estos animales y no los moleste si los ve fuera del agua. Además, precisó que el año pasado, el 97% de los cachorros nacidos en Chubut murió por gripe aviar, por lo que la especie atraviesa un momento delicado en cuanto a conservación.
Desde el Ministerio de Ambiente, dieron algunas recomendaciones para la población, en caso de encontrar un ejemplar de elefante marino solo:
Llama a las autoridades.
No te acerques ni intentes alimentarlo.
Evita ruidos molestos y no lo mojes.
Aleja a las mascotas del animal.
Respeta los perímetros de seguridad y las indicaciones de las autoridades.
(DIB) ACR",https://dib.com.ar/2024/12/final-feliz-el-elefante-marino-encontrado-en-la-plata-pudo-regresar-al-mar/
Mar del Plata: procesaron a un juez por el robo de 144 monedas de oro,"diciembre 17, 2024","El juez federal de Mar del Plata, Martín Poderti.
El juez federal de Mar del Plata, Martín Poderti, fue procesado sospechado del robo de 144 monedas de oro antiguas que estaban bajo su custodia judicial cuando trabajaba en la Justicia de San Isidro. Así lo resolvió el juez federal Emiliano Canicoba Corral, quien además dictó un embargo de $ 190 millones, una cifra apenas inferior al valor de las monedas sustraídas de una caja de seguridad visitada casi una veintena de veces -sin justificación alguna- por Poderti, de acuerdo con el diario La Capital.
El procesamiento supone la continuidad incriminatoria hacia el integrante del Tribunal Oral Federal de Mar del Plata, además de la notificación al Consejo de la Magistratura, que ahora deberá analizar qué sucede con sus funciones.
A Poderti, según consigna La Capital, se lo acusa de haberse quedado con 59 piezas de oro, representando moneda “Krugerrand”; 28 piezas de oro “Estados Unidos mexicanos”, representando 50 pesos mexicanos; 54 piezas de oro, representando moneda libra (soberano); 2 piezas de oro, representando moneda 100 Soles; y 1 pieza de oro, representando moneda de 100 Yuanes.
Las monedas habían sido secuestradas durante el operativo “Quijote”, en el que cayó detenido el empresario Gustavo Sancho en una causa por narcotráfico. Los allanamientos se habían desarrollado en noviembre de 2017 en distintos lugares del país, donde Sancho tenía estrechos contactos.
Poderti era secretario del juzgado federal 2 de San Isidro que intervino tras la inhibición del juzgado 1 en ese expediente y que ordenó la custodia de todos los bienes de Sancho. Según el fiscal Paul Starc pudo determinar, las monedas estaban en la caja de seguridad 8-44 del Banco Nación de San Isidro, cuya única llave tenía Poderti. Entre el 26 de diciembre de 2019 y el 9 de febrero de 2023, este ingresó 19 veces a la caja de seguridad, lo que quedó constatado en todas las actas y planillas de la entidad bancaria.
En su descargo, Poderti dijo que iba a la caja de seguridad porque sufrió un robo en el domicilio de Martínez, oportunidad en la que revolvieron toda la casa en muy poco tiempo, incluso, papeles de trabajo que tenía en su poder, además de haberse llevado dinero, electrodomésticos y otros efectos. Agregó que le dio la sensación que estaban buscando algo, razón por la cual su domicilio no era un lugar seguro para guardar la documentación y papeles de trabajo vinculados con los expedientes a los que hizo referencia. Alegó que eran varias las razones o motivos por los cuales no cometió el hecho que se le imputa.
En tal sentido, siempre según La Capital, Poderti mencionó que era un funcionario honesto, que lo fue durante los 31 años de carrera judicial y que se preparó todo ese tiempo para alcanzar y honrar el cargo que ostenta en la actualidad. Manifestó también que no había ninguna explicación razonable por la cual alguien que tuviera acceso a todas las monedas, si el objeto era robar, dejara algunas, máxime si incluso quedaron elementos de mayor valor.
Lo increíble del caso fue que las monedas pertenecían a Roberto Tamborini, en su momento señalado como un miembro de la organización liderada por Sancho. Sin embargo, Tamborini fue sobreseído en mayo de 2023 y se ordenó que se le restituyeran todos los bienes incautados. Cuando el reemplazante de Poderti en el juzgado federal 2 de San Isitro fue en busca de esos bienes en abril de este año, se notó el faltante.
Poderti fue procesado por el delito de malversación de caudales públicos, aunque continuará en su cargo en Mar del Plata hasta tanto se pronuncie el Consejo de la Magistratura. (DIB) GML",https://dib.com.ar/2024/12/mar-del-plata-procesaron-a-un-juez-por-el-robo-de-144-monedas-de-oro/
