Título,Fecha,Cuerpo,URL,Sección
Cristina y Massa asistirán a un encuentro del PJ Bonaerense,8 de diciembre de 2024,"El Partido Justicialista (PJ) Bonaerense, con Máximo Kirchner a la cabeza, se reunirá mañana lunes en el partido de Moreno y estarán presentes la ex presidenta de la Nación, Cristina Fernández de Kirchner y el ex candidato en las elecciones 2023 y referente del Frente Renovador, Sergio Massa. La invitación para este encuentro, firmada de los apoderados Eduardo López Wesselhoefft, Facundo Tignanelli, Patricia García Blanco y Ulises Giménez, comunica que se presentará un «informe del bloque legislativo» provincial y un «análisis de la situación política» actual a nivel nacional. Fuentes partidarias indicaron, a la Agencia Noticias Argentinas, que la presencia tanto de la ex mandataria como de Massa están confirmadas, sin embargo, el gobernador de la provincia de Buenos Aires, Axel Kicillof, fue invitado pero aún no ratificó su asistencia al evento. Consejo Provincial del PJ que se realizará en la reserva municipal ´Los Robles´, un territorio favorable para la actual presidenta de la fuerza, ya que la intendenta de Moreno, Mariel Fernández, está en sintonía con ella y, además, es una de las vicepresidentas del PJ nacional. Luego de esta cumbre, Fernández de Kirchner asumirá formalmente como titular del PJ el próximo miércoles a las 18hs, en la sede de la Universidad Metropolitana (UMET), según confirmaron fuentes de su entorno. Cristina Kirchner había visitado Moreno el pasado 13 de noviembre, cuando la Cámara de Casación Penal confirmó su condena a seis años de prisión e inhabilitación perpetua para ejercer cargos públicos en la causa Vialidad. ",https://elsolnoticias.com.ar/cristina-y-massa-asistiran-a-un-encuentro-del-pj-bonaerense/,Provincia
SPB: 613 nuevos oficiales penitenciarios,15 de diciembre de 2024,"Servicio Penitenciario Bonaerense La Provincia de Buenos Aires sumó 613 nuevos oficiales penitenciarios tras la ceremonia de egreso realizada en la Escuela de Cadetes del Servicio Penitenciario Bonaerense (SPB), ubicada en La Plata. El acto fue presidido por el ministro de Justicia y Derechos Humanos de la Provincia de Buenos Aires, Juan Martín Mena. Sobre el total de egresados, 388 son oficiales mujeres y 225 hombres, quienes obtuvieron el título de técnicos superiores en Gestión Penitenciaria para la Inclusión Social, con base en el respeto por los derechos humanos y con perspectiva de género, y con ejes en el trabajo en equipo, las nuevas tecnologías, la planificación estratégica y la conducción democrática. Entre los egresados figuran jóvenes de 40 distritos, más de 300 son oriundos de La Plata, 21 de Azul, 13 de Mar del Plata, 45 de Dolores, 26 de Florencio Varela, 15 de General Alvear, 12 de Junín, 14 de Magdalena, 21 de Mercedes, 51 de Olavarría, entre otras localidades. En esta oportunidad, los mejores promedios fueron obtenidos por tres cadetes platenses. ",https://elsolnoticias.com.ar/spb-613-nuevos-oficiales-penitenciarios/,Provincia
Argentino de Quilmes y Los Andes: una final que trasciende lo deportivo,14 de diciembre de 2024,"Este sábado a las 17 horas, Argentino de Quilmes y Los Andes se enfrentarán en el partido de vuelta de la final del Reducido de la Primera B Metropolitana. En juego está la posibilidad de disputar la Promoción contra Sarmiento la banda de Santiago del estero del torneo federal A, que determinará quién obtiene el tercer ascenso a la Primera Nacional. Sin embargo, la trascendencia de este encuentro no se limita al terreno de juego, ya que Argentino de Quilmes llega envuelto en denuncias económicas y cuestionamientos administrativos que podrían complicar su futuro deportivo.Ver deportes en directo online Contexto deportivo En lo estrictamente futbolístico, la serie se encuentra abierta tras el resultado de 1- 0 en el partido de ida disputado en Lomas de Zamora donde perdieron “Los Criollos”. Ambos equipos buscarán imponerse en el estadio de la Barranca quilmeña, donde se espera un clima cargado de tensión y pasión. El partido será transmitido en vivo por TyC Sports Play, lo que permitirá a los fanáticos seguir cada detalle de esta definición. Denuncias económicas y dudas sobre el futuro En paralelo a la competencia deportiva, Argentino de Quilmes enfrenta denuncias relacionadas con irregularidades económicas y una gestión que ha sido severamente cuestionada. Fuentes cercanas al club aseguran que existen deudas importantes con jugadores, empleados y proveedores, lo que ha generado incertidumbre sobre la viabilidad del proyecto institucional.Ver deportes en directo online Además, se especula que, aun logrando el acceso a la Promoción o el ascenso, el club podría enfrentar sanciones que le impidan participar en la Primera Nacional. La Asociación del Fútbol Argentino (AFA) habría iniciado investigaciones preliminares para evaluar el cumplimiento de los requisitos económicos y administrativos que exige la categoría superior. Impacto en el plantel El contexto institucional también ha impactado en el plantel, que ha tenido que lidiar con atrasos en el pago de salarios y la incertidumbre sobre el futuro. Sin embargo, jugadores y cuerpo técnico aseguran estar enfocados en el objetivo inmediato: vencer a Los Andes y dar un paso más hacia el ascenso. Por su parte, Los Andes llega con una situación institucional más estable, aunque también con la presión de recuperar el lugar perdido en el fútbol profesional hace algunos años. Lo que está en juego La final de este sábado no solo define un lugar en la Promoción, sino también pone a prueba la capacidad de los clubes para enfrentar los desafíos que trascienden lo deportivo. En el caso de Argentino de Quilmes, el desenlace podría ser un parteaguas en su historia reciente, ya sea consolidando un ascenso que aporte estabilidad o profundizando una crisis que podría tener consecuencias graves. Todo está listo para una tarde de emociones intensas, donde el resultado del partido será solo una pieza más en un complejo rompecabezas que involucra fútbol, economía y la pasión de dos hinchadas históricas. ",https://elsolnoticias.com.ar/argentino-de-quilmes-y-los-andes-una-final-que-trasciende-lo-deportivo/,Provincia
OPISU: más obras de urbanización en Berazategui,16 de diciembre de 2024,"Organismo Provincial de Integración Social y Urbana Avanzan las obras del Plan Integral de Urbanización en Plátanos Norte y el barrio Compal de Berazategui. Las mismas fueron supervisadas por el intendente Juan José Mussi y la directora ejecutiva del Organismo Provincial de Integración Social y Urbana (OPISU), Romina Barrios. Las obras contemplan el mejoramiento de espacios públicos, la construcción de equipamiento comunitario mediante un SUM y las veredas perimetrales. El SUM cuenta con baños y cocina, e integrará y reunirá a los vecinos. Esta fase también contempla obras en la red de agua, cloacas y la ampliación de la planta de impulsión; además de la renovación del alumbrado público (que está finalizada). El avance actual es del 80% y el financiamiento proviene del Banco Interamericano de Desarrollo (BID). Al respecto, Mussi aseguró: “estuvimos en el barrio Compal y en Plátanos Norte, donde avanzan los trabajos para mejorar los servicios y, con ellos, la calidad de vida de las vecinas de la zona”. Y destacó: “la optimización en la red de agua potable y cloacas, la renovación de alumbrado, y las mejoras en espacios públicos y equipamiento comunitario avanzan gracias al trabajo en conjunto entre la Municipalidad de Berazategui, el OPISU y el BID, y el apoyo del gobernador Axel Kicillof”. Además, Mussi señaló: “esto es producto de un Estado presente. El gobernador Axel Kicillof se preocupa y ocupa de los vecinos de Berazategui”. Mientras que Barrios indicó: “estas obras son de integración social y urbana, para el beneficio de toda la comunidad. Este es el Estado presente, con obras públicas en marcha, convencidos de que es el modelo que queremos para los bonaerenses”. También participaron la titular de la Agencia de Tierras y Hábitat, Cecilia Roldán; el secretario municipal de Servicios Públicos, Sergio Faccenda, junto a otros integrantes del Gabinete municipal. ",https://elsolnoticias.com.ar/opisu-mas-obras-de-urbanizacion-en-berazategui/,Provincia
Operaron a un recién nacido en el Hospital del Niños de La Plata,8 de diciembre de 2024,"Un bebé que recién había nacido fue operado con éxito en uno de los quirófanos del hospital de Niños de La Plata «Sor María Ludovica», ya que durante la gestación, el equipo de salud vio que el niño nacería con una patología llamada gastrosquisis, que requiere una cirugía intestinal en el menor tiempo posible. De esta manera, por primera vez una mamá dio a luz a un bebé que enseguida fue intervenido quirúrgicamente. La gastrosquisis, que pudo preverse gracias a los cuidados y estudios que su mamá realizó durante el embarazo, se caracteriza porque el recién nacido presenta un orificio en el abdomen por el que salen sus intestinos. Por eso, ni bien nació por cesárea se lo trasladó al quirófano de al lado, donde un equipo quirúrgico especializado logró intervenir con éxito al bebé. El director asociado del hospital de Niños platense, Jorge Molina, destacó: «La posibilidad de planificar una cesárea y la cirugía del niño en el mismo hospital evita traslados, reduce los tiempos para realizar la intervención y mejora notablemente el pronóstico del recién nacido, tanto para casos de gastrosquisis como de otras enfermedades». Molina, que también es cirujano, contó que «cuando el bebé nació, la mamá pidió besarlo antes de que entre al quirófano y por supuesto que se lo acercamos para que pueda hacerlo como se ve en las fotos, fue un momento muy emotivo». Tras la intervención «fue hermoso poder entregarle a esa mamá y a toda su familia al recién nacido ya operado, bien de salud y con su pancita cerrada». Luego de 10 días de internación en la neonatología del hospital de Niños de La Plata fue dado de alta. Esta semana concurrió a un control de rutina y los médicos corroboraron que evoluciona favorablemente. Las intervenciones fueron posibles gracias al trabajo articulado de dos hospitales públicos bonaerenses de referencia en todo el país, por un lado, el San Martín de La Plata, que se ocupa de la atención de adultos y adultas y, por otro, del «Sor María Ludovica», especializado en pacientes pediátricos. Los profesionales del hospital San Martín participaron en la atención de la parturienta y el equipo del hospital Ludovica, en el recibimiento e intervención del bebé. Del San Martín estuvieron la jefa de Obstetricia, Romina Pizzano y la médica especializada en seguimiento de embarazos de alto riesgo, Andrea Montavano; del hospital Ludovica intervinieron el director Ejecutivo Gustavo Sastre y el director Asociado, Jorge Molina, el anestesiólogo Hugo Pires, la anestesióloga Gabriela Guanca, el neonatólogo Martín Cereseto, las cirujanas Andrea Usarralde, Andrea Uriutia y Mariana Pasarello y la enfermera María Hernández. ",https://elsolnoticias.com.ar/operaron-a-un-recien-nacido-en-el-hospital-del-ninos-de-la-plata/,Provincia
Argentino de Quilmes: Estos son los verdaderos culpables,15 de diciembre de 2024,"La actual conducción está logrando que el histórico Argentino de Quilmes sea el club más odiado del fútbol argentino La conducción de Argentino de Quilmes, estropeó el sueño del hincha que se ilusionó con un ascenso que quedó trunco. Una mirada simple responsabilizaría a los jugadores que no convirtieron sus penales pero el análisis profundo encontrará a los verdaderos responsables: el presidente Hernán Romero, el «gerenciador» Miguel Pires, el vice Eduardo Larosa y el «colaborador» Javier Campesi.Fiestas y eventos en QuilmesVer fútbol en directo online En una final cargada de sospechas, Los Andes se impuso ante Argentino de Quilmes en la definición por penales. El Mate ganó por 1 a 0 en tiempo regular, con gol de Javier Martínez de cabeza a los 7 minutos. Este resultado llevó la serie a los penales, debido a que en el partido de ida el Milrayitas había ganado por el mismo resultado. Desde los 12 pasos, en una emotiva definición, pasó el conjunto de Lomas de Zamora que buscará el ascenso ante Sarmiento de la Banda. El partido jugado en la Barranca quilmeña tuvo varios contratiempos: en un acto de clara censura, la directiva de Argentino de Quilmes rechazó las acreditaciones de los medios visitantes y de algunos de la prensa nacional que habían sido críticos con el Mate y se les avisó horas antes del encuentro que no se les iba a permitir trabajar. Otro hecho repudiable fue el cambio de árbitro que motivó un retraso de una hora en el inicio del partido. El árbitro Ignacio Lupani que había sido designado 48 horas antes para dirigir este partido, cuando siempre los árbitros se dan a conocer el martes de cada semana. Lupani hacía 5 meses que no dirigía y solo había jugado cinco partidos en toda la temporada, uno de ellos lo había beneficiado a Argentino de Quilmes. Por lo que su designación levantó mucha polémica y fue repudiada por Los Andes, quienes estaban seguro que los iba a perjudicar. El árbitro denunció que recibió amenazas y cuarenta minutos ante del partido, decidió que él y todos los asistentes no estaban en condiciones de dirigir. Por lo que fueron reemplazados de apuro por una terna de Primera División encabezada por Leandro Rey Hilfer. En los penales, el Mate tuvo el pase a la final pero Alegre Rojas falló el quinto penal y no pudo aprovechar la atajada de Tello a Blondo. Luego en el uno a uno, Vila desvió su remate y le dio el pase a la final por el ascenso a Los Andes. En el final, Leonardo Lemos que soportó todo tipo de insultos y agresiones durante toda la tarde fue víctima de un hecho de violencia cuando ingresó gente a pegarle. Un verdadero bochorno. Argentino de Quilmes vive momentos oscuros, desde su conducción y es uno de los equipos más odiados del fútbol argentino. Su rica historia quedó hecha pedazos por la actual conducción del club. ",https://elsolnoticias.com.ar/argentino-de-quilmes-estos-son-los-verdaderos/,Provincia
Polémica en la Provincia por un proyecto que declara al inodoro «lugar para la paz»,12 de diciembre de 2024,"La Legislatura bonaerense le bajó el pulgar al proyecto que declaraba al inodoro como «lugar para la paz», presentado por la diputada Viviana Guzzo de Unión por la Patria, en el marco del Día Mundial del Retrete, establecido por la Organización de Naciones Unidas (ONU). La Cámara le quitó estado parlamentario al proyecto por “repercusión negativa” en la previa al inicio de las sesiones extraordinarias que tendrá lugar este viernes. Bajo el lema “El retrete es un lugar para la paz”, la diputada Guzzo sostuvo que el inodoro es un derecho humano, y expuso que “todo el mundo debería tener acceso a un retrete seguro, higiénico y privado que esté conectado a un sistema de saneamiento gestionado de forma segura para eliminar adecuadamente los desechos”. El proyecto remarcaba que tener sistemas de saneamientos inadecuados, dañados o rotos, puede provocar contaminación y propiciar el surgimiento de enfermedades que pueden llegar a ser mortales. Además, se consideraba que el no contar con los servicios adecuados vulnera aún más a mujeres y niñas, algo “que menoscaba su capacidad para estudiar, trabajar y vivir con dignidad”. El proyecto mencionaba que para el Día Mundial del Inodoro 2024 se establecieron tres líneas de acción a través de las cuales se considera al inodoro como “un lugar para la paz”, “un lugar de protección” y «un lugar para el progreso». ",https://elsolnoticias.com.ar/polemica-en-la-provincia-por-un-proyecto-que-declara-al-inodoro-lugar-para-la-paz/,Provincia
Bianco presentó los resultados de la Encuesta de Bienestar Digital,16 de diciembre de 2024,"Gobierno de la Provincia de Buenos Aires “Hay un discurso de época que empuja a nuestros pibes a realizar apuestas en plataformas para ganar dinero de forma rápida y con poco esfuerzo. Como sociedad, debemos tomar conciencia de que se trata de un pensamiento muy equivocado”, sostuvo el ministro de Gobierno de la Provincia de Buenos Aires, Carlos Bianco, al encabezar la conferencia de prensa semanal. Fue junto al director general de Cultura y Educación, Alberto Sileoni, y la subsecretaria de Salud Mental, Consumos Problemáticos y Violencias en el Ámbito de la Salud, Julieta Calmels. Durante el encuentro, el ministro de Gobierno comunicó los resultados de la Encuesta de Bienestar Digital, una iniciativa desarrollada por la Dirección Provincial de Tecnología de la Información, dependiente de la Dirección General de Cultura y Educación, con la colaboración de la Dirección Provincial de Estadística, la Subsecretaría de Salud Mental y el Instituto Provincial de Loterías y Casinos. La encuesta, dirigida a estudiantes de entre 12 y 19 años de la Provincia de Buenos Aires, tuvo como principal objetivo analizar la proporción de adolescentes que acceden a sitios de apuestas, así como explorar aspectos relacionados con el uso de redes sociales, videojuegos e inteligencia artificial. Con 90.332 estudiantes encuestados, «se trata de una de las encuestas más grandes que se hayan hecho en la historia de nuestro país sobre esta problemática», destacó Bianco. LOS RESULTADOS En relación al total de encuestados, el 60,4% indicó conocer personas que realizan apuestas en línea, mientras que el 19,1% reportó haber participado en apuestas al menos una vez. Un 3,7% de la muestra, en tanto, respondió que realiza apuestas una vez al mes, como mínimo. Además, los apostadores frecuentes señalaron haber enfrentado situaciones asociadas con ansiedad, insomnio y problemas financieros debido a esta actividad. «La ludopatía no es un problema que pueda solucionarse desde el mercado. En este sentido, desde el Estado bonaerense hemos profundizado su tratamiento con los 135 municipios de la Provincia de Buenos Aires, a quienes enviaremos desglosado el resultado de esta encuesta», explicó Bianco. ",https://elsolnoticias.com.ar/bianco-presento-los-resultados-de-la-encuesta-de-bienestar-digital/,Provincia
Se entregan más de 4 millones de módulos del programa MESA,11 de diciembre de 2024,"Ministerio de Desarrollo de la Comunidad de la Provincia de Buenos Aires El ministro de Desarrollo de la Comunidad de la Provincia de Buenos Aires, Andrés Larroque, anunció que la cartera a su cargo entregará más de 4 millones de módulos alimentarios del Programa  MESA en las escuelas bonaerenses durante el mes de diciembre. El anuncio incluye una doble entrega, que corresponde al adelanto del módulo alimentario correspondiente a enero, con el objetivo de garantizar la cobertura durante el receso estival. Este esfuerzo beneficia a los 2.069.000 jóvenes estudiantes que reciben actualmente el programa Módulo Extraordinario para la Seguridad Alimentaria (MESA) en complemento con el Servicio Alimentario Escolar (SAE). Larroque destacó: “multiplicamos los esfuerzos en una situación muy difícil en términos sociales por las políticas del Gobierno nacional. Con esta desición del gobernador Axel Kicillof, estamos llevando alivio a las familias bonaerenses, porque ese es el compromiso de un Estado provincial presente”. Además, el ministro bonaerense anunció una inversión de más de $12.500 millones en canastas navideñas que serán distribuidas en coordinación con municipios, organizaciones comunitarias, clubes e iglesias, y brindó detalles del programa Fortalecer Envión con una inversión provincial de $1.700 millones para incorporar equipamiento en sus 595 sedes, potenciando los talleres y proyectos que se llevan adelante. Al referirse al fortalecimiento del Envión, el ministro destacó que “es un programa que cuando el gobernador asumió tenía 35.000 destinatarios y hoy llega a 72.000. Duplicamos la cantidad de chicos y chicas que participan de esta política pública inclusiva”, subrayó. SEGURIDAD ALIMENTARIA Tanto el SAE como el MESA tuvieron dos incrementos en marzo y agosto de 2024, que representaron un 142% de aumento en el año, con el objetivo de sostener la calidad nutricional de las prestaciones. Además, en el marco de esta política alimentaria, el gobierno bonaerense destinará este año más de $2.600 millones en equipamiento para fortalecer los comedores escolares en 130 distritos, mediante la entrega de electrodomésticos de línea blanca, vajilla y utensilios. ",https://elsolnoticias.com.ar/se-entregan-mas-de-4-millones-de-modulos-del-programa-mesa/,Provincia
"Impulsan la conformación del clúster de petróleo, gas y minería en el Parque Industrial Plátanos",17 de diciembre de 2024,"Ministerio de Producción, Ciencia e Innovación Tecnológica de la Provincia de Buenos Aires Representantes del Ministerio de Producción, Ciencia e Innovación Tecnológica de la Provincia de Buenos Aires y funcionarios del Municipio de Berazategui recorrieron, en el Parque Industrial Plátanos, instalaciones de empresas que forman parte del clúster de petróleo, gas y minería local, recientemente constituido. Este proyecto productivo vinculado con la energía es impulsado por la Provincia con acompañamiento de la Municipalidad y está recibiendo asistencia técnica provincial a través de la línea Proyectos Asociativos Regionales (PAR), una de las herramientas de desarrollo que lleva adelante la cartera productiva que conduce el ministro Augusto Costa. De este encuentro participaron la subsecretaria de Industria y Pymes de la Provincia, Mariela Bembi, y el secretario de Producción de Berazategui, Juan Manuel Parra, en representación del Municipio. Los proyectos PAR son una de las líneas de trabajo de la Escuela Productiva Bonaerense, un programa que se conformó este año en la Subsecretaría de Industria y Pymes de la Provincia y que, a través de una oferta de capacitación, asistencia técnica y vinculación institucional, busca potenciar las capacidades de gestión de las empresas bonaerenses para mejorar la competitividad y fotalecer el entramado productivo. Para la conformación de Proyectos Asociativos Regionales, la propuesta apunta al desarrollo de estrategias colectivas para dar un salto de calidad y afrontar desafíos vinculados a la competitividad, mediante una asistencia de profesionales especializados durante los primeros meses de implementación de un proyecto asociativo por parte de un grupo de empresas. En el caso del clúster de Berazategui, se trata de un grupo de pymes que trabajan para consolidarse como proveedoras de grandes empresas del sector petróleo, gas y minería: son las empresas Gruapa, L&H, Rosato, Metalcrom, Indave, Abbamat, Acetop, Metalúrgica Ferraro y Wardes Argentina, dedicadas a la producción de diversas maquinarias y equipamiento como puentes grúa, compresores, válvulas, indumentaria de trabajo destinada al sector, matricería, equipos de pintura, iluminación profesional de alta eficiencia, y servicios diversos como mecanizados, plasma robotizado, impresión de circuitos electrónicos, repujado o soldadura robotizada. ",https://elsolnoticias.com.ar/impulsan-la-conformacion-del-cluster-de-petroleo-gas-y-mineria-en-el-parque-industrial-platanos/,Provincia
