Título,Fecha,Cuerpo,URL
Cambió de mando de icónico buque ARA “Austral” con una ceremonia en Mar del Plata,19 de diciembre de 2024,"A bordo del buque oceanográfico ARA “Austral” se llevó a cabo esta semana en Mar del Plata la ceremonia de cambio de comando. El Capitán de Fragata Luis Ernesto Melián le entregó el mando de la Unidad al Capitán de Fragata Diego Tufil Assen.
El ARA “Austral”, botado en 1968 en Alemania, tiene asiento natural en la Base Naval Mar del Plata. Pertenece al Consejo Nacional de Investigaciones Científicas y Técnicas (Conicet) y es operado por el Servicio de Hidrografía Naval (SHN), dependiente del Ministerio de Defensa de la Nación.
Se trata de una plataforma de investigación que permite desarrollar actividades vinculadas a la geología, geofísica, geodinámica y sísmica, oceanografía física, química y biológica; y tiene la capacidad de identificar áreas de riqueza hidrocarburífera y alimentaria.
Este año realizó una impresionante campaña científica en la que recorrió 5700 kilómetros en 31 días. Junto a investigadores del Conicet, recopiló información en áreas del territorio argentino sumergido.
La ceremonia de cambio de mando fue presidida por el Comandante de la Agrupación Buques Hidrográficos, Capitán de Navío Juan Ignacio Squillacci, quien estuvo acompañado por el Director electo por la Gran Área de Ciencias Exactas y Naturales del CONICET, Doctor Roberto Daniel Rivarola.
Además de la tripulación del buque, se contó con la presencia de comandantes y jefes de Unidades con asiento en la Base Naval Mar del Plata, e invitados especiales.
Luego del ingreso de las autoridades, el Capitán de Fragata Melián pronunció palabras alusivas en las que compartió lo que para él simboliza el ARA “Austral” señalando que no es un simple navío. “Lo he considerado, y aún lo sigo haciendo, un símbolo de la capacidad argentina para explorar, para descubrir, para conocer y para proteger nuestros recursos marinos. Uno que posee un increíble espíritu, generado por una excepcional tripulación”, dijo.
También dedicó palabras a toda su tripulación, destacando el nivel profesional de cada uno, la dedicación, el esfuerzo y la vocación de servicio.
Dirigiéndose al Capitán Assen, expresó: “Usted ya navegó los espacios marítimos de interés nacional, apoyando las tareas de investigación. La comunidad científica y quienes se hallan relacionados a este tipo de embarcación lo conocen, y usted a ellos. No tengo dudas de los éxitos que se avecinan bajo su mando. Deseo profundamente que pueda disfrutar del ´Austral´ tanto o más que yo”.
Luego de que se efectuó la lectura de la orden de designación de cambio de comando, el Comandante de la Agrupación Buques Hidrográficos tomó juramento y puso en funciones al Capitán Assen.
Una vez efectuado el cambio de insignias de mando, se entregó al Capitán de Fragata Melián el cofre con la insignia que lo acompañó durante su comando.
Para finalizar la ceremonia, el nuevo Comandante del ARA “Austral” requirió a su personal la fórmula de “Subordinación y Valor”.
El buque, por cierto, posee una eslora total de 97,6 metros y pesa unas 4.734 toneladas. Para su propulsión utiliza un sistema diesel eléctrico que le permite alcanzar una velocidad de 12,5 nudos. La embarcación puede albergar hasta 25 científicos y 25 técnicos o personal náutico a bordo.
Cuenta con seis gabinetes: de sismología, aire comprimido para sísmica, hidroacústica, oceanografía, geología y química. También posee un guinche oceanográfico y para prospección magnética; dragas y rastras con videocámaras incorporadas; receptores de imágenes satelitales y cartas meteorológicas; y un sistema de observación del suelo marino, entre otras capacidades operativas y equipamiento científico.",https://www.lacapitalmdp.com/cambio-de-mando-de-iconico-buque-ara-austral-con-una-ceremonia-en-mar-del-plata/
"Hasta el domingo, el índice de riesgo de incendios forestales será muy alto",19 de diciembre de 2024,"Hasta el domingo inclusive el riesgo de incendios forestales en el distrito será “muy alto”, informó el municipio.
Así se desprende del Índice Meteorológico de Incendios Forestales, que ayuda a evaluar la facilidad de ignición, la velocidad de propagación, la dificultad de control y el impacto del fuego en función de los factores fijos y variables que lo afectan (vegetación, topografía, meteorología).
En ese marco, el Gobierno comunal recomendó no quemar pastizales, restos de poda o residuos;
no tirar colillas de cigarrillos por las ventanas o balcones; no arrojar basura, botellas o vidrios en terrenos baldíos;
encender fogatas en áreas permitidas y no olvidarse de apagarlas.
También solicitó “extremar los cuidados” y llamar ante cualquier eventualidad al 100 de Bomberos, al 103 de Defensa Civil o al 911 de la policía.",https://www.lacapitalmdp.com/hasta-el-domingo-el-indice-de-riesgo-de-incendios-forestales-sera-muy-alto/
Más de 300 mil personas ya visitaron Coto en Mar del Plata,19 de diciembre de 2024,"La Secretaría de Desarrollo Local, Innovación e Integración Público Privada celebró el desembarco de la cadena de hipermercados Coto, que apostó al desarrollo local en Mar del Plata, e informó que, a 14 días de su apertura, más de 300 mil personas, entre residentes y turistas, visitaron la nueva sucursal.
Durante el año, se realizaron rondas de negocios con el objetivo de incorporar marcas locales a la firma. Gracias a estas gestiones, más de 30 etiquetas de producción marplatense se sumaron a las góndolas, fortaleciendo la visibilidad y el crecimiento de las empresas de la región.
Por otra parte, desde la oficina de empleo del municipio se acompañó el proceso de vinculación de personal para cubrir las vacantes requeridas. Se generaron 815 puestos de trabajo directo y, sumando los empleos indirectos asociados a la construcción, la logística, la distribución de productos y los servicios, esta inversión representa una fuente laboral significativa para la ciudad.
Ubicada en Avenida Jorge Newbery 4750, la nueva sucursal es la más amplia del país, con más de 52 mil metros cuadrados de superficie total. Además, se destaca por su modernidad, implementando nuevas tecnologías para el manejo de efluentes y el ahorro de energía.
El hipermercado ofrece una amplia gama de propuestas, que van desde los tradicionales espacios de compra hasta un restaurante, una zona gourmet, un sector gastronómico, un área de juegos con pelotero aéreo, pool, tenis de mesa y una zona para celebraciones.
Al respecto, el secretario del área, Fernando Muro, manifestó: “Que proveedores locales hoy tengan su lugar en el nuevo Coto es sinónimo de fortalecimiento de nuestra economía. Generar oportunidades para las empresas locales y acercar sus productos de calidad a más vecinos es el camino que seguimos recorriendo para impulsar el desarrollo productivo de nuestra ciudad”.
“Si Mar del Plata produce, Mar del Plata crece”, concluyó el funcionario.",https://www.lacapitalmdp.com/mas-de-300-mil-personas-ya-visitaron-coto-en-mar-del-plata/
Kicillof pone en marcha el Operativo Sol en Miramar y luego visita Mar del Plata,19 de diciembre de 2024,"El gobernador de la provincia de Buenos Aires, Axel Kicillof, lanzará hoy en Miramar el Operativo de Sol a Sol y luego visitará Mar del Plata para participar de la inauguración de la Sala de Monitoreo y Ampliación de la Central de Atención Telefónica (CAT) del 911, ubicada en el Complejo Juan Vucetich.
Carlos Bianco, el ministro de Gobierno de la Provincia, anticipó el despliegue de “5.500 efectivos, más los móviles, patrulleros, camionetas, cuatriciclos y helicópteros. Todo el material se pondrá a disposición para brindar seguridad a los turistas durante la temporada estival”.
También se presentará el SAT (Servicio de Atención al Turista). Con esta iniciativa se prevé la instalación de 18 postas de prevención y atención con su correspondiente personal sanitario en once municipios bonaerenses. Habrá un refuerzo de 35 ambulancias y un helicóptero sanitario, entre otros recursos.
Por otro lado, el Ministerio de Producción hará en la localidad vecina el tradicional anuncio de la temporada estival en la provincia. Será con el slogan “Un verano bueno, bonito y bonaerense”.
A pesar del traslado del lanzamiento del Operativo de Sol a Sol, Kicillof estará hoy a las 12 en Mar del Plata. El mandatario participará de la inauguración de la Sala de Monitoreo y Ampliación de la Central de Atención Telefónica (CAT) del 911, ubicada en el Complejo Juan Vucetich.
La última visita del gobernador a la ciudad fue por las finales de los Juegos Bonaerenses, a fines de octubre. La semana pasada, estaba prevista su participación en las III Jornadas de Economía para el Desarrollo, pero debido a complicaciones de último momento no pudo asistir.",https://www.lacapitalmdp.com/kicillof-pone-en-marcha-el-operativo-sol-en-miramar-y-luego-visita-mar-del-plata/
El Concejo trata hoy el pliego para licitar el Minella y el Polideportivo,19 de diciembre de 2024,"El Concejo Deliberante tratará hoy, en sesión ordinaria, el pliego para licitar la concesión del Estadio José María Minella, el Polideportivo Islas Malvinas y los espacios comunes del Parque de los Deportes.
El proyecto viene con el último dictamen de la comisión de Hacienda y se espera que el oficialismo, compuesto por el interbloque Juntos por el Cambio, haga valer su mayoría para sancionar la ordenanza. En los debates previos, Acción Marplatense se pronunció en contra de la iniciativa, mientras que Unión por la Patria y La Libertad Avanza se abstuvieron.
La licitación que impulsa el Gobierno municipal, que será nacional e internacional, contempla una concesión por 30 años, con una opción de prórroga por otros 10.
En la compulsa sumará más puntos el oferente que firme un convenio con la Asociación del Fútbol Argentino (AFA) para el desarrollo de actividades. El canon anual será de $120 millones y deberá comenzar a pagarse tres años después de la firma del contrato.
De acuerdo al pliego, “se tendrá en consideración la magnitud y el impacto de las obras nuevas y de las refacciones que se propongan en el espacio licitado”.
“Se evaluará el plan de inversión, se analizará la viabilidad de la propuesta y se considerarán los tiempos y etapas previstas de realización del proyecto de ejecución”, indicó el Ejecutivo.
Además, los oferentes deberán proponer un programa de mantenimiento del Minella, el Polideportivo y los espacios comunes que forman parte del Parque Municipal de los Deportes.
Mobiliario y Celulares
Por otro lado, se espera la aprobación del pliego para concesionar el reacondicionamiento, instalación, mantenimiento, reposición y explotación comercial publicitaria del mobiliario urbano. Pero, en este caso, ningún legislador hizo uso de la palabra.
El Ejecutivo propone una concesión por 10 años, con opción de prórroga de acuerdo con lo dispuesto por la Ley Orgánica de las Municipalidades.
Se establece el reacondicionamiento a nuevo de los refugios de transporte público de pasajeros en un plazo de dos años.
En el mismo tiempo tendrán que ser reacondicionadas e instaladas 100 pantallas publicitarias luminosas y deberán colocarse 50 nuevos refugios antivandálicos de transporte (25 por año).
Y deberán instalarse en 24 meses 150 carapantallas (son 1.200 a lo largo del contrato), cuatro tótems LED publicitarios (sobre un total de ocho), 60 casillas de guardavidas (25 por año), un mínimo de 500 banderolas en columnas de alumbrado (de 2.000 posibles para el resto del contrato) y cuatro pórticos publicitarios.
Por último, hay acuerdo entre los bloques políticos para regular el uso de celulares en las escuelas primarias del sistema educativo municipal.
El proyecto ordena que el uso de los celulares en horario escolar por parte de los estudiantes estará restringido durante el horario de clases, “salvo cuando sean requeridos por el personal docente para fines educativos específicos”.
A su vez, impulsa el desarrollo de una campaña de concientización acerca de los efectos que conlleva el uso de celulares en las infancias. Y se encomienda al Ejecutivo diseñar y distribuir el material.",https://www.lacapitalmdp.com/el-concejo-trata-hoy-el-pliego-para-licitar-el-minella-y-el-polideportivo/
"La desocupación en General Pueyrredon trepó al 8,4%: afecta a 28 mil personas",18 de diciembre de 2024,"El desempleo creció al 8,4% en General Pueyrredon durante el tercer trimestre de este año por lo que la desocupación alcanza a 28 mil personas.
Los datos fueron difundidos este miércoles a la tarde por el Instituto Nacional de Estadísticas y Censos (Indec) e implica una suba del 1,2% en comparación con el mismo periodo del año pasado. En cambio, si la cifra se equipara con el segundo trimestre de este año implica un aumento del 2%.
De esta manera, durante el tercer trimestre de este año en Mar del Plata hubo 50 mil personas ocupadas que demandaron empleo y 41 mil subocupados.
En el país
El desempleo se ubicó en 6,9% de la población económicamente activa en el tercer trimestre del año, con un descenso respecto del trimestre anterior, aunque por encima del mismo período de 2023.
De acuerdo con información del Indec difundida hoy, en el tercer trimestre de 2024, la tasa de desocupación -personas que no tienen ocupación, están disponibles para trabajar y buscan empleo activamente, como proporción de la población económicamente activa (PEA)- se ubicó en 6,9%.
En el segundo trimestre, la desocupación había llegado a 7,6%; mientras que en el tercer trimestre de 2023 la tasa fue de 5,7%.
En el tercer trimestre, la tasa de actividad (TA) -que mide la población económicamente activa (PEA) sobre el total de la población- alcanzó el 48,3%; y la tasa de empleo (TE) -que mide la proporción de personas ocupadas con relación a la población total- se ubicó en 45,0%.
La tasa de subocupación resultó del 11,4% de la PEA, mientras que los otros ocupados demandantes y los otros ocupados no demandantes disponibles alcanzaron, en conjunto, el 11,9% de la PEA.
“Consecuentemente, la presión sobre el mercado laboral, conformada por el universo de desocupados, subocupados, ocupados demandantes y ocupados no demandantes disponibles, alcanzó el 30,2% de la PEA”, señaló el Indec.
Dentro de la población activa (48,3%) se destacó que al observar las poblaciones específicas, dentro del universo de 14 años y más, desagregada por sexo, la tasa de actividad para los varones fue de 70,5%, mientras que para las mujeres se ubicó en 52,1%.
A nivel geográfico, las regiones que presentaron mayores tasas de actividad fueron Gran Buenos Aires (49,3%), Pampeana (49,0%) y Cuyo (47,2%).
Por otra parte, la que presentó la menor tasa de actividad fue Noreste (44,2%).
A su vez, si se considera el tamaño de los aglomerados, en los de 500.000 y más habitantes, la TA (49,1%) fue superior a la de menos de 500.000 habitantes (44,7%).
En tanto, dentro de la población ocupada (45,0%) se destacó que el 73,1% son asalariados, de ellos el 36,7% no cuenta con descuento jubilatorio.
Por otra parte, el 23,3% trabajan por cuenta propia, el 3,3% son patrones y el 0,3% son trabajadores familiares sin remuneración.
Entre los asalariados ocupados, el 5,3% utilizó sus propias maquinarias/equipos para realizar su trabajo.
Al mismo tiempo, del total de ocupados, el 8,6% trabajó desde la vivienda.
Al analizar la población ocupada por nivel educativo, más de la mitad de las personas ocupadas (58,5%) cuenta con hasta secundario completo, mientras que el 41,5% posee estudio superior y universitario (completo o incompleto).
Asimismo, en lo que respecta a la calificación de la ocupación principal, el 53,8% corresponde a un empleo operativo; el 18% a calificación técnica; el 16,7% a no calificado; y 11% a profesional.
En lo referente a la tasa de desocupación (6,9% de la PEA), se destacó que al observar las poblaciones específicas para la población de 14 años y más, la tasa de desocupación fue de 7,9% para las mujeres y de 6,2% para los varones.
Entre las regiones, las que mostraron la mayor tasa de desempleo fueron Gran Buenos Aires y Pampeana, con 7,6% y 7,5%, respectivamente.
Al mismo tiempo, se destaca que la región con menor tasa de desempleo fue Noroeste (4,2%).
En referencia al nivel educativo de las personas desocupadas, el 69,5% cuentan con hasta secundario completo, y el 30,5% presentan nivel superior y universitario, completo o incompleto.
En cuanto al tiempo de búsqueda, el 65,4% lleva buscando empleo desde menos de 1 mes hasta 12 meses, mientras que el 34,2% lleva más de un año.",https://www.lacapitalmdp.com/la-desocupacion-en-general-pueyrredon-trepo-al-84-afecta-a-28-mil-personas/
El dólar blue no detiene su escalada: a cuánto cerró este miércoles en Mar del Plata,18 de diciembre de 2024,"El dólar blue tuvo otra suba y cerró este miércoles en Mar del Plata a $1.218 para la venta y $1.191 para la compra, $40 más que el martes.
Como es sabido, el precio de la divisa estadounidense en el mercado informal varía según el punto del país en el que se realice la operación. En General Pueyrredon suele cotizar unos puntos por encima del precio de referencia que se fija en la Ciudad Autónoma de Buenos Aires (CABA).
  NOTICIA EN DESARROLLO",https://www.lacapitalmdp.com/el-dolar-blue-no-detiene-su-escalada-a-cuanto-cerro-este-miercoles-en-mar-del-plata-2/
Premio internacional de arquitectura distinguió a una casa de Mar del Plata,18 de diciembre de 2024,"La arquitectura argentina volvió a marcar un hito a nivel internacional, y esta vez, la distinción fue para una vivienda construida en Mar del Plata. La casa “San Benito”, diseñada por el arquitecto marplatense Eduardo Agüero, obtuvo una mención especial en la categoría “Vivienda Individual” de los prestigiosos World Architecture Technal Awards (WATA).
Este galardón, que se entregó en el marco de una colorida ceremonia en el Teatro Real de Dinamarca, en Copenhague, el pasado 26 de noviembre, distinguió especialmente la eficiencia energética y la sustentabilidad de esta casa. Hubo un total de 17 proyectos internacionales ganadores, y el de Mar del Plata fue el único proyecto premiado de Sudamérica.
Eduardo Agüero, quien integra el estudio “Agüero Marcenaro Arquitectos” y fue hasta hace pocos años el presidente del Colegio de Arquitectos Distrito IX, compartió con LA CAPITAL los detalles de “San Benito” y también su “satisfacción y gratitud” por este reconocimiento internacional en los WATA, organizados por Hydro, un grupo internacional presente en 40 países, con sede central en Noruega y 120 años de antigüedad que, entre otras ramas, se dedica al aluminio para la industria automotriz y la construcción.
“Nos genera una alegría muy grande este reconocimiento. Recibimos el premio en una ceremonia muy linda en Copenague, frente al canal, donde nos trataron excelente, con mucho respeto. Y si bien en anteriores ediciones vi muchos premios de alta tecnología, es bueno que acá se valoren también las decisiones proyectuales y cómo en forma más artesanal podemos hacer buena arquitectura“, dijo Agüero.
En su tercera edición, el premio WATA destacó proyectos que combinan una arquitectura excepcional con el uso de sistemas de carpintería de aluminio de las marcas Technal, Sapa y Domal.
El jurado de los premios, compuesto por destacados profesionales de la arquitectura a nivel global, otorgó especial relevancia al uso de la luz natural, la integración de la vivienda al entorno y la implementación de soluciones energéticas innovadoras, factores que hicieron brillar a “San Benito” frente a otros proyectos internacionales.
La casa “San Benito” se encuentra ubicada en un terreno espacioso, de 932 metros cuadrados, dentro de un barrio cerrado de Chapadmalal. El arquitecto la diseñó con una clara intención de adaptarse a las características climáticas de la región.
De acuerdo con el proyecto, la primera decisión proyectual fue construir un ámbito exterior protegido, de esta forma lo construido debía adaptarse a la idea rectora, resguardando un “afuera”, formando un recinto. La idea fundante fue dictando todas las decisiones posteriores, para que la casa pudiera hacer uso de este exterior cuidado, separado de otros espacios exteriores.
Esta decisión no solo responde a una cuestión estética, sino también a la necesidad de crear un refugio ante los vientos intensos, creando un microclima más cálido y acogedor. Además, el uso de postigos plegadizos permite que la casa se adapte de manera flexible a las diferentes condiciones climáticas a lo largo del año.
En cuanto a la sostenibilidad, el jurado destacó el uso eficiente de los recursos naturales. La casa está diseñada para aprovechar al máximo la luz solar, con galerías bien orientadas que permiten que la luz fluya a través de los espacios, generando un ambiente cálido y acogedor.
Además, la elección de materiales y sistemas de carpintería de aluminio de la línea Lumeal (deslizadores) y Soleal (ventanas) contribuye a mejorar la eficiencia energética, garantizando un excelente aislamiento térmico.
El jurado de los WATA resaltó la creatividad y la reflexión sobre la luz natural como elementos claves en el diseño de la casa “San Benito”. Según comentaron, las galerías y la disposición del espacio permiten que la luz fluya por toda la casa de manera natural, creando una atmósfera cálida y luminosa. Esta integración de la luz no solo tiene un efecto estético, sino que también optimiza el consumo energético al reducir la necesidad de iluminación artificial durante el día.
La entrega de los premios WATA se celebró en el majestuoso Royal Danish Theatre, ubicado frente al canal de la ciudad. La ceremonia reunió a arquitectos, expertos de la industria de la construcción, y figuras de renombre internacional, quienes celebraron el reconocimiento a los mejores proyectos arquitectónicos del mundo.
“En nuestro estudio de arquitectura, donde trabajan alrededor de 20 personas, este reconocimiento especial se vivió con mucha alegría. Si bien trabajé solo en el diseño durante la pandemia, es un reconocimiento muy especial que se comparte con todo el equipo”, agregó Agüero.
Por cierto, la mención de “San Benito” no solo es un logro personal para Eduardo Agüero y su estudio, sino también un motivo de orgullo para Argentina y Sudamérica, ya que fue el único proyecto de la región en ser seleccionado para esta edición de los premios, en el que hubo varios ganadores.
En total, se enviaron 20 proyectos desde Argentina, pero solo “San Benito”, de Mar del Plata logró posicionarse entre los elegidos por el jurado de los premios WATA dentro de la categoría “Vivienda Individual”.",https://www.lacapitalmdp.com/premio-internacional-de-arquitectura-distinguio-a-la-casa-de-mar-del-plata/
"Autorizan una suba del 5,5% en la tarifa de Obras Sanitarias",18 de diciembre de 2024,"El próximo año comenzará con un golpe al bolsillo: Obras Sanitarias Sociedad de Estado (OSSE) autorizó un nuevo incremento bimestral del 5,5% en su tarifa, el cual regirá en las cuotas 1° y 2° de 2025, es decir, enero y febrero.
La novedad se dio a conocer en el último boletín oficial. A través de la resolución N° 790/2024, la empresa estatal, conducida por Carlos Katz, fundamentó que la medida se tomó para “cumplir con el objetivo de la recaudación propuesto y con el artículo N° 104” del Reglamento General del Servicio Sanitario”. Y que por ello “resulta necesaria una nueva adecuación presupuestaria”.
Los incrementos en los valores de la factura de OSSE se determinan en base al Coeficiente C. El indicador se compone en función de las variaciones de los costos de explotación de los servicios, considerados en su nivel de eficiencia y de acuerdo con las modificaciones que registren los índices representativos de precios que elabora el Instituto Nacional de Estadísticas y Censos (Indec).
Este valor se calcula con una fórmula que incluye el Índice Nivel General de Salarios, el Índice de Precios Mayoristas Nivel General, capítulo Manufacturas y Fuerza Motriz, y el Índice de la Construcción, ítem Instalaciones Sanitarias.
Según detalló OSSE en la resolución, hasta octubre de este año, la variación del Coeficiente C -que tiene a noviembre de 2023 como mes “0” para su cálculo- es de 130,78%. De esta manera, la adecuación tarifaria efectiva a aplicar para las cuotas 1° y 2° del 2025 es del 5,57% respecto al último vencimiento de 2024.
Cabe recordar que, previa autorización del Concejo en el marco de la aprobación del Presupuesto 2024, la firma
estatal estableció 6 subas bimestrales en la tarifa a lo largo de este año. Todas fueron en función de las variaciones del mencionado Coeficiente C y se contempla la misma modalidad para 2025.
En detalle, OSSE, que otorga los servicios de agua, cloaca y mantenimiento de pluviales, ajustó su tarifa de enero y febrero de 2024 un 142,7%.
Luego, para las cuotas 3° y 4° (marzo y abril) se autorizó una suba del 28%; para mayo y junio se estableció una actualización del 21,18%; para julio y agosto fue de 19,55%; en septiembre y octubre se dispuso un aumento del 9,5%; y para noviembre y diciembre se aplicó un 7,38%.
De esta manera, con esta última actualización que empezará a regir en el primer bimestre de 2025, el promedio de facturación para el sistema de tarifa fija pasará a promediar $12.811,48.",https://www.lacapitalmdp.com/autorizan-una-suba-del-55-en-la-tarifa-de-obras-sanitarias/
UNMdP: el 67% de los estudiantes aseguró que la falta de presupuesto afecta la vida universitaria,18 de diciembre de 2024,"Según una encuesta, el 67,3% de los estudiantes de la UNMdP (Universidad Nacional de Mar del Plata) consideró que la falta de actualización del presupuesto ha afectado negativamente la vida universitaria.
Así lo dio a conocer una presentación del Observatorio Electoral de la UNMdP, que dio a conocer los resultados y el informe del segundo relevamiento de opinión realizado entre estudiantes de las distintas facultades.
Este estudio de opinión permitió identificar preocupaciones, valoraciones y desafíos que enfrentan los jóvenes en su experiencia universitaria. Y, entre las principales conclusiones, mostró la valoración negativa sobre el ajuste del Gobierno Nacional en las universidades.
De todos modos, el 85% de los consultados trazó una valoración positiva sobre el nivel de enseñanza en la casa de altos estudios. Mientras que el 47% aseguró conocer los programas y servicios que la universidad ofrece para apoyarlos.
Otro aspecto de relevancia fueron las condiciones económicas: el 45% de los encuestados señaló que enfrenta muchas dificultades para estudiar en el contexto actual. El 36 % advirtió algunas dificultades, mientras que solo el 18,9% dijo que no tiene dificultades.
En tanto, más de la mitad de los estudiantes encuestados (54,4%) afirmó que no podría continuar sus estudios si la universidad no fuese gratuita. Y un 35 % planteó que tendría dificultades para continuar.
En relación a la situación política, si bien el 66,5% de los consultados expresó que conoce el proyecto de boleta única, el 42% contestó que no está seguro de cómo se implementará.
Respecto a la valoración de las PASO (Primarias Abiertas, Simultáneas y Obligatorias) el 66,7% se mostró de acuerdo con estas elecciones.
Durante la presentación, se destacó la importancia de realizar mediciones permanentes que permitan elaborar informes actualizados en pos de garantizar la transparencia en la gestión universitaria.
Desde el Observatorio Electoral se reafirmó que medir y escuchar no son solo herramientas técnicas, sino también actos de responsabilidad y compromiso con la comunidad universitaria y la sociedad.
El relevamiento buscó abordar temas fundamentales que impactan tanto en el ámbito académico como en la vida cotidiana de los estudiantes, reafirmando el compromiso de la universidad con la educación pública, gratuita y de calidad.",https://www.lacapitalmdp.com/unmdp-el-67-de-los-estudiantes-aseguro-que-la-falta-de-presupuesto-afecta-la-vida-universitaria/
