Título,Fecha,Cuerpo,URL
"Pese al anunciado fin del paro, los contenedores rebasan y las bolsas ganan las calles de Tandil",19/12/2024,"La basura gana las vías de circulación vehicular mientras se anuncia el fin del paro tras una decena de días sin servicio de recolección en Tandil.  Como lo muestran las imágenes de este mañana (jueves), los residuos rebasan la capacidad de los contenedores colocados por el municipio y como no alcanza la capacidad, los ciudadanos decidieron arrojar sus residuos en la calle, interrumpiendo parte de la calzada. Entre tanto, se esperan novedades de la reunión que esta mañana mantenían el Ejecutivo comunal con el gremio que representa a los trabajadores del sector, audiencia que tendrá lugar en la Delegación Provincial del Ministerio de Trabajo.  ",https://www.lavozdetandil.com.ar/2024/12/19/pese-al-anunciado-fin-del-paro--los-contenedores-rebasan-y-las-bolsas-ganan-las-calles-de-tandil-
"El año arrancará con aumentos: el 1 de enero, el colectivo se va a $1146,62",19/12/2024,"El incremento resulta de la acumulación de los 2 últimos informes publicados por el Instituto Nacional de Estadísticas y Censos para la actualización del cuadro tarifario del transporte urbano de pasajeros de la ciudad de Tandil, el cual se aplicará sobre el valor vigente de la Ordenanza N° 18619. Ese criterio se aplicará el 1° día de los meses de enero y marzo del 2025, a partir de la publicación por parte del Instituto Nacional de Estadística y Censos (INDEC) de los índices correspondientes. De ese modo, quedó determinado el nuevo cuadro tarifario del Transporte Público de Pasajeros de la ciudad de Tandil a partir del mes de enero de 2025, quedó de la siguiente manera: Boleto plano: $ 1,146.62 Boleto nocturno/alargue: $ 1,353.01 Boleto obrero: $ 917.30 Boleto para jubilados, pensionados, beneficiarios de pensiones no contributivas y veteranos de la Guerra de Malvinas: $ 917.30 Boleto universitario: $ 917.30 Boleto primario: $ 206.39 Boleto secundario: $ 573.31 Boleto alargue escolar Granja: $ 859.95 Combinado multilíneas: $ 1,719.93 Boleto suburbano Granja: $ 1,353.01 Combinado secundaria Escuela Granja: $ 1,490.60 Además, también se incrementará el valor de los pasajes a Vela y Gardey.  En el caso de la localidad de María Ignacia (Estación Vela), el viaje costará $5000; mientras que para Gardey, el valor pasará a ser de $2260. ",https://www.lavozdetandil.com.ar/2024/12/19/el-ano-arrancara-con-aumentos-el-1-de-enero--el-colectivo-se-va-a-$1146-62
"Cristian Ritondo, presidente del bloque PRO, denunciado ante la UIF por ""lavado de dinero""",19/12/2024,"El partido político de Elisa «Lilita» Carrió, Coalición Cívica, amplió una denuncia ante la UIF. Mediante la diputada Mónica Frade, se presentó una querella a la Unidad de Información Financiera (UIF) contra el jefe de la bancada del PRO en la Cámara de Diputados, Cristian Ritondo. La causa es un supuesto lavado de dinero y se pidió que se crucen sus bienes con los de su esposa y su cuñado. Esta denuncia es paralela a la que recientemente informó que su esposa Romina Aldana Diago tiene propiedades en los Estados Unidos. Se estima que estas estén valuadas por 2 millones de dólares, y se obtuvieron mediante empresas a su nombre. Ritondo se defendió, indicando «estoy preparando el descargo correspondiente ante al juez Sebastián Ramos y el fiscal Eduardo Taiano». En diálogos con Clarín, Ritondo rechazó los hechos que se le imputan. Al respecto, afirmó que «como personal políticamente expuesta tengo todo declarado en mi declaración jurada de bienes y, cada vez que realizó una operación de más de 10 dólares, la debo notificar a la UIF». Uno de los aspectos que indica la denuncia de Frade, sugiere una relación entre Ritondo con la Secretaría de Inteligencia y Defensa del Estado. Sobre eso, también se expresó Ritondo: «nunca trabajé en la SIDE como afirma la diputada». Sin embargo, sí participó de alianzas políticas con el ex titular del organismo de inteligencia, Miguel Angel Toma. Además, indicó «mis empresas están todas declaradas en la declaración jurada. Hay algunas que tienen movimiento, otras que no tienen movimiento, pero son todas viejas, salvo una que no tiene movimiento de hace dos años, pero están todas declaradas. No sé de qué hablan». (Fuente: Clarín)",https://www.lavozdetandil.com.ar/2024/12/19/cristian-ritondo--presidente-del-bloque-pro--denunciado-ante-la-uif-por-lavado-de-dinero-
Buscan mochila extraviada en Sarmiento y Paz,19/12/2024,Desde ayer se divulgó la búsqueda de una mochila extraviada en la parada de colectivos de Paz y Sarmiento. Las personas que puedan aportar datos deben comunicarse al 2494-600063.  ,https://www.lavozdetandil.com.ar/2024/12/19/buscan-mochila-extraviada-en-sarmiento-y-paz
Los recolectores suspendieron la medida de fuerza,18/12/2024,"El comunicado: ""A nuestros vecinos de la ciudad de Tandil: Los Trabajadores del Servicio de Recolección Urbana de Residuos reunidos en Asamblea con el Sindicato de Trabajadores Municipales de Tandil hemos decidido SUSPENDER las medidas de fuerza que venimos realizando. Esta decisión se toma en primer término, demostrando una vez más que la buena voluntad sigue siendo de los Trabajadores, que no queremos que se tome a la ciudad de rehén habiendo un solo responsable de dar una solución a lo reclamado. Consideramos para ello la cercanía de las celebraciones de Navidad y Fin de Año, poniendo por delante el bien común, la paz y el orden que nos merecemos todos como tandilenses. Meses de reclamos, de infinidad de reuniones, intervención del Ministerio de Trabajo, donde en cada oportunidad demostramos la buena fe y la voluntad de diálogo buscando un acuerdo, donde sólo hemos recibido negativas, amenazas sin fundamento y el intento de restringir nuestros derechos. Esta SUSPENSIÓN, busca una vez más que el Municipio de Tandil tome en cuenta el conocimiento y la experiencia de los Trabajadores de la Recolección como un bien para mejorar el servicio. Sabemos cómo hacerlo, lo hacemos y queremos que mejore todavía más: pero no sólo a costa de nuestro sacrificio. Ningún intento por reemplazar al servicio público es la respuesta, fortalecer e invertir es la única manera de solucionar la problemática de los residuos urbanos. Por todo esto seguimos exigiendo que: -Se pongan en condiciones operativas y de seguridad las unidades con las que contamos. -Compra de nuevas unidades de camiones compactadores. -Completar los planteles mínimos, evaluando las situaciones de compañeros con diferentes licencias en cumplimiento del CCT. -Vacaciones de acuerdo a la normativa vigente. -Mejora de las condiciones de las instalaciones. -Recuperación del Adicional Complementario Variable DE NO ENCONTRAR UNA RESPUESTA FAVORABLE POR PARTE DE LAS AUTORIDADES, NOS RESERVAMOS LA CONTINUIDAD DE LAS MEDIDAS DE ACCIÓN DIRECTA SEGÚN LO ACORDADO CON EL SINDICATO CUANDO LO ENTENDAMOS CONVENIENTE"". ",https://www.lavozdetandil.com.ar/2024/12/18/los-recolectores-suspendieron-la-medida-de-fuerza
Cronograma de contenedores del jueves 19 al mediodía al viernes 20 a las 8,18/12/2024,"""Este jueves se retirarán los contenedores dispuestos durante el miércoles y luego se comenzarán a distribuir de acuerdo al cronograma de jueves a viernes. La intención es que para el mediodía estén todos ubicados, pero en algunos casos puede ocurrir durante las primeras horas de la tarde"", explicaron desde el Municipio. Ubicación de contenedores  - Barrio Procrear (Sáenz Peña y De Pietri) - CIC La Movediza - La Pastora y Misiones - Vela y Saldivar - Cheverrier e Ituzaingo - Prat y Lisando de la Torre - Labarden y Segundo Sombra (Plaza Lester) - Darragueira y Cuba - Primera Junta y Rauch - Plaza Terminal (Mayor Novoa entre Italia y Portugal) - Tomas y Juldain - Fugl entre Pedro Hansen y José Marti - Azcuénaga y Avellaneda (Plazoleta de la democracia). - Alvear y Larrea (frente a Villa Onena) - Rivadavia entre Godoy Cruz y Pueyrredón (Estadio Municipal) Además, se instalarán bateas (contenedores de mayor capacidad) en: - Quintana y Pasteur (Sobre ex - estación de servicio) - Rivadavia entre Monseñor de Andrea y Santa María de Oro (Plaza San Martin) - Circunvalación e Ijurco Esta medida es complementaria al servicio temporal de recolección que está prestando la empresa Malvinas Argentinas desde hace algunos días. ""Agradecemos a la población por su colaboración y comprensión ante esta situación excepcional. El Municipio de Tandil continúa trabajando intensamente para resolver el conflicto y restablecer el servicio habitual lo antes posible"", comunicaron. ",https://www.lavozdetandil.com.ar/2024/12/18/cronograma-de-contenedores-del-jueves-19-al-mediodia-al-viernes-20-a-las-8
"La Dirección de Estadísticas detectó ""precios que tienden a estabilizarse en algunos productos de comida y bebida""",18/12/2024,"La funcionaria recordó que se trata de ""un relevamiento que hacemos mensual, en más de 35 locales comerciales en Tandil, en donde monitoreamos 100 productos de la canasta básica de alimentos, bebidas y tabaco, y siempre aclaramos que es una variación de precios de esta canasta"". Y confirmó que ""en el caso del noviembre, vimos una variación de 2,39 % más, lo que hace un acumulado de lo que va del año de un 69 %"". El dato también supone un aumento en ese universo de productos, en Tandil, de un 144 % interanual, de noviembre 2023 a noviembre 2024. Vicente analizó igualmente que ""estamos viendo valores un poco más estables, un poco más tendientes a la estabilización de estos productos de comida y bebida"".  ""En este mes lo que pudimos notar fue que carne fresca y congelada fue una de las categorías que tuvo un leve porcentaje de aumento, pero bueno también se exhibieron algunas bajas en lo que es frutas, verduras y legumbres, que más allá de las cuestiones estacionales veíamos que en años anteriores, por ejemplo, el año pasado, ninguna categoría mostraba una reducción de precios, en este caso lo vemos en estos productos. Si comparamos los últimos meses, si bien está un poquito más alto que el mes pasado, estamos en valores bajos de variación"". Los 100 productos que se toman como referencia desde la Dirección de Estadísticas siempre son los mismos, en distintos supermercados, kioscos, verdulerías, pescaderías y panaderías de la ciudad y siempre el mismo producto y la misma marca, desde que se inició el relevamiento mensual de variación de precios. Expectativas para el sector comercial minorista Asimismo, Julieta Vicente explicó que ""todos los años nosotros hacemos la Encuesta de Comercio Minorista, que es una manera de acercarse al sector, más allá de los indicadores. Nosotros, que medimos la actividad del sector, que vemos la variación de la actividad a nivel mensual, una vez al año nos acercamos y consultamos sobre cuestiones más generales, como, por ejemplo, cuáles son las principales problemáticas, si el local en el que se encuentran lo alquilan o es propio, cuáles son las formas de venta, los canales de venta y cuál es el ánimo del comerciante"". ""Estamos viendo que ha habido bajas en los precios, pero también tenemos ver qué pasa con el consumo. Y ahí lo que vimos es que las expectativas están siendo un poquito mejor para lo que viene el año que viene. Este ha sido un año duro, han tenido un primer semestre bastante complicado, pero hay expectativas un poquito mejores para el año que viene"". Consultada por la situación del sector indumentaria, que muestra precios todavía muy altos para el bolsillo promedio, la especialista en estadísticas explicó que ""indumentaria y calzado han sido de los rubros más perjudicados. Nosotros este análisis lo hacemos por rubro y, obviamente, al interior de cada una de las ramas, hay variaciones y uno de esos ha sido ese. Y también turismo ha tenido sus complejidades. Pero por el humor social de los comerciantes, de lo que cuentan ellos, ha sido una primera parte del año bastante complicada, pero a nivel general, ven con mejores expectativas lo que sería el 2025"". ",https://www.lavozdetandil.com.ar/2024/12/18/la-direccion-de-estadisticas-detecto-precios-que-tienden-a-estabilizarse-en-algunos-productos-de-comida-y-bebida
Luis Petri estuvo en Tandil para exhibir el primer biplaza F-16 que llegó al país,18/12/2024,"El primer F-16 biplaza para entrenamiento que Argentina compró a Dinamarca se exhibió hoy en la VI Brigada Aérea ubicada en Tandil. El primer hito es contar con una aeronave para entrenamiento en tierra de tripulaciones y personal técnico. Es el avión número 25, un F16 BM Block 10 biplaza destinado a adiestramiento. Petri estuvo acompañado de los jefes militares, brigadier general Xavier Isaac, Estado Mayor Conjunto, vicealmirante Carlos Allievi, Armada, general de división Carlos Presti, Ejército y brigadier Gustavo Valverde, Fuerza Aérea. El ministro de Defensa recorrió el hangar donde los especialistas técnicos que recibieron instrucción en Dinamarca ponen a punto la aeronave de entrenamiento. Las tareas de llevarlo a condición operativa; aunque no volará; concluirán con el encendido de la planta propulsora Pratt & Whitney F100 PW220Ey el energizado de la aviónica, también la operación de todos los sistemas hidráulicos, neumáticos y eléctricos en pleno funcionamiento. El ministro y las autoridades militares recorrieron luego el predio donde se llevan adelante obras de infraestructura para adecuar la base al sistema interceptor F-16 y la construcción del Centro de Instrucción y Perfeccionamiento (CIP) destinado a la formación de personal de apoyo en tierra, mecánicos. Es una obra que cuenta con un presupuesto de 3.365.045.945 pesos y un plazo de ejecución de 420 días. El proyecto incluye la edificación de un espacio central para instrucción en las aeronaves, aulas de instrucción técnica, aulas para instrucción en idiomas, biblioteca, y oficinas. Una vez finalizada la obra la base Tandil sumará 2.070 metros cuadrados de nueva infraestructura a la VI Brigada. La presentación oficial del avión F-16 BM Block 10 y de los dos simuladores está prevista para la segunda quincena de enero de 2025 con la asistencia del presidente Javier Milei. ",https://www.lavozdetandil.com.ar/2024/12/18/luis-petri-estuvo-en-tandil-para-exhibir-el-primer-biplaza-f-16-que-llego-al-pais
El Municipio difundió el cronograma actualizado de contenedores para las próximas horas,18/12/2024,"Las autoridades comunales precisaron que ""debido a la demora en la logística de distribución de los contenedores que se registró el martes, se determinó actualizar el cronograma previsto. Los contenedores estarán ubicados en estos lugares hasta las 8 horas del jueves 19 de diciembre"". Ubicación de contenedores  - Pedersen y Rosales - Actis y Rosales - Darragueira y Nigro - Figueroa y Entre Ríos - Azucena y Los Jazmines - Azucena y Av. Lunghi - Primera Junta y Guatemala - Liniers e Italia - Balbín y Édison - Brasil y Gardel - Brasil y Lobería - Av. Colón y Uriburu - Av. Estrada y Ezeiza - Av. Perón y Machado - Av. Marconi y Roca - Av. Machado y Roca. ""Actualmente se está trabajando en la distribución, en algunos sectores ya están colocados y en otros lo estarán durante las próximas horas"", agregaron. Además, se solicitó que se depositen solo residuos domiciliarios en bolsas, de forma segura e higiénica. Esta medida es complementaria al servicio temporal de recolección que está prestando la empresa Malvinas Argentinas desde hace algunos días y a los contenedores que están ubicados de forma permanente en la plaza del barrio Arco Iris, en la Estación de la Red de Puntos Limpios de av. J. B. Justo y frente al predio de Obras Sanitarias en la av. Del Valle. ""Agradecemos a la población por su colaboración y comprensión ante esta situación excepcional. El Municipio de Tandil continúa trabajando intensamente para resolver el conflicto y restablecer el servicio habitual lo antes posible"", comunicaron desde el gobierno local. ",https://www.lavozdetandil.com.ar/2024/12/18/el-municipio-difundio-el-cronograma-actualizado-de-contenedores-para-las-proximas-horas
"Darío Méndez: ""La situación con los residuos amerita que se devuelva la Tasa Retributiva de Servicios""",18/12/2024,"El concejal Darío Méndez, impulsor de la ordenanza 17.961 y de este proyecto, consideró acerca de la situación generada: ""el conflicto en torno a la recolección de residuos se ha prolongado mucho más de lo tolerable para los vecinos de la ciudad y las medidas implementadas por el Ejecutivo resultan insuficientes para abordar el problema, la implementación de contenedores y volquetes se demuestra insuficiente y expresa un problema que viene dilatando las soluciones que le hemos ofrecido"". Con respecto a esta nueva propuesta Méndez planteó que ""la interrupción del servicio de recolección no es nueva, ya es la tercera vez en el año que esto sucede, por condiciones de trabajo y por condiciones salariales, por lo que le solicitamos al Ejecutivo que devuelva a los vecinos la Tasa Retributiva de Servicios correspondiente al mes de diciembre, ya que como toda tasa se paga a contraprestación de un servicio que no está sucediendo e implica un perjuicio para la comunidad, a la vez que se cobra en teoría para ser reinvertida en mejorar los camiones, mejorar los sueldos y mejorar el sistema de gestión, cuestiones que quedan a la luz que no son las prioridades, estamos hablando de una tasa que recaudó en el 2023 3.400 millones de pesos, un 85% más de lo presupuestado para el año"". A su vez el edil mencionó otro de los puntos solicitados: ""También le exigimos al Municipio que informe sobre las medidas adoptadas para solucionar definitivamente este problema y que cumpla con la ordenanza 17.961 aprobada el año pasado y que implementa una serie de medidas, entre ellas la implementación de contenedores y volquetes en todo el radio urbano para favorecer una gestión de residuos mucho mejor, cuestión que discutimos para brindar una solución ante este problema"". Con respecto a la ordenanza mencionada amplió ""esa ordenanza planteaba una gestión moderna y eficiente, que no tiene que ver con que la realice el privado sino con la incorporación de un mejor sistema de gestión con la implementación de los contenedores en toda la ciudad y la tan postergada separación en origen, con el objetivo de reducir residuos, reciclar a través de una planta y aliviar el relleno sanitario, nada de esto se ha cumplido y forma parte del problema que tenemos ahora"". ",https://www.lavozdetandil.com.ar/2024/12/18/dario-mendez-la-situacion-con-los-residuos-amerita-que-se-devuelva-la-tasa-retributiva-de-servicios
