Título,Fecha,Cuerpo,URL
“Vale Navideño y Solidario 2024” de Bomberos Voluntarios de Zárate,02/12/2024,"La Asociación de Bomberos Voluntarios de Zárate informó a toda la comunidad que el lanzamiento de un “Vale Navideño y Solidario 2024” con importantes premios, aún se encuentra a la venta con el objeto de recaudar fondos para la Institución y para equipamiento de nuestros de Bomberos Voluntarios.
El Sorteo se realizará el 21 de Diciembre de 2024 por Lotería Nocturna de la Ciudad y el valor del Vale es de $6000, con su 1°Premio de una Moto y muchos otros más.
Los puntos de venta a cargo de Bomberos Voluntarios están en la Central 11 ubicada en Rivadavia 1178 y se pueden adquirir de Lunes a Viernes de 9 a 17 hs.
Contacto, está el número de celular 15-631001.
“Contamos como siempre agradecidos, con el apoyo solidario de nuestra comunidad y deseamos una vez más lograrlo y destinar lo recaudado para equipamiento general y a total beneficio de nuestros bomberos voluntarios. “Ayudando a bomberos nos ayudamos todos”, señalaron desde la Asociación de Bomberos Voluntarios de Zárate.",https://www.diariolavozdezarate.com/2024/12/02/vale-navideno-y-solidario-2024-de-bomberos-voluntarios-de-zarate/
Nuevo partido: Unidad Socialista,13/12/2024,"Más de 400 referentes políticos y sociales de todo el país se hicieron presentes este martes 10 de diciembre para lanzar “UNIDAD SOCIALISTA” (US), un nuevo espacio político que busca fortalecer la izquierda democrática en Argentina. La iniciativa, que cuenta con el respaldo de figuras destacadas como Jorge Rivas (Confederación Socialista), Fabiana Ríos y Carolina Yutrovic (Partido Social Patagónico), Fernanda Gigliani (Iniciativa Popular), Mario Mazzitelli, Francisco “Paco” Moreno y Juan María Escobar (Partido Socialista Auténtico), y Luis Ger (Movimiento Justicia y Libertad).
Desde el Partido de Zárate, se encontraron presentes el Concejal del Partido Socialista Aldo Bruno Morino y Claudia Menendez concejala mandato cumplido y referente de Renacer Oncológico, de reciente publicación en este diario, en la sección Mujeres que Hacen.
Por el Partido de Campana, estuvo presente el dirigente socialista Juan Ferrari.
En la oportunidad participaron Oscar Parrilli y Agustín Rossi (Partido Justicialista), Claudio Lozano (Unidad Popular), Juan Carlos Junio (Partido Solidario), Delia Bisutti (Nuevo Encuentro), Alejandro Grillo (Lxs Irrompibles), Elizabeth Gomez Alcorta (Soberana), Claudia Neira (Nuevo Espacio de Participación), Alejandro Mosquera (Soberanos), Marcelo Ramal (Política Obrera), Pablo Vasco (MST), Ariel Elger (Partido Comunista) Oscar Laborde (Mundo Sur), Julio Gambina (Corriente Política de Izquierda), Nacho Levy (La Garganta Poderosa), Pedro Peretti (Movimiento Arraigo), Alicia Castro, Dora Barrancos, Alicia Castro y el ex legislador Fabio Basteiro.
Bajo el lema “Hay socialismo. Hay futuro”,se llevó a cabo en un auditorio del centro porteño, en coincidencia con el 41 aniversario de la restauración de la democracia. Ofreciendo una alternativa política “democrática, federal, popular, feminista, latinoamericanista, y que se reconozca doctrinariamente socialista, han resuelto reorganizarse en un único partido nacional” y asumiendo el compromiso de ser una casa en permanente construcción que convocaron a los y las “socialistas de todo pelaje, a la izquierda independiente, a los progresistas de izquierda, a las feministas populares, a activistas ambientales, a los anticapitalistas militantes, a sumarse al hermoso desafío de construir una sociedad con justicia social”, se expresó en el acto. .
Esta nueva fuerza política en orden nacional y habilitada a conformar frentes electorales a nivel nacional, se consolida como una fuerza política autónoma, con una identidad propia y una estructura federal. Manteniendo abierta a construir alianzas con otras organizaciones que compartan el objetivo de transformar profundamente el país.",https://www.diariolavozdezarate.com/2024/12/13/nuevo-partido-unidad-socialista/
Cambios en el Gabinete? Se mantienen los refuerzos?,27/11/2024,"El año 2025 será el primer año donde se verá lo que verdaderamente puede dar la gestión de Matzkin. Así lo anticipan funcionarios en los pasillos del palacio municipal reunidos diariamente en la antesala del primer piso que precede a la oficina del intendente, convencidos de que será un año clave para el Ejecutivo, a un año de haber comenzado y de cara a las elecciones legislativas del 2025.
Todos son tan mesurados como convencidos. Los anima tener un presupuesto propio, diseñado por ellos mismos, con recursos nuevos, provenientes de la modificación de las ordenanzas fiscal e impositiva. Tampoco es menor contar con un año de experiencia al frente del municipio.
Así las cosas el 2025 se avecina con buenos signos, apto para desplegar la batería de obras prometida para los barrios, siempre necesitados de infraestructura. Puede ser el pavimento en el 6 de Agosto, desagües y asfalto en Massoni, bacheo de calle España, incorporación de tecnología a la sala de monitoreo y reforzar la descentralización en salud. Ni más ni menos, las promesas de campaña del propio intendente. Concretar algo de todo eso le permitirá -junto con la gestión administrativa y política ordenada- ganar las legislativas. Esa victoria le asegurará a Matzkin, de no haber sobresaltos y con signos de la macroeconomía que tienden a la estabilidad, continuar un segundo período de gestión. Como lo hizo Abella en Campana.
Sin embargo, lo político va muy de la mano con las acciones que proyectan encarar. Y la “mano política” del Pro no se ha quedado quieta. Zárate, una vez que se garantizó no puede perderse. Por eso quienes mandan en la segunda sección acerca jugadores foráneos que se transformaron en funcionarios. Novelli actúa como un embajador, o mejor dicho, de un canciller quien con sus buenos modales aceita la polea de la gestión, sin que lo tome a mal la gente que hizo la campaña “siendo de Zárate”, con gente de Zárate, ya que el propio intendente usaba como lema de campaña que nació en Zárate y se crió en la ciudad. Así la incorporación posterior de Iglesias en Seguridad, Novelli, Iván Gómez Gérez en Desarrollo Humano y Agostinelli en Obras Públicas; fue contradictorio con los postulados iniciales, aunque es una actitud generalizada, sin ir más lejos, hasta por el propio ex intendente Osvaldo Cáffaro.
Habría que desentrañar si esas decisiones responden a la superestructura política de los partidos que pretenden “esos lugares para si” , o por la específica capacidad de los elegidos o porque los zarateños no quieren participar, pero lo cierto es que son funcionarios de otras ciudades que están trabajando en Zárate.
Más allá de esta particular situación, se avecinan reestructuraciones en cuanto a nombres y cambios de áreas de funcionarios. En primer lugar, el área de Salud parece no funcionar o, como lo plantearon desde el mismo gabinete, “no tiene el vuelo que debe tener”.
El área de Salud fue clave en las promesas de campaña de Matzkin, ya que prometió descentralización, jerarquización, expansión y optimización de las unidades barriales y de los servicios que brinda la atención primaria de la salud municipal. Y no han notado cambios en el área en función de lo realizado por la anterior gestión más allá de que se reabrió la unidad sanitaria de Villa Carmencita, a la cual le faltan más recursos, y la de San Jacinto, que corre con la misma suerte. No se jerarquizaron ni se optimizaron con más recursos humanos y económicos tales espacios.
En tanto Desarrollo Humano funcionó “a reglamento” este año, con un presupuesto acotado no generó nuevos programas sino que se abocó a desarrollar y encolumnarse detrás los “ viejos caballitos de batalla”, como Costa Grande, que terminó el pasado domingo, Costa Joven, y pequeñas intervenciones en algunos barrios como forma de descentralizar la cultura pero fueron sólo acciones esporádicas. Es un área que desde el propio intendente buscan darle más presupuesto y “vuelo propio” para el año entrante.
En Seguridad el intendente salió a “bancar” al secretario Iglesias en dos oportunidades de forma pública; cuando nadie se lo pidió teniendo en cuenta que el delito sigue alto en cantidad y calidad. En hurtos y robos menores como así también delito organizado como es el robo de coches. Se ven más móviles patrullando las calles pero siempre son del COZ o de Prefectura.
Al igual que su par y homónimo en Salud, Juan Manuel Iglesias aún no termina de ser lo que se esperaba de un funcionario con su experiencia en tal área.
Pero claro, como se trata de un año político la premisa es cambiar de funcionarios ahora, para encarar todo un año sin realizar “cirugías mayores”.
Para el municipio será reorganizar la gestión, oxigenar sectores y sacudir el organigrama. Claro está que la figura de Novelli poco vino con la idea de aportar en ese aspecto, y pareciera una continuidad de lo hecho con Cáffaro cuando ponía a personas de “su riñón” como “super secretarios”, fue el caso de Alejandro Cimiotta que estuvo a cargo de Obras y Servicios Públicos y Espacios Verdes, lo que le valía las críticas del entonces concejal Matzkin.
Hoy, siendo intendente muestra, en este aspecto, una actitud conservadora y respetuosa de los funcionarios y del tiempo de adaptación de ellos a una estructura municipal. Sin embargo los tiempos piden cambios y la política interna del Pro así también se lo exige antes de las elecciones. En un año donde tendrá más presupuesto, aumento de tasas y signos de una macroeconomía que tiende a la estabilidad pero con una situación social muy delicada.
CANDIDATOS EN 2025
Y, a propósito, en quién se estará imaginando el partido de gobierno para encabezar la lista de concejales?
En alguien que proviene del deporte? o del sector del trabajo y la producción?",https://www.diariolavozdezarate.com/2024/11/27/cambios-en-el-gabinete-se-mantienen-los-refuerzos/
Adelantan el pago del aguinaldo a docentes,19/12/2024,"El Gobierno de Axel Kicillof recibió a los gremios docentes bonaerense en una primera reunión paritaria, y aunque la expectativa estaba en recibir una oferta salarial para el inicio de 2025, lo cierto es que no hubo propuesta.
La reunión, que se hizo en la sede el Ministerio de Trabajo, previa a la de los estatales de la Ley 10.430, no arrojó una cifra concreta y sólo el compromiso de las autoridades de convocar a un nuevo encuentro a la brevedad.
Lo que sí hubo como novedad es que los trabajadores enrolados en la Dirección General de Cultura y Educación (DiPrEGeP) que en principio iban a cobrar el aguinaldo el lunes 23 de diciembre, lo harán finalmente el sábado 21.
Según fuentes sindicales, los representantes de los maestros plantearon la necesidad de seguir recuperando lo que se pierda por inflación, que en los últimos meses fue a la baja. “Planteamos la importancia de avanzar en un acuerdo salarial que contemple la pérdida del poder adquisitivo total de las y los trabajadores de la educación. Y que en la próxima propuesta salarial la base de cálculo sea la de diciembre y que de ahora en adelante, se tome siempre la base del mes anterior”, señalaron en un comunicado.
Asimismo, solicitaron el funcionamiento periódico de todas las comisiones técnicas para abordar cuestiones laborales como la sobrecarga de tareas que enfrenta el sector. Y agregaron: “Es fundamental continuar trabajando sobre el impacto de la violencia social en las escuelas, las falsas denuncias que reciben las y los docentes, la resolución de las investigaciones en el marco del art. 139 y avanzar en la implementación integral del acuerdo paritario de resguardo y reparación”.
Tras la reunión con el Frente Docente, las autoridades recibieron a estatales de la Ley 10.430 y leyes especiales y a judiciales.
Esta primera reunión se dio tras el último acuerdo del Gobierno bonaerense con los gremios: una suba de 8% en dos tramos (4% en octubre y 4% en noviembre).",https://www.diariolavozdezarate.com/2024/12/19/adelantan-el-pago-del-aguinaldo-a-docentes/
Caos de tránsito e importantes demoras por obras en el camino del Parque Industrial,06/12/2024,"El municipio continúa su plan de reacondicionamiento del camino del Parque Industrial y por tal motivo es que se generó, desde finales de la semana pasada, un caos de tránsito que está afectando a todas las personas que buscan ir de Zárate a Lima y los que van desde la ciudad hacia el Parque Industrial.
En principio, la avenida Santa Fe está cortada desde calle Pavón hasta su intersección con el camino del parque industrial. Los automóviles deben tomar un desvío hacia la rotonda del Parque y esto genera largas colas con demoras de media hora y hasta 45 minutos con coches y camiones que van desde la portería de TZ hasta las vías.
Lo propio ocurre del otro lado, desde las vías y hacia Panamericana. Esa zona, en lo posible, los automovilistas deben tratar de evitarla porque el tránsito está siendo asistido, dejan pasar coches de una mano, cortan la otra y viceversa.
El camino 038 también confluye en esa transitada esquina y todo se torna un verdadero caos en horas pico, o sea en horario de 8 a 18 horas.
Si bien las demoras son por remodelaciones necesarias en la ruta, el caos en la zona genera fastidio y un reclamo de celeridad en tales obras porque es una zona muy transitada y proclive a generar accidentes, más aún con este tipo de tareas las cuales durante la noche se interrumpen y quedan en el lugar una precaria señalización con conos y vallas.
Ing. Sergio Agostinelli, secretario de Obras Públicas del municipio: “Es un sitio con mucho tránsito de camiones, era una obra relegada, y nosotros, por pedido del Intendente Matzkin, nos estamos ocupando de mejorar las pendientes, que antes no tenía. Además, aseguramos el escurrimiento de agua, pudimos realizar los trabajos de nivelación, y volcamos 8cm de asfalto. Trabajamos en todos los sectores, no sólo en el centro, éste era un pedido que estamos atendiendo, y así lo seguiremos haciendo en diferentes barrios de la ciudad”.",https://www.diariolavozdezarate.com/2024/12/06/caos-de-transito-e-importantes-demoras-por-obras-en-el-camino-del-parque-industrial/
Agustina Propato sobre el Canal de Magdalena como emblema de la soberanía nacional,16/12/2024,"En el marco del 34° Seminario Internacional de Puertos, Vías Navegables, Transporte Multimodal y Comercio Exterior, se llevó a cabo una jornada especial dedicada a “El Canal Magdalena, integrado al sistema de navegación de la Argentina”, un proyecto clave para la integración fluvial y marítima de la Argentina. La diputada nacional Agustina Propato participó como disertante junto a figuras destacadas como Eduardo Barcesat, José María Lojo, Roberto Murcia y Diego Bercholc, reafirmando la importancia del canal como herramienta estratégica para fortalecer la soberanía nacional.
Durante su intervención, la diputada destacó que el Canal de Magdalena no solo permitiría un acceso directo al océano Atlántico sin depender de puertos extranjeros como el de Montevideo, sino que también representa una oportunidad histórica para revertir un modelo agroexportador y extractivista que ha condicionado al país desde las reformas estructurales de los años ’90.
“El Canal de Magdalena es más que una obra de infraestructura, es una decisión política y estratégica para recuperar nuestra soberanía”, afirmó Agustina Propato. También destacó que este proyecto es clave para garantizar un sistema de navegación que priorice los intereses nacionales: “Es una política de navegación dirigida por y para la República Argentina en pos de nuestro desarrollo y autonomía”.
Un proyecto estratégico para el desarrollo argentino
La iniciativa del Canal de Magdalena, oficializada en 2015 durante el gobierno de Cristina Fernández de Kirchner, volvió a ganar protagonismo ante los desafíos planteados por la actual administración. Si bien el Decreto 949/20 prorrogó un esquema privatizador que excluyó al canal de las prioridades nacionales, el gobernador Axel Kicillof expresó su firme intención de impulsar el proyecto, reconociendo su relevancia estratégica.
Propato remarcó que “la construcción del Canal de Magdalena no solo es viable desde el punto de vista económico, sino absolutamente necesaria para superar la desintegración fluvial y marítima que hoy afecta a la Argentina”. Asimismo, propuso la transferencia de la ejecución del proyecto a la provincia de Buenos Aires, una medida que considera clave para avanzar frente al congelamiento de obras públicas por parte del gobierno nacional.
Industria naval y defensa nacional: los grandes desafíos
Para tener una cabal idea de la importancia de esta obra, se la debe relacionar con la navegación de los ríos Paraguay y Paraná ya que la vinculación de estos con el canal Magdalena, ofrece la oportunidad de diseñar y ejercer el debido control a lo largo del litoral fluvial y oceánico.
En su discurso, la diputada subrayó la necesidad de revitalizar la industria naval argentina y reconstruir una marina mercante fuerte. “Sin una marina mercante, estamos debilitados en términos económicos y de defensa. La Argentina supo estar en el puesto 14 en el ranking mundial de marinas mercantes; hoy, estamos últimos cómodos”, lamentó.
Propato hizo un llamado a construir un consenso político amplio que trascienda intereses partidarios, enfatizando que “esta es una batalla por la soberanía que debemos librar juntos, como nación”. “Este debate no es solo sobre el Canal de Magdalena, es sobre el futuro de nuestra soberanía y desarrollo como país. Es hora de tomar decisiones con una mirada nacional y estratégica”, concluyó la diputada.
La discusión en torno al Canal de Magdalena continúa siendo un eje fundamental en la agenda política y económica de la Argentina, y el compromiso de figuras como Agustina Propato refuerza la necesidad de concretar este proyecto como un hito de soberanía y desarrollo nacional.",https://www.diariolavozdezarate.com/2024/12/16/agustina-propato-sobre-el-canal-de-magdalena-como-emblema-de-la-soberania-nacional/
Evelyn Silvestro fue nominada como la Deportista del Año 2024 en Zárate,19/12/2024,"El Círculo de Periodistas Deportivos de Zárate realizó el martes por la noche la Fiesta del Deporte 2024 durante la cual se entregaron los Premios Podio en distintas disciplinas deportivas tal como se lleva a cabo desde el año 2000.
La remera del Club Náutico Zárate e integrante del seleccionado nacional, Evelyn Silvestro, fue nominada la mejor deportista del año.
Silvestro participó durante éste año en los Juegos Olímpicos de Paris 2024 donde obtuvo la duodécima posición en la clasificación final (en el doble par peso ligero femenino junto a Sonia Baluzzo).
También se aprovechó el momento para entregar distinciones especiales y menciones a distintos deportistas e instituciones deportivas de la comunidad.
La ceremonia, que tuvo la locución de Marcos Mazzitelli, se realizó en el Salón Cultural “Negro De la Riestra” en Costanera y contó con la presencia del intendente municipal Marcelo Matzkin.
GUILLERMO BALDO ABRIO LA FIESTA
El presidente del Círculo de Periodistas Deportivos de Zárate, Guillermo Baldo, abrió la fiesta destacando en su discurso la gran cantidad de deportistas de excelencia con que cuenta la ciudad de Zárate y que “cada año nos hacen a nosotros más difícil la elección”.
También tuvo una menci-ón muy especial para los dirigentes de los clubes y los entrenadores deportivos y en especial para el grupo familiar de cada deportista que “es el pilar en el cual se sostiene el esfuerzo de cada uno de ellos”.
NOMINA COMPLETA DE TERNADOS Y GANADORES
Esta es la nómina completa de ternados y ganadores:
Ajedrez: Federico Pérez Ponsa, Pilar Kratzer, Lorenzo Mengucci.
Podio 2024: Federico Pé-rez Ponsa.
Artes Marciales y Deportes de Contacto: Nelso Carella, Leonardo Bagnasco, Darío Bagnasco.
Podio 2024: Nelso Carella
Atletismo: Romina Scoglia, Simón Caffaro, Sol Pacheco.
Podio 2024: Romina Scoglia.
Automovilismo: Iván González, Sergio Yacobene, Fernando Rivas.
Podio 2024: Ivan González
Básquet Femenino: Tatiana Pecchini, Renata Vivas, Milena Rodríguez.
Podio 2024: Milena Rodríguez
Básquet Local: Joel Zukowski, Carlos Garín Palacios, Bruno Pracchia
Podio 2024: Carlos Garín Palacios.
Básquet Nacional: Taiel Gómez Quintero, Junior Merchant, Damián Pineda.
Podio 2024: Junior Merchant
Bochas: Juan Carlos So-sa, Luciano Vela, Jonathan Oviedo.
Podio 2024: Juan C. Sosa
Boxeo: Lautaro Benicelli, Germán Roh, Uriel Pura.
Podio 2024: Lautaro Benicelli.
Ciclismo: Tomás Contte, Tomás Cuevas, José Barragán
Podio 2024: Tomás Contte
Colombofilia: Reynaldo Stanicio, Adalberto Cárdenas, Carlos Romero.
Podio 2024: Reynaldo Stanicio.
Deportes PCD: Ignacio Parodi, Luis Salas y Sol Pavía, Hernán Barreto
Podio 2024: Hernan Barreto
Fútbol Ascenso: Nicolás Parodi, Ricardo Priori, Joaquín Fretes.
Podio 2024: Ricardo Priori
Fútbol CADU: Fabricio Henricot, Luis Olivera, Matías Nizzo.
Podio 2024: Fabricio Hen ricot
Fútbol Femenino: Luz Rocha, Irupé Sánchez, Alejandra Canale.
Podio 2024: Alejandra Canale.
Fútbol Liga: Carlos Jausoro, Fabián Vázquez, Fernando Brito.
Podio 2024: Fabian Váz-quez.
Karting: Sergio Torges, Juan Carlos Suárez, Gabriel De Lucca
Podio 2024: Juan C. Sua-rez
Natación: Agostina Hein, Federico Godoy, Alma Ortega
Podio 2024: Agostina Hein
Patín: Renata Aguilera, Yanet Porco, Sasha Cáceres, Xiomara Santellán.
Podio 2024: Sasha Caceres
Remo: Evelyn Silvestro, Francisco Moreira Rosas, Marcos Rojas.
Podio 2024: Evelyn Silvestro
Rugby: Agustín Flores, Alan Lima, Carlos Farina.
Podio 2024: Agustín Flo-res
Tenis de Mesa: Iván Cericola, Joaquín Vergara, Milena Zapata.
Podio 2024: Ivan Cericola
Vela: Mateo Guille, Josefina Mirey, Máximo Corominas
Podio 2024: Máximo Co-rominas.
Vela FIC: “Ventus” (Andrés Tomei), “Podium” (Lean dro Guidi), “Aeróbico” (Ma-nuel Goris).
Podio 2024: “Ventus” (An dres Tomei)
Voley Metro: Valeria In-sua, Martina Duvivier, Tiara Russignan.
Podio 2024: Martina Duvivier
Voley Unilivo: Marcos Ledesma, Melina Laispur, Guillermina Godoy.
Podio 2024: Marcos Ledesma",https://www.diariolavozdezarate.com/2024/12/19/evelyn-silvestro-fue-nominada-como-la-deportista-del-ano-2024-en-zarate/
Centro de Reciclaje Municipal realizó su primera entrega de 13.500 kilos de cartón y papel,10/12/2024,"A cinco meses de su puesta en marcha, el Centro de Reciclaje Municipal de Campana entregó sus primeros 13.500 kilos de cartón y papel reciclado a la empresa Campanita, marcando así un hito significativo.
En un esquema de intercambio, la compañía papelera proporcionó papel higiénico y servilletas.
La entrega fue encabezada por la secretaria de Desarrollo Económico, Marina Casaretto, quien destacó la importancia de este tipo de iniciativas que promueven el reciclaje, la reducción de los residuos, entre otros beneficios para la ciudad.
“Esto es un logro de todos los campanenses ya que, gracias a los elementos que ellos reciclan, podemos dar pasos firmes y afianzar la economía circular y el cuidado del medio ambiente”, enfatizó la titular del área tras supervisar la carga de los elementos en un camión que dispuso la empresa.",https://www.diariolavozdezarate.com/2024/12/10/centro-de-reciclaje-municipal-realizo-su-primera-entrega-de-13-500-kilos-de-carton-y-papel/
Se reglamentó la desregulación del transporte automotor de pasajeros,11/12/2024,"El Gobierno nacional reglamentó ayer la desregulación del transporte automotor de larga y media distancia con el fin de fomentar la competencia en el sector y así reducir el costo que implica hoy viajar. A su vez, las empresas tendrán menos restricciones a la hora de establecer precios, modificar o rechazar rutas que no sean rentables.
La desregulación fue oficializada en el Boletín Oficial, impulsada por la Secretaría de Transporte del Ministerio de Economía y el Ministerio de Desregulación y Transformación del Estado.
Tras la oficialización, el ministro de Transporte, Franco Mogettta, anunció: “Creamos el Registro Nacional de Transporte Automotor de Pasajeros (RNTAP) para que las empresas y transportistas puedan inscribirse de manera online y gratuita, sin burocracias. Una vez inscriptos, en un máximo de 5 días hábiles tendrán el Certificado de Alta de Transportista que los habilita al registro de los servicios a prestar”.
De esta forma, “se podrán establecer libremente recorridos, itinerarios, horarios, precios, modalidades y duración de los servicios logrando más conectividad por mayor oferta de servicios y competencia de precios para beneficio de los pasajeros”.
Por su parte, el ministro Federico Sturzenegger publicó: “A quienes tengan vehículos grandes o pequeños (con seguro y revisión vehicular aprobada), los invitamos a convertirse en proveedores de transporte de pasajeros”.
La medida llega luego de la implementación del Decreto 883/24, que ya había liberado el tránsito interjurisdiccional, así como el de las conexiones aeroportuarias, dando libertad absoluta para operar, elegir vehículos, horarios y recorridos.
Ahora, la resolución “establece el procedimiento para que cualquier interesado en proveer el servicio pueda hacerlo”, lo que le da sentido práctico a la desregulación establecida en el mencionado decreto.
Certificado de Alta de Transportista:
cómo hacer el trámite",https://www.diariolavozdezarate.com/2024/12/11/se-reglamento-la-desregulacion-del-transporte-automotor-de-pasajeros/
Javier Velázquez fue reconocido con el premio a la Trayectoria Deportiva,19/12/2024,"El premio a la Trayectoria Deportiva fue para el futbolista Javier Velázquez quien durante éste año 2024 anunció su retiro de la actividad.
Sin dudas Velázquez es el ídolo máximo del “celeste” de Villa Fox, con un gran carisma y ascendencia sobre sus compañeros e hinchas y que ha dejado una marca muy fuerte luego de tantos años jugando en el fútbol argentino.",https://www.diariolavozdezarate.com/2024/12/19/javier-velazquez-fue-reconocido-con-el-premio-a-la-trayectoria-deportiva/
